Comparison	comparison	O	O	O	O
of	of	O	O	O	O
developmental	developmental	O	O	O	O
toxicology	toxicology	O	O	O	O
of	of	O	O	O	O
aspirin	aspirin	CHEMICALS	O	OTHERS	I
(	(	O	O	O	O
acetylsalicylic	acetylsalicylic	CHEMICALS	O	OTHERS	I
acid	acid	CHEMICALS	O	OTHERS	I
)	)	O	O	O	O
in	in	O	O	O	O
rats	rats	O	O	O	O
using	using	O	O	O	O
selected	selected	O	O	O	O
dosing	dosing	O	O	O	O
paradigms	paradigms	O	O	O	O
.	.	O	O	O	O

BACKGROUND	background	O	O	O	O
:	:	O	O	O	O
Analysis	analysis	O	O	O	O
of	of	O	O	O	O
the	the	O	O	O	O
literature	literature	O	O	O	O
for	for	O	O	O	O
nonsteroidal	nonsteroidal	O	O	O	O
anti-inflammatory	anti-inflammatory	O	O	O	O
drugs	drugs	O	O	O	O
(	(	O	O	O	O
NSAIDs	nsaids	O	O	OTHERS	I
)	)	O	O	O	O
suggests	suggests	O	O	O	O
that	that	O	O	O	O
a	a	O	O	O	O
low	low	O	O	O	O
incidence	incidence	O	O	O	O
of	of	O	O	O	O
developmental	developmental	O	O	OTHERS	I
anomalies	anomalies	O	O	OTHERS	I
occurs	occurs	O	O	O	O
in	in	O	O	O	O
rats	rats	O	O	O	O
given	given	O	O	O	O
NSAIDs	nsaids	O	O	OTHERS	I
on	on	O	O	O	O
specific	specific	O	O	O	O
days	days	O	O	O	O
during	during	O	O	O	O
organogenesis	organogenesis	O	O	O	O
.	.	O	O	O	O

Aspirin	aspirin	CHEMICALS	O	OTHERS	I
(	(	O	O	O	O
acetylsalicylic	acetylsalicylic	CHEMICALS	O	OTHERS	I
acid	acid	CHEMICALS	O	OTHERS	I
[	[	O	O	O	O
ASA	asa	CHEMICALS	O	OTHERS	I
]	]	O	O	O	O
)	)	O	O	O	O
,	,	O	O	O	O
an	an	O	O	O	O
irreversible	irreversible	O	O	O	O
cyclooxygenase	cyclooxygenase	CHEMICALS	O	OTHERS	I
1	1	CHEMICALS	O	OTHERS	I
and	and	O	O	O	O
2	2	O	O	O	O
inhibitor	inhibitor	O	O	O	O
,	,	O	O	O	O
induces	induces	O	O	O	O
developmental	developmental	O	O	OTHERS	I
anomalies	anomalies	O	O	OTHERS	I
when	when	O	O	O	O
administered	administered	O	O	O	O
to	to	O	O	O	O
Wistar	wistar	O	O	O	O
rats	rats	O	O	O	O
on	on	O	O	O	O
gestational	gestational	O	O	O	O
day	day	O	O	O	O
(	(	O	O	O	O
