Neuroprotective	neuroprotective	O	O	O	O
action	action	O	O	O	O
of	of	O	O	O	O
MPEP	mpep	CHEMICALS	O	OTHERS	I
,	,	O	O	O	O
a	a	O	O	O	O
selective	selective	O	O	O	O
mGluR5	mglur5	O	O	O	O
antagonist	antagonist	O	O	O	O
,	,	O	O	O	O
in	in	O	O	O	O
methamphetamine-induced	methamphetamine-induced	O	O	O	O
dopaminergic	dopaminergic	O	O	O	O
neurotoxicity	neurotoxicity	O	DISEASE	OTHERS	I
is	is	O	O	O	O
associated	associated	O	O	O	O
with	with	O	O	O	O
a	a	O	O	O	O
decrease	decrease	O	O	O	O
in	in	O	O	O	O
dopamine	dopamine	CHEMICALS	O	OTHERS	I
outflow	outflow	O	O	O	O
and	and	O	O	O	O
inhibition	inhibition	O	O	O	O
of	of	O	O	O	O
hyperthermia	hyperthermia	O	DISEASE	OTHERS	I
in	in	O	O	O	O
rats	rats	O	O	O	O
.	.	O	O	O	O

The	the	O	O	O	O
aim	aim	O	O	O	O
of	of	O	O	O	O
this	this	O	O	O	O
study	study	O	O	O	O
was	was	O	O	O	O
to	to	O	O	O	O
examine	examine	O	O	O	O
the	the	O	O	O	O
role	role	O	O	O	O
of	of	O	O	O	O
metabotropic	metabotropic	O	O	O	O
glutamate	glutamate	CHEMICALS	O	OTHERS	I
receptor	receptor	O	O	O	O
5	5	O	O	O	O
(	(	O	O	O	O
mGluR5	mglur5	O	O	O	O
)	)	O	O	O	O
in	in	O	O	O	O
the	the	O	O	O	O
toxic	toxic	O	O	O	O
action	action	O	O	O	O
of	of	O	O	O	O
methamphetamine	methamphetamine	CHEMICALS	O	OTHERS	I
on	on	O	O	O	O
dopaminergic	dopaminergic	O	O	O	O
neurones	neurones	O	O	O	O
in	in	O	O	O	O
rats	rats	O	O	O	O
.	.	O	O	O	O

Methamphetamine	methamphetamine	CHEMICALS	O	OTHERS	I
(	(	O	O	O	O
10	10	O	O	O	O
mg/kg	mg/kg	O	O	O	O
sc	sc	O	O	O	O
)	)	O	O	O	O
,	,	O	O	O	O
administered	administered	O	O	O	O
five	five	O	O	O	O
times	times	O	O	O	O
,	,	O	O	O	O
reduced	reduced	O	O	O	O
the	the	O	O	O	O
levels	levels	O	O	O	O
of	of	O	O	O	O
dopamine	dopamine	CHEMICALS	O	OTHERS	I
and	and	O	O	O	O
its	its	O	O	O	O
metabolites	metabolites	O	O	O	O
in	in	O	O	O	O
striatal	striatal	O	O	O	O
tissue	tissue	O	O	O	O
when	when	O	O	O	O
measured	measured	O	O	O	O
72	72	O	O	O	O
h	h	CHEMICALS	O	OTHERS	I
after	after	O	O	O	O
the	the	O	O	O	O
last	last	O	O	O	O
injection	injection	O	O	O	O
.	.	O	O	O	O

A	a	O	O	O	O
selective	selective	O	O	O	O
antagonist	antagonist	O	O	O	O
of	of	O	O	O	O
mGluR5	mglur5	O	O	O	O
,	,	O	O	O	O
2-methyl-6-(phenylethynyl)pyridine	2-methyl-6-(phenylethynyl)pyridine	CHEMICALS	O	OTHERS	I
(	(	O	O	O	O
MPEP	mpep	CHEMICALS	O	OTHERS	I
;	;	O	O	O	O
5	5	O	O	O	O
mg/kg	mg/kg	O	O	O	O
ip	ip	O	O	O	O
)	)	O	O	O	O
,	,	O	O	O	O
when	when	O	O	O	O
administered	administered	O	O	O	O
five	five	O	O	O	O
times	times	O	O	O	O
immediately	immediately	O	O	O	O
before	before	O	O	O	O
each	each	O	O	O	O
methamphetamine	methamphetamine	CHEMICALS	O	OTHERS	I
injection	injection	O	O	O	O
reversed	reversed	O	O	O	O
the	the	O	O	O	O
above-mentioned	above-mentioned	O	O	O	O
methamphetamine	methamphetamine	CHEMICALS	O	OTHERS	I
effects	effects	O	O	O	O
.	.	O	O	O	O

A	a	O	O	O	O
single	single	O	O	O	O
MPEP	mpep	CHEMICALS	O	OTHERS	I
(	(	O	O	O	O
5	5	O	O	O	O
mg/kg	mg/kg	O	O	O	O
ip	ip	O	O	O	O
)	)	O	O	O	O
injection	injection	O	O	O	O
reduced	reduced	O	O	O	O
