Hypersensitivity	hypersensitivity	O	DISEASE	OTHERS	I
immune	immune	O	O	O	O
reaction	reaction	O	O	O	O
as	as	O	O	O	O
a	a	O	O	O	O
mechanism	mechanism	O	O	O	O
for	for	O	O	O	O
dilevalol-associated	dilevalol-associated	O	O	O	O
hepatitis	hepatitis	O	DISEASE	OTHERS	I
.	.	O	O	O	O

OBJECTIVE	objective	O	O	O	O
:	:	O	O	O	O
To	to	O	O	O	O
assess	assess	O	O	O	O
lymphocyte	lymphocyte	O	O	O	O
reactivity	reactivity	O	O	O	O
to	to	O	O	O	O
dilevalol	dilevalol	O	O	OTHERS	I
and	and	O	O	O	O
to	to	O	O	O	O
serum	serum	O	O	O	O
containing	containing	O	O	O	O
putative	putative	O	O	O	O
ex	ex	O	O	O	O
vivo	vivo	O	O	O	O
dilevalol	dilevalol	O	O	OTHERS	I
antigens	antigens	O	O	O	O
or	or	O	O	O	O
metabolites	metabolites	O	O	O	O
in	in	O	O	O	O
a	a	O	O	O	O
case	case	O	O	O	O
of	of	O	O	O	O
dilevalol-induced	dilevalol-induced	O	O	O	O
liver	liver	O	DISEASE	OTHERS	I
injury	injury	O	DISEASE	OTHERS	I
.	.	O	O	O	O

PATIENT	patient	O	O	O	O
:	:	O	O	O	O
A	a	O	O	O	O
58-year-old	58-year-old	O	O	O	O
woman	woman	O	O	O	O
with	with	O	O	O	O
a	a	O	O	O	O
clinical	clinical	O	O	O	O
diagnosis	diagnosis	O	O	O	O
of	of	O	O	O	O
dilevalol-induced	dilevalol-induced	O	O	O	O
liver	liver	O	DISEASE	OTHERS	I
injury	injury	O	DISEASE	OTHERS	I
.	.	O	O	O	O

METHODS	methods	O	O	O	O
:	:	O	O	O	O
Peripheral	peripheral	O	O	O	O
blood	blood	O	O	O	O
mononuclear	mononuclear	O	O	O	O
cells	cells	O	O	O	O
collected	collected	O	O	O	O
from	from	O	O	O	O
the	the	O	O	O	O
patient	patient	O	O	O	O
were	were	O	O	O	O
cultured	cultured	O	O	O	O
in	in	O	O	O	O
the	the	O	O	O	O
presence	presence	O	O	O	O
of	of	O	O	O	O
a	a	O	O	O	O
solution	solution	O	O	O	O
of	of	O	O	O	O
dilevalol	dilevalol	O	O	OTHERS	I
and	and	O	O	O	O
also	also	O	O	O	O
with	with	O	O	O	O
sera	sera	O	O	O	O
collected	collected	O	O	O	O
from	from	O	O	O	O
a	a	O	O	O	O
volunteer	volunteer	O	O	O	O
before	before	O	O	O	O
and	and	O	O	O	O
after	after	O	O	O	O
dilevalol	dilevalol	O	O	OTHERS	I
intake	intake	O	O	O	O
.	.	O	O	O	O

A	a	O	O	O	O
similar	similar	O	O	O	O
protocol	protocol	O	O	O	O
was	was	O	O	O	O
performed	performed	O	O	O	O
with	with	O	O	O	O
lymphocytes	lymphocytes	O	O	O	O
from	from	O	O	O	O
a	a	O	O	O	O
healthy	healthy	O	O	O	O
subject	subject	O	O	O	O
.	.	O	O	O	O

RESULTS	results	O	O	O	O
:	:	O	O	O	O
No	no	O	O	O	O
lymphocyte	lymphocyte	O	O	O	O
proliferation	proliferation	O	O	O	O
was	was	O	O	O	O
observed	observed	O	O	O	O
either	either	O	O	O	O
in	in	O	O	O	O
the	the	O	O	O	O
patient	patient	O	O	O	O
or	or	O	O	O	O
in	in	O	O	O	O
the	the	O	O	O	O
healthy	healthy	O	O	O	O
volunteer	volunteer	O	O	O	O
in	in	O	O	O	O
the	the	O	O	O	O
presence	presence	O	O	O	O
of	of	O	O	O	O
dilevalol	dilevalol	O	O	OTHERS	I
solutions	solutions	O	O	O	O
.	.	O	O	O	O

A	a	O	O	O	O
significant	significant	O	O	O	O
proliferative	proliferative	O	O	O	O
response	response	O	O	O	O
to	to	O	O	O	O
serum	serum	O	O	O	O
collected	collected	O	O	O	O
after	after	O	O	O	O
dilevalol	dilevalol	O	O	OTHERS	I
intake	intake	O	O	O	O
was	was	O	O	O	O
observed	observed	O	O	O	O
in	in	O	O	O	O
the	the	O	O	O	O
case	case	O	O	O	O
of	of	O	O	O	O
the	the	O	O	O	O
patient	patient	O	O	O	O
compared	compared	O	O	O	O
with	with	O	O	O	O
the	the	O	O	O	O
proliferative	proliferative	O	O	O	O
response	response	O	O	O	O
to	to	O	O	O	O
the	the	O	O	O	O
serum	serum	O	O	O	O
collected	collected	O	O	O	O
before	before	O	O	O	O
the	the	O	O	O	O
drug	drug	O	O	O	O
intake	intake	O	O	O	O
.	.	O	O	O	O

No	no	O	O	O	O
reactivity	reactivity	O	O	O	O
was	was	O	O	O	O
found	found	O	O	O	O
when	when	O	O	O	O
lymphocytes	lymphocytes	O	O	O	O
from	from	O	O	O	O
the	the	O	O	O	O
healthy	healthy	O	O	O	O
subject	subject	O	O	O	O
were	were	O	O	O	O
tested	tested	O	O	O	O
under	under	O	O	O	O
similar	similar	O	O	O	O
conditions	conditions	O	O	O	O
.	.	O	O	O	O

CONCLUSIONS	conclusions	O	O	O	O
:	:	O	O	O	O
The	the	O	O	O	O
methodology	methodology	O	O	O	O
used	used	O	O	O	O
allowed	allowed	O	O	O	O
the	the	O	O	O	O
detection	detection	O	O	O	O
of	of	O	O	O	O
lymphocyte	lymphocyte	O	O	O	O
sensitization	sensitization	O	O	O	O
to	to	O	O	O	O
sera	sera	O	O	O	O
containing	containing	O	O	O	O
ex	ex	O	O	O	O
vivo-prepared	vivo-prepared	O	O	O	O
dilevalol	dilevalol	O	O	OTHERS	I
antigens	antigens	O	O	O	O
,	,	O	O	O	O
suggesting	suggesting	O	O	O	O
the	the	O	O	O	O
involvement	involvement	O	O	O	O
of	of	O	O	O	O
an	an	O	O	O	O
immunologic	immunologic	O	O	O	O
mechanism	mechanism	O	O	O	O
in	in	O	O	O	O
dilevalol-induced	dilevalol-induced	O	O	O	O
liver	liver	O	DISEASE	OTHERS	I
injury	injury	O	DISEASE	OTHERS	I
.	.	O	O	O	O

