Urinary	urinary	O	O	OTHERS	I
bladder	bladder	O	DISEASE	OTHERS	I
cancer	cancer	O	DISEASE	OTHERS	I
in	in	O	O	O	O
Wegener	wegener	O	DISEASE	OTHERS	I
's	's	O	DISEASE	OTHERS	I
granulomatosis	granulomatosis	O	DISEASE	OTHERS	I
:	:	O	O	O	O
risks	risks	O	O	O	O
and	and	O	O	O	O
relation	relation	O	O	O	O
to	to	O	O	O	O
cyclophosphamide	cyclophosphamide	CHEMICALS	O	OTHERS	I
.	.	O	O	O	O

OBJECTIVE	objective	O	O	O	O
:	:	O	O	O	O
To	to	O	O	O	O
assess	assess	O	O	O	O
and	and	O	O	O	O
characterise	characterise	O	O	O	O
the	the	O	O	O	O
risk	risk	O	O	O	O
of	of	O	O	O	O
bladder	bladder	O	DISEASE	OTHERS	I
cancer	cancer	O	DISEASE	OTHERS	I
,	,	O	O	O	O
and	and	O	O	O	O
its	its	O	O	O	O
relation	relation	O	O	O	O
to	to	O	O	O	O
cyclophosphamide	cyclophosphamide	CHEMICALS	O	OTHERS	I
,	,	O	O	O	O
in	in	O	O	O	O
patients	patients	O	O	O	O
with	with	O	O	O	O
Wegener	wegener	O	DISEASE	OTHERS	I
's	's	O	DISEASE	OTHERS	I
granulomatosis	granulomatosis	O	DISEASE	OTHERS	I
.	.	O	O	O	O

METHODS	methods	O	O	O	O
:	:	O	O	O	O
In	in	O	O	O	O
the	the	O	O	O	O
population	population	O	O	O	O
based	based	O	O	O	O
,	,	O	O	O	O
nationwide	nationwide	O	O	O	O
Swedish	swedish	O	O	O	O
Inpatient	inpatient	O	O	O	O
Register	register	O	O	O	O
a	a	O	O	O	O
cohort	cohort	O	O	O	O
of	of	O	O	O	O
1065	1065	O	O	O	O
patients	patients	O	O	O	O
with	with	O	O	O	O
Wegener	wegener	O	DISEASE	OTHERS	I
's	's	O	DISEASE	OTHERS	I
granulomatosis	granulomatosis	O	DISEASE	OTHERS	I
,	,	O	O	O	O
1969	1969	O	O	O	O
-	-	O	O	O	O
95	95	O	O	O	O
,	,	O	O	O	O
was	was	O	O	O	O
identified	identified	O	O	O	O
.	.	O	O	O	O

Through	through	O	O	O	O
linkage	linkage	O	O	O	O
with	with	O	O	O	O
the	the	O	O	O	O
Swedish	swedish	O	O	O	O
Cancer	cancer	O	DISEASE	OTHERS	I
Register	register	O	O	O	O
,	,	O	O	O	O
all	all	O	O	O	O
subjects	subjects	O	O	O	O
in	in	O	O	O	O
this	this	O	O	O	O
cohort	cohort	O	O	O	O
diagnosed	diagnosed	O	O	O	O
with	with	O	O	O	O
bladder	bladder	O	DISEASE	OTHERS	I
cancer	cancer	O	DISEASE	OTHERS	I
were	were	O	O	O	O
identified	identified	O	O	O	O
.	.	O	O	O	O

Nested	nested	O	O	O	O
within	within	O	O	O	O
