Safety	safety	O	O	O	O
and	and	O	O	O	O
adverse	adverse	O	O	O	O
effects	effects	O	O	O	O
associated	associated	O	O	O	O
with	with	O	O	O	O
raloxifene	raloxifene	CHEMICALS	O	OTHERS	I
:	:	O	O	O	O
multiple	multiple	O	O	O	O
outcomes	outcomes	O	O	O	O
of	of	O	O	O	O
raloxifene	raloxifene	CHEMICALS	O	OTHERS	I
evaluation	evaluation	O	O	O	O
.	.	O	O	O	O

OBJECTIVE	objective	O	O	O	O
:	:	O	O	O	O
To	to	O	O	O	O
examine	examine	O	O	O	O
the	the	O	O	O	O
effect	effect	O	O	O	O
of	of	O	O	O	O
raloxifene	raloxifene	CHEMICALS	O	OTHERS	I
on	on	O	O	O	O
major	major	O	O	O	O
adverse	adverse	O	O	O	O
events	events	O	O	O	O
that	that	O	O	O	O
occur	occur	O	O	O	O
with	with	O	O	O	O
postmenopausal	postmenopausal	O	O	O	O
estrogen	estrogen	CHEMICALS	O	OTHERS	I
therapy	therapy	O	O	O	O
or	or	O	O	O	O
tamoxifen	tamoxifen	CHEMICALS	O	OTHERS	I
.	.	O	O	O	O

METHODS	methods	O	O	O	O
:	:	O	O	O	O
The	the	O	O	O	O
Multiple	multiple	O	O	O	O
Outcomes	outcomes	O	O	O	O
of	of	O	O	O	O
Raloxifene	raloxifene	CHEMICALS	O	OTHERS	I
Evaluation	evaluation	O	O	O	O
,	,	O	O	O	O
a	a	O	O	O	O
multicenter	multicenter	O	O	O	O
,	,	O	O	O	O
randomized	randomized	O	O	O	O
,	,	O	O	O	O
double-blind	double-blind	O	O	O	O
trial	trial	O	O	O	O
,	,	O	O	O	O
enrolled	enrolled	O	O	O	O
7,705	7,705	O	O	O	O
postmenopausal	postmenopausal	O	O	O	O
women	women	O	O	O	O
with	with	O	O	O	O
osteoporosis	osteoporosis	O	DISEASE	OTHERS	I
.	.	O	O	O	O

Women	women	O	O	O	O
were	were	O	O	O	O
randomly	randomly	O	O	O	O
assigned	assigned	O	O	O	O
to	to	O	O	O	O
raloxifene	raloxifene	CHEMICALS	O	OTHERS	I
60	60	O	O	O	O
mg/d	mg/d	O	O	O	O
or	or	O	O	O	O
120	120	O	O	O	O
mg/d	mg/d	O	O	O	O
or	or	O	O	O	O
placebo	placebo	O	O	O	O
.	.	O	O	O	O

Outcomes	outcomes	O	O	O	O
included	included	O	O	O	O
