Adequate	adequate	O	O	O	O
timing	timing	O	O	O	O
of	of	O	O	O	O
ribavirin	ribavirin	CHEMICALS	O	OTHERS	I
reduction	reduction	O	O	O	O
in	in	O	O	O	O
patients	patients	O	O	O	O
with	with	O	O	O	O
hemolysis	hemolysis	O	DISEASE	OTHERS	I
during	during	O	O	O	O
combination	combination	O	O	O	O
therapy	therapy	O	O	O	O
of	of	O	O	O	O
interferon	interferon	O	O	OTHERS	I
and	and	O	O	O	O
ribavirin	ribavirin	CHEMICALS	O	OTHERS	I
for	for	O	O	O	O
chronic	chronic	O	O	O	O
hepatitis	hepatitis	O	DISEASE	OTHERS	I
C.BACKGROUND	c.background	O	O	O	O
:	:	O	O	O	O
Hemolytic	hemolytic	O	DISEASE	OTHERS	I
anemia	anemia	O	DISEASE	OTHERS	I
is	is	O	O	O	O
one	one	O	O	O	O
of	of	O	O	O	O
the	the	O	O	O	O
major	major	O	O	O	O
adverse	adverse	O	O	O	O
events	events	O	O	O	O
of	of	O	O	O	O
the	the	O	O	O	O
combination	combination	O	O	O	O
therapy	therapy	O	O	O	O
of	of	O	O	O	O
interferon	interferon	O	O	OTHERS	I
and	and	O	O	O	O
ribavirin	ribavirin	CHEMICALS	O	OTHERS	I
.	.	O	O	O	O

Because	because	O	O	O	O
of	of	O	O	O	O
ribavirin-related	ribavirin-related	O	O	O	O
hemolytic	hemolytic	O	DISEASE	OTHERS	I
anemia	anemia	O	DISEASE	OTHERS	I
,	,	O	O	O	O
dose	dose	O	O	O	O
reduction	reduction	O	O	O	O
is	is	O	O	O	O
a	a	O	O	O	O
common	common	O	O	O	O
event	event	O	O	O	O
in	in	O	O	O	O
this	this	O	O	O	O
therapy	therapy	O	O	O	O
.	.	O	O	O	O

In	in	O	O	O	O
this	this	O	O	O	O
clinical	clinical	O	O	O	O
retrospective	retrospective	O	O	O	O
cohort	cohort	O	O	O	O
study	study	O	O	O	O
we	we	O	O	O	O
have	have	O	O	O	O
examined	examined	O	O	O	O
the	the	O	O	O	O
suitable	suitable	O	O	O	O
timing	timing	O	O	O	O
of	of	O	O	O	O
ribavirin	ribavirin	CHEMICALS	O	OTHERS	I
reduction	reduction	O	O	O	O
in	in	O	O	O	O
patients	patients	O	O	O	O
with	with	O	O	O	O
hemolysis	hemolysis	O	DISEASE	OTHERS	I
during	during	O	O	O	O
combination	combination	O	O	O	O
therapy	therapy	O	O	O	O
.	.	O	O	O	O

METHODS	methods	O	O	O	O
:	:	O	O	O	O
Thirty-seven	thirty-seven	O	O	O	O
of	of	O	O	O	O
160	160	O	O	O	O
patients	patients	O	O	O	O
who	who	O	O	O	O
had	had	O	O	O	O
HCV-genotype	hcv-genotype	O	O	O	O
1b	1b	O	O	O	O
,	,	O	O	O	O
had	had	O	O	O	O
high	high	O	O	O	O
virus	virus	O	O	O	O
load	load	O	O	O	O
,	,	O	O	O	O
and	and	O	O	O	O
received	received	O	O	O	O
24-week	24-week	O	O	O	O
combination	combination	O	O	O	O
therapy	therapy	O	O	O	O
developed	developed	O	O	O	O
anemia	anemia	O	DISEASE	OTHERS	I
with	with	O	O	O	O
hemoglobin	hemoglobin	O	O	O	O
level	level	O	O	O	O
<	<	O	O	O	O
10	10	O	O	O	O
g/dl	g/dl	O	O	O	O
or	or	O	O	O	O
anemia-related	anemia-related	O	O	O	O
signs	signs	O	O	O	O
during	during	O	O	O	O
therapy	therapy	O	O	O	O
.	.	O	O	O	O

After	after	O	O	O	O
that	that	O	O	O	O
,	,	O	O	O	O
these	these	O	O	O	O
37	37	O	O	O	O
patients	patients	O	O	O	O
were	were	O	O	O	O
reduced	reduced	O	O	O	O
one	one	O	O	O	O
tablet	tablet	O	O	O	O
of	of	O	O	O	O
ribavirin	ribavirin	CHEMICALS	O	OTHERS	I
(	(	O	O	O	O
200	200	O	O	O	O
mg	mg	O	O	OTHERS	I
)	)	O	O	O	O
per	per	O	O	O	O
day	day	O	O	O	O
.	.	O	O	O	O

After	after	O	O	O	O
reduction	reduction	O	O	O	O
of	of	O	O	O	O
ribavirin	ribavirin	CHEMICALS	O	OTHERS	I
,	,	O	O	O	O
27	27	O	O	O	O
of	of	O	O	O	O
37	37	O	O	O	O
patients	patients	O	O	O	O
could	could	O	O	O	O
continue	continue	O	O	O	O
combination	combination	O	O	O	O
therapy	therapy	O	O	O	O
for	for	O	O	O	O
a	a	O	O	O	O
total	total	O	O	O	O
of	of	O	O	O	O
24	24	O	O	O	O
weeks	weeks	O	O	O	O
(	(	O	O	O	O
group	group	O	O	O	O
A	a	O	O	O	O
)	)	O	O	O	O
.	.	O	O	O	O

However	however	O	O	O	O
,	,	O	O	O	O
10	10	O	O	O	O
of	of	O	O	O	O
37	37	O	O	O	O
patients	patients	O	O	O	O
with	with	O	O	O	O
reduction	reduction	O	O	O	O
of	of	O	O	O	O
ribavirin	ribavirin	CHEMICALS	O	OTHERS	I
could	could	O	O	O	O
not	not	O	O	O	O
continue	continue	O	O	O	O
combination	combination	O	O	O	O
therapy	therapy	O	O	O	O
because	because	O	O	O	O
their	their	O	O	O	O
<	<	O	O	O	O
8.5	8.5	O	O	O	O
g/dl	g/dl	O	O	O	O
hemoglobin	hemoglobin	O	O	O	O
values	values	O	O	O	O
decreased	decreased	O	O	O	O
to	to	O	O	O	O
or	or	O	O	O	O
anemia-related	anemia-related	O	O	O	O
severe	severe	O	O	O	O
side	side	O	O	O	O
effects	effects	O	O	O	O
occurred	occurred	O	O	O	O
(	(	O	O	O	O
group	group	O	O	O	O
B	b	O	O	O	O
)	)	O	O	O	O
.	.	O	O	O	O

We	we	O	O	O	O
assessed	assessed	O	O	O	O
the	the	O	O	O	O
final	final	O	O	O	O
efficacy	efficacy	O	O	O	O
and	and	O	O	O	O
safety	safety	O	O	O	O
after	after	O	O	O	O
reduction	reduction	O	O	O	O
of	of	O	O	O	O
ribavirin	ribavirin	CHEMICALS	O	OTHERS	I
in	in	O	O	O	O
groups	groups	O	O	O	O
A	a	O	O	O	O
and	and	O	O	O	O
B.	b.	O	O	O	O
RESULTS	results	O	O	O	O
:	:	O	O	O	O
A	a	O	O	O	O
sustained	sustained	O	O	O	O
virological	virological	O	O	O	O
response	response	O	O	O	O
(	(	O	O	O	O
SVR	svr	O	O	O	O
)	)	O	O	O	O
was	was	O	O	O	O
29.6	29.6	O	O	O	O
%	%	O	O	O	O
(	(	O	O	O	O
8/27	8/27	O	O	O	O
)	)	O	O	O	O
in	in	O	O	O	O
group	group	O	O	O	O
A	a	O	O	O	O
and	and	O	O	O	O
10	10	O	O	O	O
%	%	O	O	O	O
(	(	O	O	O	O
1/10	1/10	O	O	O	O
)	)	O	O	O	O
in	in	O	O	O	O
group	group	O	O	O	O
B	b	O	O	O	O
,	,	O	O	O	O
respectively	respectively	O	O	O	O
.	.	O	O	O	O

A	a	O	O	O	O
34.4	34.4	O	O	O	O
%	%	O	O	O	O
(	(	O	O	O	O
12/27	12/27	O	O	O	O
)	)	O	O	O	O
of	of	O	O	O	O
SVR	svr	O	O	O	O
+	+	O	O	O	O
biological	biological	O	O	O	O
response	response	O	O	O	O
in	in	O	O	O	O
group	group	O	O	O	O
A	a	O	O	O	O
was	was	O	O	O	O
higher	higher	O	O	O	O
than	than	O	O	O	O
10	10	O	O	O	O
%	%	O	O	O	O
(	(	O	O	O	O
1/10	1/10	O	O	O	O
)	)	O	O	O	O
in	in	O	O	O	O
group	group	O	O	O	O
B	b	O	O	O	O
(	(	O	O	O	O
P	p	O	O	OTHERS	I
=	=	O	O	O	O
0.051	0.051	O	O	O	O
)	)	O	O	O	O
,	,	O	O	O	O
with	with	O	O	O	O
slight	slight	O	O	O	O
significance	significance	O	O	O	O
.	.	O	O	O	O

With	with	O	O	O	O
respect	respect	O	O	O	O
to	to	O	O	O	O
hemoglobin	hemoglobin	O	O	O	O
level	level	O	O	O	O
at	at	O	O	O	O
the	the	O	O	O	O
time	time	O	O	O	O
of	of	O	O	O	O
ribavirin	ribavirin	CHEMICALS	O	OTHERS	I
reduction	reduction	O	O	O	O
,	,	O	O	O	O
a	a	O	O	O	O
rate	rate	O	O	O	O
of	of	O	O	O	O
continuation	continuation	O	O	O	O
of	of	O	O	O	O
therapy	therapy	O	O	O	O
in	in	O	O	O	O
patients	patients	O	O	O	O
with	with	O	O	O	O
>	>	O	O	O	O
or	or	O	O	O	O
=	=	O	O	O	O
10	10	O	O	O	O
g/dl	g/dl	O	O	O	O
hemoglobin	hemoglobin	O	O	O	O
was	was	O	O	O	O
higher	higher	O	O	O	O
than	than	O	O	O	O
that	that	O	O	O	O
in	in	O	O	O	O
patients	patients	O	O	O	O
with	with	O	O	O	O
<	<	O	O	O	O
10	10	O	O	O	O
g/dl	g/dl	O	O	O	O
(	(	O	O	O	O
P	p	O	O	OTHERS	I
=	=	O	O	O	O
0.036	0.036	O	O	O	O
)	)	O	O	O	O
.	.	O	O	O	O

CONCLUSIONS	conclusions	O	O	O	O
:	:	O	O	O	O
Reduction	reduction	O	O	O	O
of	of	O	O	O	O
ribavirin	ribavirin	CHEMICALS	O	OTHERS	I
at	at	O	O	O	O
hemoglobin	hemoglobin	O	O	O	O
level	level	O	O	O	O
>	>	O	O	O	O
or	or	O	O	O	O
=	=	O	O	O	O
10	10	O	O	O	O
g/dl	g/dl	O	O	O	O
is	is	O	O	O	O
suitable	suitable	O	O	O	O
in	in	O	O	O	O
terms	terms	O	O	O	O
of	of	O	O	O	O
efficacy	efficacy	O	O	O	O
and	and	O	O	O	O
side	side	O	O	O	O
effects	effects	O	O	O	O
.	.	O	O	O	O

