Absence	absence	O	O	O	O
of	of	O	O	O	O
acute	acute	O	O	O	O
cerebral	cerebral	O	O	O	O
vasoconstriction	vasoconstriction	O	O	O	O
after	after	O	O	O	O
cocaine-associated	cocaine-associated	O	O	O	O
subarachnoid	subarachnoid	O	DISEASE	OTHERS	I
hemorrhage	hemorrhage	O	DISEASE	OTHERS	I
.	.	O	O	O	O

INTRODUCTION	introduction	O	O	O	O
:	:	O	O	O	O
Cocaine	cocaine	CHEMICALS	O	OTHERS	I
use	use	O	O	O	O
has	has	O	O	O	O
been	been	O	O	O	O
associated	associated	O	O	O	O
with	with	O	O	O	O
neurovascular	neurovascular	O	O	OTHERS	I
complications	complications	O	O	OTHERS	I
,	,	O	O	O	O
including	including	O	O	O	O
arterial	arterial	O	O	O	O
vasoconstriction	vasoconstriction	O	O	O	O
and	and	O	O	O	O
vasculitis	vasculitis	O	DISEASE	OTHERS	I
.	.	O	O	O	O

However	however	O	O	O	O
,	,	O	O	O	O
there	there	O	O	O	O
are	are	O	O	O	O
few	few	O	O	O	O
studies	studies	O	O	O	O
of	of	O	O	O	O
angiographic	angiographic	O	O	O	O
effects	effects	O	O	O	O
of	of	O	O	O	O
cocaine	cocaine	CHEMICALS	O	OTHERS	I
on	on	O	O	O	O
human	human	O	O	O	O
cerebral	cerebral	O	O	O	O
arteries	arteries	O	O	O	O
.	.	O	O	O	O

Information	information	O	O	O	O
on	on	O	O	O	O
these	these	O	O	O	O
effects	effects	O	O	O	O
could	could	O	O	O	O
be	be	O	O	O	O
obtained	obtained	O	O	O	O
from	from	O	O	O	O
angiograms	angiograms	O	O	O	O
of	of	O	O	O	O
patients	patients	O	O	O	O
with	with	O	O	O	O
cocaine-associated	cocaine-associated	O	O	O	O
subarachnoid	subarachnoid	O	DISEASE	OTHERS	I
hemorrhage	hemorrhage	O	DISEASE	OTHERS	I
(	(	O	O	O	O
SAH	sah	O	O	OTHERS	I
)	)	O	O	O	O
who	who	O	O	O	O
underwent	underwent	O	O	O	O
angiography	angiography	O	O	O	O
shortly	shortly	O	O	O	O
after	after	O	O	O	O
cocaine	cocaine	CHEMICALS	O	OTHERS	I
use	use	O	O	O	O
.	.	O	O	O	O

METHODS	methods	O	O	O	O
:	:	O	O	O	O
We	we	O	O	O	O
screened	screened	O	O	O	O
patients	patients	O	O	O	O
with	with	O	O	O	O
SAH	sah	O	O	OTHERS	I
retrospectively	retrospectively	O	O	O	O
and	and	O	O	O	O
