Adverse	adverse	O	O	O	O
effect	effect	O	O	O	O
of	of	O	O	O	O
the	the	O	O	O	O
calcium	calcium	CHEMICALS	O	OTHERS	I
channel	channel	O	O	O	O
blocker	blocker	O	O	O	O
nitrendipine	nitrendipine	CHEMICALS	O	OTHERS	I
on	on	O	O	O	O
nephrosclerosis	nephrosclerosis	O	O	OTHERS	I
in	in	O	O	O	O
rats	rats	O	O	O	O
with	with	O	O	O	O
renovascular	renovascular	O	O	OTHERS	I
hypertension	hypertension	O	DISEASE	OTHERS	I
.	.	O	O	O	O

The	the	O	O	O	O
effect	effect	O	O	O	O
of	of	O	O	O	O
a	a	O	O	O	O
6-week	6-week	O	O	O	O
treatment	treatment	O	O	O	O
with	with	O	O	O	O
the	the	O	O	O	O
calcium	calcium	CHEMICALS	O	OTHERS	I
channel	channel	O	O	O	O
blocker	blocker	O	O	O	O
nitrendipine	nitrendipine	CHEMICALS	O	OTHERS	I
or	or	O	O	O	O
the	the	O	O	O	O
angiotensin	angiotensin	CHEMICALS	O	OTHERS	I
converting	converting	O	O	O	O
enzyme	enzyme	O	O	O	O
inhibitor	inhibitor	O	O	O	O
enalapril	enalapril	CHEMICALS	O	OTHERS	I
on	on	O	O	O	O
blood	blood	O	O	O	O
pressure	pressure	O	O	O	O
,	,	O	O	O	O
albuminuria	albuminuria	O	DISEASE	OTHERS	I
,	,	O	O	O	O
renal	renal	O	O	O	O
hemodynamics	hemodynamics	O	O	O	O
,	,	O	O	O	O
and	and	O	O	O	O
morphology	morphology	O	O	O	O
of	of	O	O	O	O
the	the	O	O	O	O
nonclipped	nonclipped	O	O	O	O
kidney	kidney	O	O	O	O
was	was	O	O	O	O
studied	studied	O	O	O	O
in	in	O	O	O	O
rats	rats	O	O	O	O
with	with	O	O	O	O
two-kidney	two-kidney	O	O	O	O
,	,	O	O	O	O
one	one	O	O	O	O
clip	clip	O	O	O	O
renovascular	renovascular	O	O	OTHERS	I
hypertension	hypertension	O	DISEASE	OTHERS	I
.	.	O	O	O	O

Six	six	O	O	O	O
weeks	weeks	O	O	O	O
after	after	O	O	O	O
clipping	clipping	O	O	O	O
of	of	O	O	O	O
one	one	O	O	O	O
renal	renal	O	O	O	O
artery	artery	O	O	O	O
,	,	O	O	O	O
hypertensive	hypertensive	O	DISEASE	OTHERS	I
rats	rats	O	O	O	O
(	(	O	O	O	O
178	178	O	O	O	O
+	+	O	O	O	O
/-	/-	O	O	O	O
4	4	O	O	O	O
mm	mm	O	O	OTHERS	I
Hg	hg	O	O	OTHERS	I
)	)	O	O	O	O
were	were	O	O	O	O
