Acute	acute	O	O	O	O
effects	effects	O	O	O	O
of	of	O	O	O	O
N-(2-propylpentanoyl)urea	n-(2-propylpentanoyl)urea	O	O	OTHERS	I
on	on	O	O	O	O
hippocampal	hippocampal	O	O	O	O
amino	amino	CHEMICALS	O	OTHERS	I
acid	acid	CHEMICALS	O	OTHERS	I
neurotransmitters	neurotransmitters	O	O	O	O
in	in	O	O	O	O
pilocarpine-induced	pilocarpine-induced	O	O	O	O
seizure	seizure	O	DISEASE	OTHERS	I
in	in	O	O	O	O
rats	rats	O	O	O	O
.	.	O	O	O	O

The	the	O	O	O	O
present	present	O	O	O	O
study	study	O	O	O	O
aimed	aimed	O	O	O	O
to	to	O	O	O	O
investigate	investigate	O	O	O	O
the	the	O	O	O	O
anticonvulsant	anticonvulsant	O	O	O	O
activity	activity	O	O	O	O
as	as	O	O	O	O
well	well	O	O	O	O
as	as	O	O	O	O
the	the	O	O	O	O
effects	effects	O	O	O	O
on	on	O	O	O	O
the	the	O	O	O	O
level	level	O	O	O	O
of	of	O	O	O	O
hippocampal	hippocampal	O	O	O	O
amino	amino	CHEMICALS	O	OTHERS	I
acid	acid	CHEMICALS	O	OTHERS	I
neurotransmitters	neurotransmitters	O	O	O	O
(	(	O	O	O	O
glutamate	glutamate	CHEMICALS	O	OTHERS	I
,	,	O	O	O	O
aspartate	aspartate	CHEMICALS	O	OTHERS	I
,	,	O	O	O	O
glycine	glycine	CHEMICALS	O	OTHERS	I
and	and	O	O	O	O
GABA	gaba	CHEMICALS	O	OTHERS	I
)	)	O	O	O	O
of	of	O	O	O	O
N-(2-propylpentanoyl)urea	n-(2-propylpentanoyl)urea	O	O	OTHERS	I
(	(	O	O	O	O
VPU	vpu	CHEMICALS	O	OTHERS	I
)	)	O	O	O	O
in	in	O	O	O	O
comparison	comparison	O	O	O	O
to	to	O	O	O	O
its	its	O	O	O	O
parent	parent	O	O	O	O
compound	compound	O	O	O	O
,	,	O	O	O	O
valproic	valproic	CHEMICALS	O	OTHERS	I
acid	acid	CHEMICALS	O	OTHERS	I
(	(	O	O	O	O
VPA	vpa	CHEMICALS	O	OTHERS	I
)	)	O	O	O	O
.	.	O	O	O	O

VPU	vpu	CHEMICALS	O	OTHERS	I
was	was	O	O	O	O
more	more	O	O	O	O
potent	potent	O	O	O	O
than	than	O	O	O	O
VPA	vpa	CHEMICALS	O	OTHERS	I
,	,	O	O	O	O
exhibiting	exhibiting	O	O	O	O
the	the	O	O	O	O
median	median	O	O	O	O
effective	effective	O	O	O	O
dose	dose	O	O	O	O
(	(	O	O	O	O
ED(50	ed(50	O	O	O	O
)	)	O	O	O	O
)	)	O	O	O	O
of	of	O	O	O	O
49	49	O	O	O	O
mg/kg	mg/kg	O	O	O	O
in	in	O	O	O	O
protecting	protecting	O	O	O	O
rats	rats	O	O	O	O
against	against	O	O	O	O
pilocarpine-induced	pilocarpine-induced	O	O	O	O
seizure	seizure	O	DISEASE	OTHERS	I
whereas	whereas	O	O	O	O
the	the	O	O	O	O
