Exaggerated	exaggerated	O	O	O	O
expression	expression	O	O	O	O
of	of	O	O	O	O
inflammatory	inflammatory	O	O	O	O
mediators	mediators	O	O	O	O
in	in	O	O	O	O
vasoactive	vasoactive	O	O	O	O
intestinal	intestinal	O	O	O	O
polypeptide	polypeptide	O	O	O	O
knockout	knockout	O	O	O	O
(	(	O	O	O	O
VIP-/-	vip-/-	O	O	O	O
)	)	O	O	O	O
mice	mice	O	O	O	O
with	with	O	O	O	O
cyclophosphamide	cyclophosphamide	CHEMICALS	O	OTHERS	I
(CYP)-induced	(cyp)-induced	O	O	O	O
cystitis	cystitis	O	DISEASE	OTHERS	I
.	.	O	O	O	O

Vasoactive	vasoactive	O	O	O	O
intestinal	intestinal	O	O	O	O
polypeptide	polypeptide	O	O	O	O
(	(	O	O	O	O
VIP	vip	O	O	O	O
)	)	O	O	O	O
is	is	O	O	O	O
an	an	O	O	O	O
immunomodulatory	immunomodulatory	O	O	O	O
neuropeptide	neuropeptide	O	O	O	O
distributed	distributed	O	O	O	O
in	in	O	O	O	O
micturition	micturition	O	O	O	O
pathways	pathways	O	O	O	O
.	.	O	O	O	O

VIP(-/-	vip(-/-	O	O	O	O
)	)	O	O	O	O
mice	mice	O	O	O	O
exhibit	exhibit	O	O	O	O
altered	altered	O	O	O	O
bladder	bladder	O	O	O	O
function	function	O	O	O	O
and	and	O	O	O	O
neurochemical	neurochemical	O	O	O	O
properties	properties	O	O	O	O
in	in	O	O	O	O
micturition	micturition	O	O	O	O
pathways	pathways	O	O	O	O
after	after	O	O	O	O
cyclophosphamide	cyclophosphamide	CHEMICALS	O	OTHERS	I
(CYP)-induced	(cyp)-induced	O	O	O	O
cystitis	cystitis	O	DISEASE	OTHERS	I
.	.	O	O	O	O

Given	given	O	O	O	O
VIP	vip	O	O	O	O
's	's	O	O	O	O
role	role	O	O	O	O
as	as	O	O	O	O
an	an	O	O	O	O
anti-inflammatory	anti-inflammatory	O	O	O	O
mediator	mediator	O	O	O	O
,	,	O	O	O	O
we	we	O	O	O	O
hypothesized	hypothesized	O	O	O	O
that	that	O	O	O	O
VIP(-/-	vip(-/-	O	O	O	O
)	)	O	O	O	O
mice	mice	O	O	O	O
would	would	O	O	O	O
exhibit	exhibit	O	O	O	O
enhanced	enhanced	O	O	O	O
inflammatory	inflammatory	O	O	O	O
mediator	mediator	O	O	O	O
expression	expression	O	O	O	O
after	after	O	O	O	O
cystitis	cystitis	O	DISEASE	OTHERS	I
.	.	O	O	O	O

A	a	O	O	O	O
mouse	mouse	O	O	O	O
inflammatory	inflammatory	O	O	O	O
cytokine	cytokine	O	O	O	O
and	and	O	O	O	O
receptor	receptor	O	O	O	O
RT2	rt2	O	O	O	O
profiler	profiler	O	O	O	O
array	array	O	O	O	O
was	was	O	O	O	O
used	used	O	O	O	O
to	to	O	O	O	O
determine	determine	O	O	O	O
regulated	regulated	O	O	O	O
transcripts	transcripts	O	O	O	O
in	in	O	O	O	O
the	the	O	O	O	O
urinary	urinary	O	O	O	O
bladder	bladder	O	O	O	O
of	of	O	O	O	O
wild	wild	O	O	O	O
type	type	O	O	O	O
(	(	O	O	O	O
WT	wt	O	O	O	O
)	)	O	O	O	O
and	and	O	O	O	O
VIP(-/-	vip(-/-	O	O	O	O
)	)	O	O	O	O
mice	mice	O	O	O	O
with	with	O	O	O	O
or	or	O	O	O	O
without	without	O	O	O	O
CYP-induced	cyp-induced	O	O	O	O
cystitis	cystitis	O	DISEASE	OTHERS	I
(	(	O	O	O	O
150	150	O	O	O	O
mg/kg	mg/kg	O	O	O	O
;	;	O	O	O	O
i.p	i.p	O	O	O	O
.	.	O	O	O	O
;	;	O	O	O	O
48	48	O	O	O	O
h	h	CHEMICALS	O	OTHERS	I
)	)	O	O	O	O
.	.	O	O	O	O

Four	four	O	O	O	O
binary	binary	O	O	O	O
comparisons	comparisons	O	O	O	O
were	were	O	O	O	O
made	made	O	O	O	O
:	:	O	O	O	O
WT	wt	O	O	O	O
control	control	O	O	O	O
versus	versus	O	O	O	O
CYP	cyp	O	O	OTHERS	I
treatment	treatment	O	O	O	O
(	(	O	O	O	O
48	48	O	O	O	O
h	h	CHEMICALS	O	OTHERS	I
)	)	O	O	O	O
,	,	O	O	O	O
VIP(-/-	vip(-/-	O	O	O	O
)	)	O	O	O	O
control	control	O	O	O	O
versus	versus	O	O	O	O
CYP	cyp	O	O	OTHERS	I
treatment	treatment	O	O	O	O
(	(	O	O	O	O
