Omitting	omitting	O	O	O	O
fentanyl	fentanyl	CHEMICALS	O	OTHERS	I
reduces	reduces	O	O	O	O
nausea	nausea	O	DISEASE	OTHERS	I
and	and	O	O	O	O
vomiting	vomiting	O	DISEASE	OTHERS	I
,	,	O	O	O	O
without	without	O	O	O	O
increasing	increasing	O	O	O	O
pain	pain	O	DISEASE	OTHERS	I
,	,	O	O	O	O
after	after	O	O	O	O
sevoflurane	sevoflurane	CHEMICALS	O	OTHERS	I
for	for	O	O	O	O
day	day	O	O	O	O
surgery	surgery	O	O	O	O
.	.	O	O	O	O

BACKGROUND	background	O	O	O	O
AND	and	O	O	O	O
OBJECTIVE	objective	O	O	O	O
:	:	O	O	O	O
Despite	despite	O	O	O	O
advantages	advantages	O	O	O	O
of	of	O	O	O	O
induction	induction	O	O	O	O
and	and	O	O	O	O
maintenance	maintenance	O	O	O	O
of	of	O	O	O	O
anaesthesia	anaesthesia	O	O	O	O
with	with	O	O	O	O
sevoflurane	sevoflurane	CHEMICALS	O	OTHERS	I
,	,	O	O	O	O
postoperative	postoperative	O	DISEASE	OTHERS	I
nausea	nausea	O	DISEASE	OTHERS	I
and	and	O	DISEASE	OTHERS	I
vomiting	vomiting	O	DISEASE	OTHERS	I
occurs	occurs	O	O	O	O
frequently	frequently	O	O	O	O
.	.	O	O	O	O

Fentanyl	fentanyl	CHEMICALS	O	OTHERS	I
is	is	O	O	O	O
a	a	O	O	O	O
commonly	commonly	O	O	O	O
used	used	O	O	O	O
supplement	supplement	O	O	O	O
that	that	O	O	O	O
may	may	O	O	O	O
contribute	contribute	O	O	O	O
to	to	O	O	O	O
this	this	O	O	O	O
,	,	O	O	O	O
although	although	O	O	O	O
it	it	O	O	O	O
may	may	O	O	O	O
also	also	O	O	O	O
improve	improve	O	O	O	O
analgesia	analgesia	O	O	OTHERS	I
.	.	O	O	O	O

METHODS	methods	O	O	O	O
:	:	O	O	O	O
This	this	O	O	O	O
double-blind	double-blind	O	O	O	O
study	study	O	O	O	O
examined	examined	O	O	O	O
the	the	O	O	O	O
incidence	incidence	O	O	O	O
and	and	O	O	O	O
severity	severity	O	O	O	O
of	of	O	O	O	O
postoperative	postoperative	O	DISEASE	OTHERS	I
nausea	nausea	O	DISEASE	OTHERS	I
and	and	O	DISEASE	OTHERS	I
vomiting	vomiting	O	DISEASE	OTHERS	I
and	and	O	O	O	O
pain	pain	O	DISEASE	OTHERS	I
in	in	O	O	O	O
the	the	O	O	O	O
first	first	O	O	O	O
24	24	O	O	O	O
h	h	CHEMICALS	O	OTHERS	I
after	after	O	O	O	O
sevoflurane	sevoflurane	CHEMICALS	O	OTHERS	I
anaesthesia	anaesthesia	O	O	O	O
in	in	O	O	O	O
216	216	O	O	O	O
adult	adult	O	O	O	O
day	day	O	O	O	O
surgery	surgery	O	O	O	O
patients	patients	O	O	O	O
.	.	O	O	O	O

Patients	patients	O	O	O	O
were	were	O	O	O	O
randomly	randomly	O	O	O	O
allocated	allocated	O	O	O	O
to	to	O	O	O	O
either	either	O	O	O	O
receive	receive	O	O	O	O
or	or	O	O	O	O
not	not	O	O	O	O
receive	receive	O	O	O	O
1	1	O	O	O	O
1	1	O	O	O	O
fentanyl	fentanyl	CHEMICALS	O	OTHERS	I
,	,	O	O	O	O
while	while	O	O	O	O
a	a	O	O	O	O
third	third	O	O	O	O
group	group	O	O	O	O
received	received	O	O	O	O
dexamethasone	dexamethasone	CHEMICALS	O	OTHERS	I
in	in	O	O	O	O
addition	addition	O	O	O	O
to	to	O	O	O	O
fentanyl	fentanyl	CHEMICALS	O	OTHERS	I
.	.	O	O	O	O

RESULTS	results	O	O	O	O
:	:	O	O	O	O
Omission	omission	O	O	O	O
of	of	O	O	O	O
fentanyl	fentanyl	CHEMICALS	O	OTHERS	I
did	did	O	O	O	O
not	not	O	O	O	O
reduce	reduce	O	O	O	O
the	the	O	O	O	O
overall	overall	O	O	O	O
incidence	incidence	O	O	O	O
of	of	O	O	O	O
postoperative	postoperative	O	DISEASE	OTHERS	I
nausea	nausea	O	DISEASE	OTHERS	I
and	and	O	DISEASE	OTHERS	I
vomiting	vomiting	O	DISEASE	OTHERS	I
,	,	O	O	O	O
but	but	O	O	O	O
did	did	O	O	O	O
reduce	reduce	O	O	O	O
the	the	O	O	O	O
incidence	incidence	O	O	O	O
of	of	O	O	O	O
vomiting	vomiting	O	DISEASE	OTHERS	I
and/or	and/or	O	O	O	O
moderate	moderate	O	O	O	O
to	to	O	O	O	O
severe	severe	O	O	O	O
nausea	nausea	O	DISEASE	OTHERS	I
prior	prior	O	O	O	O
to	to	O	O	O	O
discharge	discharge	O	O	O	O
from	from	O	O	O	O
20	20	O	O	O	O
%	%	O	O	O	O
and	and	O	O	O	O
17	17	O	O	O	O
%	%	O	O	O	O
with	with	O	O	O	O
fentanyl	fentanyl	CHEMICALS	O	OTHERS	I
and	and	O	O	O	O
fentanyl-dexamethasone	fentanyl-dexamethasone	O	O	O	O
,	,	O	O	O	O
respectively	respectively	O	O	O	O
,	,	O	O	O	O
to	to	O	O	O	O
5	5	O	O	O	O
%	%	O	O	O	O
(	(	O	O	O	O
P	p	O	O	OTHERS	I
=	=	O	O	O	O
0.013	0.013	O	O	O	O
)	)	O	O	O	O
.	.	O	O	O	O

Antiemetic	antiemetic	O	O	O	O
requirements	requirements	O	O	O	O
were	were	O	O	O	O
reduced	reduced	O	O	O	O
from	from	O	O	O	O
24	24	O	O	O	O
%	%	O	O	O	O
and	and	O	O	O	O
31	31	O	O	O	O
%	%	O	O	O	O
to	to	O	O	O	O
7	7	O	O	O	O
%	%	O	O	O	O
(	(	O	O	O	O
P	p	O	O	OTHERS	I
=	=	O	O	O	O
0.0012	0.0012	O	O	O	O
)	)	O	O	O	O
.	.	O	O	O	O

Dexamethasone	dexamethasone	CHEMICALS	O	OTHERS	I
had	had	O	O	O	O
no	no	O	O	O	O
significant	significant	O	O	O	O
effect	effect	O	O	O	O
on	on	O	O	O	O
the	the	O	O	O	O
incidence	incidence	O	O	O	O
or	or	O	O	O	O
severity	severity	O	O	O	O
of	of	O	O	O	O
postoperative	postoperative	O	DISEASE	OTHERS	I
nausea	nausea	O	DISEASE	OTHERS	I
and	and	O	DISEASE	OTHERS	I
vomiting	vomiting	O	DISEASE	OTHERS	I
