Longitudinal	longitudinal	O	O	O	O
assessment	assessment	O	O	O	O
of	of	O	O	O	O
air	air	O	O	O	O
conduction	conduction	O	O	O	O
audiograms	audiograms	O	O	O	O
in	in	O	O	O	O
a	a	O	O	O	O
phase	phase	O	O	O	O
III	iii	O	O	O	O
clinical	clinical	O	O	O	O
trial	trial	O	O	O	O
of	of	O	O	O	O
difluoromethylornithine	difluoromethylornithine	O	O	OTHERS	I
and	and	O	O	O	O
sulindac	sulindac	CHEMICALS	O	OTHERS	I
for	for	O	O	O	O
prevention	prevention	O	O	O	O
of	of	O	O	O	O
sporadic	sporadic	O	O	O	O
colorectal	colorectal	O	O	OTHERS	I
adenomas	adenomas	O	O	OTHERS	I
.	.	O	O	O	O

A	a	O	O	O	O
phase	phase	O	O	O	O
III	iii	O	O	O	O
clinical	clinical	O	O	O	O
trial	trial	O	O	O	O
assessed	assessed	O	O	O	O
the	the	O	O	O	O
recurrence	recurrence	O	O	O	O
of	of	O	O	O	O
adenomatous	adenomatous	O	DISEASE	OTHERS	I
polyps	polyps	O	DISEASE	OTHERS	I
after	after	O	O	O	O
treatment	treatment	O	O	O	O
for	for	O	O	O	O
36	36	O	O	O	O
months	months	O	O	O	O
with	with	O	O	O	O
difluoromethylornithine	difluoromethylornithine	O	O	OTHERS	I
(	(	O	O	O	O
DFMO	dfmo	O	O	OTHERS	I
)	)	O	O	O	O
plus	plus	O	O	O	O
sulindac	sulindac	CHEMICALS	O	OTHERS	I
or	or	O	O	O	O
matched	matched	O	O	O	O
placebos	placebos	O	O	O	O
.	.	O	O	O	O

Temporary	temporary	O	O	O	O
hearing	hearing	O	DISEASE	OTHERS	I
loss	loss	O	DISEASE	OTHERS	I
is	is	O	O	O	O
a	a	O	O	O	O
known	known	O	O	O	O
toxicity	toxicity	O	DISEASE	OTHERS	I
of	of	O	O	O	O
treatment	treatment	O	O	O	O
with	with	O	O	O	O
DFMO	dfmo	O	O	OTHERS	I
,	,	O	O	O	O
thus	thus	O	O	O	O
a	a	O	O	O	O
comprehensive	comprehensive	O	O	O	O
approach	approach	O	O	O	O
was	was	O	O	O	O
developed	developed	O	O	O	O
to	to	O	O	O	O
analyze	analyze	O	O	O	O
serial	serial	O	O	O	O
air	air	O	O	O	O
conduction	conduction	O	O	O	O
audiograms	audiograms	O	O	O	O
.	.	O	O	O	O

The	the	O	O	O	O
generalized	generalized	O	O	O	O
estimating	estimating	O	O	O	O
equation	equation	O	O	O	O
method	method	O	O	O	O
estimated	estimated	O	O	O	O
the	the	O	O	O	O
mean	mean	O	O	O	O
difference	difference	O	O	O	O
between	between	O	O	O	O
treatment	treatment	O	O	O	O
arms	arms	O	O	O	O
with	with	O	O	O	O
regard	regard	O	O	O	O
to	to	O	O	O	O
change	change	O	O	O	O
in	in	O	O	O	O
air	air	O	O	O	O
conduction	conduction	O	O	O	O
pure	pure	O	O	O	O
tone	tone	O	O	O	O
thresholds	thresholds	O	O	O	O
while	while	O	O	O	O
accounting	accounting	O	O	O	O
for	for	O	O	O	O
within-subject	within-subject	O	O	O	O
correlation	correlation	O	O	O	O
due	due	O	O	O	O
to	to	O	O	O	O
repeated	repeated	O	O	O	O
measurements	measurements	O	O	O	O
at	at	O	O	O	O
frequencies	frequencies	O	O	O	O
.	.	O	O	O	O

Based	based	O	O	O	O
on	on	O	O	O	O
290	290	O	O	O	O
subjects	subjects	O	O	O	O
,	,	O	O	O	O
there	there	O	O	O	O
was	was	O	O	O	O
an	an	O	O	O	O
average	average	O	O	O	O
difference	difference	O	O	O	O
of	of	O	O	O	O
0.50	0.50	O	O	O	O
dB	db	O	O	O	O
between	between	O	O	O	O
subjects	subjects	O	O	O	O
treated	treated	O	O	O	O
with	with	O	O	O	O
DFMO	dfmo	O	O	OTHERS	I
plus	plus	O	O	O	O
sulindac	sulindac	CHEMICALS	O	OTHERS	I
compared	compared	O	O	O	O
with	with	O	O	O	O
those	those	O	O	O	O
treated	treated	O	O	O	O
with	with	O	O	O	O
placebo	placebo	O	O	O	O
(	(	O	O	O	O
95	95	O	O	O	O
%	%	O	O	O	O
confidence	confidence	O	O	O	O
interval	interval	O	O	O	O
,	,	O	O	O	O
-0.64	-0.64	O	O	O	O
to	to	O	O	O	O
1.63	1.63	O	O	O	O
dB	db	O	O	O	O
;	;	O	O	O	O
P	p	O	O	OTHERS	I
=	=	O	O	O	O
0.39	0.39	O	O	O	O
)	)	O	O	O	O
,	,	O	O	O	O
adjusted	adjusted	O	O	O	O
for	for	O	O	O	O
baseline	baseline	O	O	O	O
values	values	O	O	O	O
,	,	O	O	O	O
age	age	O	O	O	O
,	,	O	O	O	O
and	and	O	O	O	O
frequencies	frequencies	O	O	O	O
.	.	O	O	O	O

In	in	O	O	O	O
the	the	O	O	O	O
normal	normal	O	O	O	O
speech	speech	O	O	O	O
range	range	O	O	O	O
of	of	O	O	O	O
500	500	O	O	O	O
to	to	O	O	O	O
3,000	3,000	O	O	O	O
Hz	hz	O	O	O	O
,	,	O	O	O	O
an	an	O	O	O	O
estimated	estimated	O	O	O	O
difference	difference	O	O	O	O
of	of	O	O	O	O
0.99	0.99	O	O	O	O
dB	db	O	O	O	O
(	(	O	O	O	O
-0.17	-0.17	O	O	O	O
to	to	O	O	O	O
2.14	2.14	O	O	O	O
dB	db	O	O	O	O
;	;	O	O	O	O
P	p	O	O	OTHERS	I
=	=	O	O	O	O
0.09	0.09	O	O	O	O
)	)	O	O	O	O
was	was	O	O	O	O
detected	detected	O	O	O	O
.	.	O	O	O	O

Dose	dose	O	O	O	O
intensity	intensity	O	O	O	O
did	did	O	O	O	O
not	not	O	O	O	O
add	add	O	O	O	O
information	information	O	O	O	O
to	to	O	O	O	O
models	models	O	O	O	O
.	.	O	O	O	O

There	there	O	O	O	O
were	were	O	O	O	O
14	14	O	O	O	O
