Testosterone-dependent	testosterone-dependent	O	O	O	O
hypertension	hypertension	O	DISEASE	OTHERS	I
and	and	O	O	O	O
upregulation	upregulation	O	O	O	O
of	of	O	O	O	O
intrarenal	intrarenal	O	O	O	O
angiotensinogen	angiotensinogen	O	O	O	O
in	in	O	O	O	O
Dahl	dahl	O	O	O	O
salt-sensitive	salt-sensitive	O	O	O	O
rats	rats	O	O	O	O
.	.	O	O	O	O

Blood	blood	O	O	O	O
pressure	pressure	O	O	O	O
(	(	O	O	O	O
BP	bp	O	O	O	O
)	)	O	O	O	O
is	is	O	O	O	O
more	more	O	O	O	O
salt	salt	CHEMICALS	O	OTHERS	I
sensitive	sensitive	O	O	O	O
in	in	O	O	O	O
men	men	O	O	O	O
than	than	O	O	O	O
in	in	O	O	O	O
premenopausal	premenopausal	O	O	O	O
women	women	O	O	O	O
.	.	O	O	O	O

In	in	O	O	O	O
Dahl	dahl	O	O	O	O
salt-sensitive	salt-sensitive	O	O	O	O
rats	rats	O	O	O	O
(	(	O	O	O	O
DS	ds	O	O	O	O
)	)	O	O	O	O
,	,	O	O	O	O
high-salt	high-salt	O	O	O	O
(	(	O	O	O	O
HS	hs	O	O	O	O
)	)	O	O	O	O
diet	diet	O	O	O	O
increases	increases	O	O	O	O
BP	bp	O	O	O	O
more	more	O	O	O	O
in	in	O	O	O	O
males	males	O	O	O	O
than	than	O	O	O	O
females	females	O	O	O	O
.	.	O	O	O	O

In	in	O	O	O	O
contrast	contrast	O	O	OTHERS	I
to	to	O	O	O	O
the	the	O	O	O	O
systemic	systemic	O	O	O	O
renin-angiotensin	renin-angiotensin	O	O	O	O
system	system	O	O	O	O
,	,	O	O	O	O
which	which	O	O	O	O
is	is	O	O	O	O
suppressed	suppressed	O	O	O	O
in	in	O	O	O	O
response	response	O	O	O	O
to	to	O	O	O	O
HS	hs	O	O	O	O
in	in	O	O	O	O
male	male	O	O	O	O
DS	ds	O	O	O	O
,	,	O	O	O	O
intrarenal	intrarenal	O	O	O	O
angiotensinogen	angiotensinogen	O	O	O	O
expression	expression	O	O	O	O
is	is	O	O	O	O
increased	increased	O	O	O	O
,	,	O	O	O	O
and	and	O	O	O	O
intrarenal	intrarenal	O	O	O	O
levels	levels	O	O	O	O
of	of	O	O	O	O
ANG	ang	O	O	O	O
II	ii	O	O	O	O
are	are	O	O	O	O
not	not	O	O	O	O
suppressed	suppressed	O	O	O	O
.	.	O	O	O	O

In	in	O	O	O	O
this	this	O	O	O	O
study	study	O	O	O	O
,	,	O	O	O	O
the	the	O	O	O	O
hypothesis	hypothesis	O	O	O	O
was	was	O	O	O	O
tested	tested	O	O	O	O
that	that	O	O	O	O
there	there	O	O	O	O
is	is	O	O	O	O
a	a	O	O	O	O
sexual	sexual	O	O	O	O
dimorphism	dimorphism	O	O	O	O
in	in	O	O	O	O
HS-induced	hs-induced	O	O	O	O
upregulation	upregulation	O	O	O	O
of	of	O	O	O	O
intrarenal	intrarenal	O	O	O	O
angiotensinogen	angiotensinogen	O	O	O	O
mediated	mediated	O	O	O	O
by	by	O	O	O	O
testosterone	testosterone	CHEMICALS	O	OTHERS	I
that	that	O	O	O	O
also	also	O	O	O	O
causes	causes	O	O	O	O
increases	increases	O	O	O	O
in	in	O	O	O	O
BP	bp	O	O	O	O
and	and	O	O	O	O
renal	renal	O	DISEASE	OTHERS	I
injury	injury	O	DISEASE	OTHERS	I
.	.	O	O	O	O

On	on	O	O	O	O
a	a	O	O	O	O
low-salt	low-salt	O	O	O	O
(	(	O	O	O	O
