Comparative	comparative	O	O	O	O
cognitive	cognitive	O	O	O	O
and	and	O	O	O	O
subjective	subjective	O	O	O	O
side	side	O	O	O	O
effects	effects	O	O	O	O
of	of	O	O	O	O
immediate-release	immediate-release	O	O	O	O
oxycodone	oxycodone	CHEMICALS	O	OTHERS	I
in	in	O	O	O	O
healthy	healthy	O	O	O	O
middle-aged	middle-aged	O	O	O	O
and	and	O	O	O	O
older	older	O	O	O	O
adults	adults	O	O	O	O
.	.	O	O	O	O

This	this	O	O	O	O
study	study	O	O	O	O
measured	measured	O	O	O	O
the	the	O	O	O	O
objective	objective	O	O	O	O
and	and	O	O	O	O
subjective	subjective	O	O	O	O
neurocognitive	neurocognitive	O	O	O	O
effects	effects	O	O	O	O
of	of	O	O	O	O
a	a	O	O	O	O
single	single	O	O	O	O
10-mg	10-mg	O	O	O	O
dose	dose	O	O	O	O
of	of	O	O	O	O
immediate-release	immediate-release	O	O	O	O
oxycodone	oxycodone	CHEMICALS	O	OTHERS	I
in	in	O	O	O	O
healthy	healthy	O	O	O	O
,	,	O	O	O	O
older	older	O	O	O	O
(	(	O	O	O	O
>	>	O	O	O	O
65	65	O	O	O	O
years	years	O	O	O	O
)	)	O	O	O	O
,	,	O	O	O	O
and	and	O	O	O	O
middle-aged	middle-aged	O	O	O	O
(	(	O	O	O	O
35	35	O	O	O	O
to	to	O	O	O	O
55	55	O	O	O	O
years	years	O	O	O	O
)	)	O	O	O	O
adults	adults	O	O	O	O
who	who	O	O	O	O
were	were	O	O	O	O
not	not	O	O	O	O
suffering	suffering	O	O	O	O
from	from	O	O	O	O
chronic	chronic	O	O	O	O
or	or	O	O	O	O
significant	significant	O	O	O	O
daily	daily	O	O	O	O
pain	pain	O	DISEASE	OTHERS	I
.	.	O	O	O	O

Seventy-one	seventy-one	O	O	O	O
participants	participants	O	O	O	O
completed	completed	O	O	O	O
2	2	O	O	O	O
separate	separate	O	O	O	O
study	study	O	O	O	O
days	days	O	O	O	O
and	and	O	O	O	O
were	were	O	O	O	O
blind	blind	O	O	OTHERS	I
to	to	O	O	O	O
medication	medication	O	O	O	O
condition	condition	O	O	O	O
(	(	O	O	O	O
placebo	placebo	O	O	O	O
,	,	O	O	O	O
10-mg	10-mg	O	O	O	O
oxycodone	oxycodone	CHEMICALS	O	OTHERS	I
)	)	O	O	O	O
.	.	O	O	O	O

Plasma	plasma	O	O	O	O
oxycodone	oxycodone	CHEMICALS	O	OTHERS	I
concentration	concentration	O	O	O	O
peaked	peaked	O	O	O	O
between	between	O	O	O	O
60	60	O	O	O	O
and	and	O	O	O	O
90	90	O	O	O	O
minutes	minutes	O	O	O	O
postdose	postdose	O	O	O	O
(	(	O	O	O	O
P	p	O	O	OTHERS	I
<	<	O	O	O	O
.01	.01	O	O	O	O
)	)	O	O	O	O
and	and	O	O	O	O
pupil	pupil	O	O	O	O
size	size	O	O	O	O
,	,	O	O	O	O
an	an	O	O	O	O
indication	indication	O	O	O	O
of	of	O	O	O	O
physiological	physiological	O	O	O	O
effects	effects	O	O	O	O
of	of	O	O	O	O
the	the	O	O	O	O
medication	medication	O	O	O	O
,	,	O	O	O	O
peaked	peaked	O	O	O	O
at	at	O	O	O	O
approximately	approximately	O	O	O	O
90	90	O	O	O	O
to	to	O	O	O	O
120	120	O	O	O	O
minutes	minutes	O	O	O	O
postdose	postdose	O	O	O	O
(	(	O	O	O	O
P	p	O	O	OTHERS	I
<	<	O	O	O	O
.01	.01	O	O	O	O
)	)	O	O	O	O
.	.	O	O	O	O

Significant	significant	O	O	O	O
declines	declines	O	O	O	O
in	in	O	O	O	O
simple	simple	O	O	O	O
and	and	O	O	O	O
sustained	sustained	O	O	O	O
attention	attention	O	O	O	O
,	,	O	O	O	O
working	working	O	O	O	O
memory	memory	O	O	O	O
,	,	O	O	O	O
and	and	O	O	O	O
verbal	verbal	O	O	O	O
memory	memory	O	O	O	O
were	were	O	O	O	O
observed	observed	O	O	O	O
at	at	O	O	O	O
1	1	O	O	O	O
hour	hour	O	O	O	O
postdose	postdose	O	O	O	O
compared	compared	O	O	O	O
to	to	O	O	O	O
baseline	baseline	O	O	O	O
for	for	O	O	O	O
both	both	O	O	O	O
age	age	O	O	O	O
groups	groups	O	O	O	O
with	with	O	O	O	O
a	a	O	O	O	O
trend	trend	O	O	O	O
toward	toward	O	O	O	O
return	return	O	O	O	O
to	to	O	O	O	O
baseline	baseline	O	O	O	O
by	by	O	O	O	O
5	5	O	O	O	O
hours	hours	O	O	O	O
postdose	postdose	O	O	O	O
.	.	O	O	O	O

For	for	O	O	O	O
almost	almost	O	O	O	O
all	all	O	O	O	O
cognitive	cognitive	O	O	O	O
measures	measures	O	O	O	O
,	,	O	O	O	O
there	there	O	O	O	O
were	were	O	O	O	O
no	no	O	O	O	O
medication	medication	O	O	O	O
by	by	O	O	O	O
age-interaction	age-interaction	O	O	O	O
effects	effects	O	O	O	O
,	,	O	O	O	O
which	which	O	O	O	O
indicates	indicates	O	O	O	O
that	that	O	O	O	O
the	the	O	O	O	O
2	2	O	O	O	O
age	age	O	O	O	O
groups	groups	O	O	O	O
exhibited	exhibited	O	O	O	O
similar	similar	O	O	O	O
