Nociceptive	nociceptive	O	O	O	O
effects	effects	O	O	O	O
induced	induced	O	O	O	O
by	by	O	O	O	O
intrathecal	intrathecal	O	O	O	O
administration	administration	O	O	O	O
of	of	O	O	O	O
prostaglandin	prostaglandin	CHEMICALS	O	OTHERS	I
D2	d2	CHEMICALS	O	OTHERS	I
,	,	O	O	O	O
E2	e2	CHEMICALS	O	OTHERS	I
,	,	O	O	O	O
or	or	O	O	O	O
F2	f2	O	O	O	O
alpha	alpha	O	O	O	O
to	to	O	O	O	O
conscious	conscious	O	O	O	O
mice	mice	O	O	O	O
.	.	O	O	O	O

The	the	O	O	O	O
effects	effects	O	O	O	O
of	of	O	O	O	O
intrathecal	intrathecal	O	O	O	O
administration	administration	O	O	O	O
of	of	O	O	O	O
prostaglandins	prostaglandins	CHEMICALS	O	OTHERS	I
on	on	O	O	O	O
pain	pain	O	DISEASE	OTHERS	I
responses	responses	O	O	O	O
in	in	O	O	O	O
conscious	conscious	O	O	O	O
mice	mice	O	O	O	O
were	were	O	O	O	O
evaluated	evaluated	O	O	O	O
by	by	O	O	O	O
using	using	O	O	O	O
hot	hot	O	O	O	O
plate	plate	O	O	O	O
and	and	O	O	O	O
acetic	acetic	CHEMICALS	O	OTHERS	I
acid	acid	CHEMICALS	O	OTHERS	I
writhing	writhing	O	O	OTHERS	I
tests	tests	O	O	O	O
.	.	O	O	O	O

Prostaglandin	prostaglandin	CHEMICALS	O	OTHERS	I
D2	d2	CHEMICALS	O	OTHERS	I
(	(	O	O	O	O
0.5	0.5	O	O	O	O
-	-	O	O	O	O
3	3	O	O	O	O
ng/mouse	ng/mouse	O	O	O	O
)	)	O	O	O	O
had	had	O	O	O	O
a	a	O	O	O	O
hyperalgesic	hyperalgesic	O	O	OTHERS	I
action	action	O	O	O	O
on	on	O	O	O	O
the	the	O	O	O	O
response	response	O	O	O	O
to	to	O	O	O	O
a	a	O	O	O	O
hot	hot	O	O	O	O
plate	plate	O	O	O	O
during	during	O	O	O	O
a	a	O	O	O	O
3	3	O	O	O	O
-	-	O	O	O	O
60	60	O	O	O	O
min	min	O	O	O	O
period	period	O	O	O	O
after	after	O	O	O	O
injection	injection	O	O	O	O
.	.	O	O	O	O

Prostaglandin	prostaglandin	O	O	OTHERS	I
E2	e2	CHEMICALS	O	OTHERS	I
