Phlorizin-induced	phlorizin-induced	O	O	O	O
glycosuria	glycosuria	O	DISEASE	OTHERS	I
does	does	O	O	O	O
not	not	O	O	O	O
prevent	prevent	O	O	O	O
gentamicin	gentamicin	CHEMICALS	O	OTHERS	I
nephrotoxicity	nephrotoxicity	O	DISEASE	OTHERS	I
in	in	O	O	O	O
rats	rats	O	O	O	O
.	.	O	O	O	O

Because	because	O	O	O	O
rats	rats	O	O	O	O
with	with	O	O	O	O
streptozotocin-induced	streptozotocin-induced	O	O	O	O
diabetes	diabetes	O	DISEASE	OTHERS	I
mellitus	mellitus	O	DISEASE	OTHERS	I
(	(	O	O	O	O
DM	dm	O	DISEASE	OTHERS	I
)	)	O	O	O	O
have	have	O	O	O	O
a	a	O	O	O	O
high	high	O	O	O	O
solute	solute	O	O	O	O
diuresis	diuresis	O	O	O	O
(	(	O	O	O	O
glycosuria	glycosuria	O	DISEASE	OTHERS	I
of	of	O	O	O	O
10	10	O	O	O	O
to	to	O	O	O	O
12	12	O	O	O	O
g/day	g/day	O	O	O	O
)	)	O	O	O	O
,	,	O	O	O	O
we	we	O	O	O	O
have	have	O	O	O	O
suggested	suggested	O	O	O	O
that	that	O	O	O	O
this	this	O	O	O	O
may	may	O	O	O	O
in	in	O	O	O	O
part	part	O	O	O	O
be	be	O	O	O	O
responsible	responsible	O	O	O	O
for	for	O	O	O	O
their	their	O	O	O	O
resistance	resistance	O	O	O	O
to	to	O	O	O	O
gentamicin-induced	gentamicin-induced	O	O	O	O
acute	acute	O	DISEASE	OTHERS	I
renal	renal	O	DISEASE	OTHERS	I
failure	failure	O	DISEASE	OTHERS	I
(	(	O	O	O	O
ARF	arf	O	O	OTHERS	I
)	)	O	O	O	O
.	.	O	O	O	O

The	the	O	O	O	O
protection	protection	O	O	O	O
from	from	O	O	O	O
gentamicin	gentamicin	CHEMICALS	O	OTHERS	I
nephrotoxicity	nephrotoxicity	O	DISEASE	OTHERS	I
was	was	O	O	O	O
studied	studied	O	O	O	O
in	in	O	O	O	O
non-diabetic	non-diabetic	O	O	O	O
rats	rats	O	O	O	O
with	with	O	O	O	O
chronic	chronic	O	O	O	O
solute	solute	O	O	O	O
diuresis	diuresis	O	O	O	O
induced	induced	O	O	O	O
by	by	O	O	O	O
blockage	blockage	O	O	O	O
of	of	O	O	O	O
tubular	tubular	O	O	O	O
glucose	glucose	CHEMICALS	O	OTHERS	I
reabsorption	reabsorption	O	O	O	O
with	with	O	O	O	O
phlorizin	phlorizin	O	O	OTHERS	I
(	(	O	O	O	O
P	p	O	O	OTHERS	I
)	)	O	O	O	O
.	.	O	O	O	O

DM	dm	O	DISEASE	OTHERS	I
rats	rats	O	O	O	O
with	with	O	O	O	O
mild	mild	O	O	O	O
glycosuria	glycosuria	O	DISEASE	OTHERS	I
(	(	O	O	O	O
similar	similar	O	O	O	O
in	in	O	O	O	O
degree	degree	O	O	O	O
to	to	O	O	O	O
that	that	O	O	O	O
of	of	O	O	O	O
the	the	O	O	O	O
P	p	O	O	OTHERS	I
treated	treated	O	O	O	O
animals	animals	O	O	O	O
)	)	O	O	O	O
were	were	O	O	O	O
also	also	O	O	O	O
studied	studied	O	O	O	O
.	.	O	O	O	O

Unanesthetized	unanesthetized	O	O	O	O
adult	adult	O	O	O	O
female	female	O	O	O	O
,	,	O	O	O	O
Sprague-Dawley	sprague-dawley	O	O	O	O
rats	rats	O	O	O	O
were	were	O	O	O	O
divided	divided	O	O	O	O
in	in	O	O	O	O
four	four	O	O	O	O
groups	groups	O	O	O	O
and	and	O	O	O	O
studied	studied	O	O	O	O
for	for	O	O	O	O
15	15	O	O	O	O
days	days	O	O	O	O
.	.	O	O	O	O

Group	group	O	O	O	O
1	1	O	O	O	O
(	(	O	O	O	O
P	p	O	O	OTHERS	I
alone	alone	O	O	O	O
)	)	O	O	O	O
received	received	O	O	O	O
P	p	O	O	OTHERS	I
,	,	O	O	O	O
360	360	O	O	O	O
mg/day	mg/day	O	O	O	O
,	,	O	O	O	O
for	for	O	O	O	O
15	15	O	O	O	O
days	days	O	O	O	O
;	;	O	O	O	O
Group	group	O	O	O	O
II	ii	O	O	O	O
(	(	O	O	O	O
P	p	O	O	OTHERS	I
+	+	O	O	O	O
gentamicin	gentamicin	CHEMICALS	O	OTHERS	I
)	)	O	O	O	O
;	;	O	O	O	O
Group	group	O	O	O	O
III	iii	O	O	O	O
(	(	O	O	O	O
gentamicin	gentamicin	CHEMICALS	O	OTHERS	I
alone	alone	O	O	O	O
)	)	O	O	O	O
and	and	O	O	O	O
Group	group	O	O	O	O
IV	iv	O	O	O	O
(	(	O	O	O	O
mild	mild	O	O	O	O
DM	dm	O	DISEASE	OTHERS	I
+	+	O	O	O	O
gentamicin	gentamicin	CHEMICALS	O	OTHERS	I
)	)	O	O	O	O
.	.	O	O	O	O

Nephrotoxic	nephrotoxic	O	DISEASE	OTHERS	I
doses	doses	O	O	O	O
(	(	O	O	O	O
40	40	O	O	O	O
mg/kg	mg/kg	O	O	O	O
body	body	O	O	O	O
wt/day	wt/day	O	O	O	O
)	)	O	O	O	O
of	of	O	O	O	O
gentamicin	gentamicin	CHEMICALS	O	OTHERS	I
were	were	O	O	O	O
injected	injected	O	O	O	O
during	during	O	O	O	O
the	the	O	O	O	O
last	last	O	O	O	O
nine	nine	O	O	O	O
days	days	O	O	O	O
of	of	O	O	O	O
study	study	O	O	O	O
to	to	O	O	O	O
the	the	O	O	O	O
animals	animals	O	O	O	O
of	of	O	O	O	O
groups	groups	O	O	O	O
II	ii	O	O	O	O
to	to	O	O	O	O
IV	iv	O	O	O	O
.	.	O	O	O	O

In	in	O	O	O	O
Group	group	O	O	O	O
I	i	O	O	O	O
,	,	O	O	O	O
P	p	O	O	OTHERS	I
induced	induced	O	O	O	O
a	a	O	O	O	O
moderate	moderate	O	O	O	O
and	and	O	O	O	O
stable	stable	O	O	O	O
glycosuria	glycosuria	O	DISEASE	OTHERS	I
(	(	O	O	O	O
3.9	3.9	O	O	O	O
+	+	O	O	O	O
/-	/-	O	O	O	O
0.1	0.1	O	O	O	O
g/day	g/day	O	O	O	O
,	,	O	O	O	O
SE	se	O	DISEASE	OTHERS	I
)	)	O	O	O	O
,	,	O	O	O	O
and	and	O	O	O	O
no	no	O	O	O	O
functional	functional	O	O	O	O
or	or	O	O	O	O
morphologic	morphologic	O	O	O	O
evidence	evidence	O	O	O	O
of	of	O	O	O	O
renal	renal	O	DISEASE	OTHERS	I
dysfunction	dysfunction	O	DISEASE	OTHERS	I
(	(	O	O	O	O
baseline	baseline	O	O	O	O
CCr	ccr	O	O	O	O
2.1	2.1	O	O	O	O
+	+	O	O	O	O
/-	/-	O	O	O	O
0.1	0.1	O	O	O	O
ml/min	ml/min	O	O	O	O
,	,	O	O	O	O
undetectable	undetectable	O	O	O	O
lysozymuria	lysozymuria	O	O	O	O
)	)	O	O	O	O
or	or	O	O	O	O
damage	damage	O	O	O	O
(	(	O	O	O	O
tubular	tubular	O	DISEASE	OTHERS	I
necrosis	necrosis	O	DISEASE	OTHERS	I
score	score	O	O	O	O
[	[	O	O	O	O
maximum	maximum	O	O	O	O
4	4	O	O	O	O
]	]	O	O	O	O
,	,	O	O	O	O
zero	zero	O	O	O	O
)	)	O	O	O	O
