Hydrocortisone-induced	hydrocortisone-induced	O	O	O	O
hypertension	hypertension	O	DISEASE	OTHERS	I
in	in	O	O	O	O
humans	humans	O	O	O	O
:	:	O	O	O	O
pressor	pressor	O	O	O	O
responsiveness	responsiveness	O	O	O	O
and	and	O	O	O	O
sympathetic	sympathetic	O	O	O	O
function	function	O	O	O	O
.	.	O	O	O	O

Oral	oral	O	O	O	O
hydrocortisone	hydrocortisone	CHEMICALS	O	OTHERS	I
increases	increases	O	O	O	O
blood	blood	O	O	O	O
pressure	pressure	O	O	O	O
and	and	O	O	O	O
enhances	enhances	O	O	O	O
pressor	pressor	O	O	O	O
responsiveness	responsiveness	O	O	O	O
in	in	O	O	O	O
normal	normal	O	O	O	O
human	human	O	O	O	O
subjects	subjects	O	O	O	O
.	.	O	O	O	O

We	we	O	O	O	O
studied	studied	O	O	O	O
the	the	O	O	O	O
effects	effects	O	O	O	O
of	of	O	O	O	O
1	1	O	O	O	O
week	week	O	O	O	O
of	of	O	O	O	O
oral	oral	O	O	O	O
hydrocortisone	hydrocortisone	CHEMICALS	O	OTHERS	I
(	(	O	O	O	O
200	200	O	O	O	O
mg/day	mg/day	O	O	O	O
)	)	O	O	O	O
on	on	O	O	O	O
blood	blood	O	O	O	O
pressure	pressure	O	O	O	O
,	,	O	O	O	O
cardiac	cardiac	O	O	O	O
output	output	O	O	O	O
,	,	O	O	O	O
total	total	O	O	O	O
peripheral	peripheral	O	O	O	O
resistance	resistance	O	O	O	O
,	,	O	O	O	O
forearm	forearm	O	O	O	O
vascular	vascular	O	O	O	O
resistance	resistance	O	O	O	O
,	,	O	O	O	O
and	and	O	O	O	O
norepinephrine	norepinephrine	CHEMICALS	O	OTHERS	I
spillover	spillover	O	O	O	O
to	to	O	O	O	O
plasma	plasma	O	O	O	O
in	in	O	O	O	O
eight	eight	O	O	O	O
healthy	healthy	O	O	O	O
male	male	O	O	O	O
volunteers	volunteers	O	O	O	O
.	.	O	O	O	O

Although	although	O	O	O	O
diastolic	diastolic	O	O	O	O
blood	blood	O	O	O	O
pressure	pressure	O	O	O	O
remained	remained	O	O	O	O
unchanged	unchanged	O	O	O	O
,	,	O	O	O	O
systolic	systolic	O	O	O	O
blood	blood	O	O	O	O
pressure	pressure	O	O	O	O
increased	increased	O	O	O	O
from	from	O	O	O	O
119	119	O	O	O	O
to	to	O	O	O	O
135	135	O	O	O	O
mm	mm	O	O	OTHERS	I
Hg	hg	O	O	OTHERS	I
(	(	O	O	O	O
SED	sed	O	O	O	O
+	+	O	O	O	O
/-	/-	O	O	O	O
3.4	3.4	O	O	O	O
,	,	O	O	O	O
p	p	O	O	OTHERS	I
less	less	O	O	O	O
than	than	O	O	O	O
0.01	0.01	O	O	O	O
)	)	O	O	O	O
,	,	O	O	O	O
associated	associated	O	O	O	O
with	with	O	O	O	O
an	an	O	O	O	O
increased	increased	O	O	OTHERS	I
cardiac	cardiac	O	O	OTHERS	I
output	output	O	O	OTHERS	I
(	(	O	O	O	O
5.85	5.85	O	O	O	O
-	-	O	O	O	O
7.73	7.73	O	O	O	O
l/min	l/min	O	O	O	O
,	,	O	O	O	O
SED	sed	O	O	O	O
+	+	O	O	O	O
/-	/-	O	O	O	O
0.46	0.46	O	O	O	O
,	,	O	O	O	O
p	p	O	O	OTHERS	I
less	less	O	O	O	O
than	than	O	O	O	O
0.01	0.01	O	O	O	O
)	)	O	O	O	O
.	.	O	O	O	O

Total	total	O	O	O	O
peripheral	peripheral	O	O	O	O
vascular	vascular	O	O	O	O
resistance	resistance	O	O	O	O
