Inhibition	inhibition	O	O	O	O
of	of	O	O	O	O
sympathoadrenal	sympathoadrenal	O	O	O	O
activity	activity	O	O	O	O
by	by	O	O	O	O
atrial	atrial	CHEMICALS	O	OTHERS	I
natriuretic	natriuretic	CHEMICALS	O	OTHERS	I
factor	factor	CHEMICALS	O	OTHERS	I
in	in	O	O	O	O
dogs	dogs	O	O	O	O
.	.	O	O	O	O

In	in	O	O	O	O
six	six	O	O	O	O
conscious	conscious	O	O	O	O
,	,	O	O	O	O
trained	trained	O	O	O	O
dogs	dogs	O	O	O	O
,	,	O	O	O	O
maintained	maintained	O	O	O	O
on	on	O	O	O	O
a	a	O	O	O	O
normal	normal	O	O	O	O
sodium	sodium	CHEMICALS	O	OTHERS	I
intake	intake	O	O	O	O
of	of	O	O	O	O
2	2	O	O	O	O
to	to	O	O	O	O
4	4	O	O	O	O
mEq/kg/day	meq/kg/day	O	O	O	O
,	,	O	O	O	O
sympathetic	sympathetic	O	O	O	O
activity	activity	O	O	O	O
was	was	O	O	O	O
assessed	assessed	O	O	O	O
as	as	O	O	O	O
the	the	O	O	O	O
release	release	O	O	O	O
rate	rate	O	O	O	O
of	of	O	O	O	O
norepinephrine	norepinephrine	CHEMICALS	O	OTHERS	I
and	and	O	O	O	O
epinephrine	epinephrine	CHEMICALS	O	OTHERS	I
during	during	O	O	O	O
15-minute	15-minute	O	O	O	O
i.v	i.v	O	O	O	O
.	.	O	O	O	O

infusions	infusions	O	O	O	O
of	of	O	O	O	O
human	human	O	O	O	O
alpha-atrial	alpha-atrial	O	O	O	O
natriuretic	natriuretic	O	O	O	O
factor	factor	O	O	O	O
.	.	O	O	O	O

Mean	mean	O	O	O	O
arterial	arterial	O	O	O	O
pressure	pressure	O	O	O	O
(	(	O	O	O	O
as	as	O	O	O	O
a	a	O	O	O	O
percentage	percentage	O	O	O	O
of	of	O	O	O	O
control	control	O	O	O	O
+	+	O	O	O	O
/-	/-	O	O	O	O
SEM	sem	O	O	O	O
)	)	O	O	O	O
during	during	O	O	O	O
randomized	randomized	O	O	O	O
infusions	infusions	O	O	O	O
of	of	O	O	O	O
0.03	0.03	O	O	O	O
,	,	O	O	O	O
0.1	0.1	O	O	O	O
,	,	O	O	O	O
0.3	0.3	O	O	O	O
,	,	O	O	O	O
or	or	O	O	O	O
1.0	1.0	O	O	O	O
microgram/kg/min	microgram/kg/min	O	O	O	O
was	was	O	O	O	O
99	99	O	O	O	O
+	+	O	O	O	O
/-	/-	O	O	O	O
1	1	O	O	O	O
,	,	O	O	O	O
95	95	O	O	O	O
+	+	O	O	O	O
/-	/-	O	O	O	O
1	1	O	O	O	O
(	(	O	O	O	O
p	p	O	O	OTHERS	I
less	less	O	O	O	O
than	than	O	O	O	O
0.05	0.05	O	O	O	O
)	)	O	O	O	O
,	,	O	O	O	O
93	93	O	O	O	O
+	+	O	O	O	O
/-	/-	O	O	O	O
1	1	O	O	O	O
(	(	O	O	O	O
p	p	O	O	OTHERS	I
less	less	O	O	O	O
than	than	O	O	O	O
0.01	0.01	O	O	O	O
)	)	O	O	O	O
,	,	O	O	O	O
or	or	O	O	O	O
79	79	O	O	O	O
+	+	O	O	O	O
/-	/-	O	O	O	O
6	6	O	O	O	O
%	%	O	O	O	O
(	(	O	O	O	O
p	p	O	O	OTHERS	I
less	less	O	O	O	O
than	than	O	O	O	O
0.001	0.001	O	O	O	O
)	)	O	O	O	O
,	,	O	O	O	O
respectively	respectively	O	O	O	O
,	,	O	O	O	O
but	but	O	O	O	O
no	no	O	O	O	O
tachycardia	tachycardia	O	DISEASE	OTHERS	I
and	and	O	O	O	O
no	no	O	O	O	O
augmentation	augmentation	O	O	O	O
of	of	O	O	O	O
the	the	O	O	O	O
norepinephrine	norepinephrine	CHEMICALS	O	OTHERS	I
release	release	O	O	O	O
rate	rate	O	O	O	O
(	(	O	O	O	O
up	up	O	O	O	O
to	to	O	O	O	O
0.3	0.3	O	O	O	O
microgram/kg/min	microgram/kg/min	O	O	O	O
)	)	O	O	O	O
were	were	O	O	O	O
observed	observed	O	O	O	O
,	,	O	O	O	O
which	which	O	O	O	O
is	is	O	O	O	O
in	in	O	O	O	O
contrast	contrast	O	O	OTHERS	I
to	to	O	O	O	O
comparable	comparable	O	O	O	O
hypotension	hypotension	O	DISEASE	OTHERS	I
induced	induced	O	O	O	O
by	by	O	O	O	O
hydralazine	hydralazine	O	O	OTHERS	I
or	or	O	O	O	O
nitroglycerin	nitroglycerin	CHEMICALS	O	OTHERS	I
.	.	O	O	O	O

The	the	O	O	O	O
release	release	O	O	O	O
rate	rate	O	O	O	O
of	of	O	O	O	O
epinephrine	epinephrine	CHEMICALS	O	OTHERS	I
(	(	O	O	O	O
control	control	O	O	O	O
,	,	O	O	O	O
6.7	6.7	O	O	O	O
+	+	O	O	O	O
/-	/-	O	O	O	O
0.6	0.6	O	O	O	O
ng/kg/min	ng/kg/min	O	O	O	O
)	)	O	O	O	O
declined	declined	O	O	O	O
immediately	immediately	O	O	O	O
during	during	O	O	O	O
infusions	infusions	O	O	O	O
of	of	O	O	O	O
atrial	atrial	CHEMICALS	O	OTHERS	I
natriuretic	natriuretic	CHEMICALS	O	OTHERS	I
factor	factor	CHEMICALS	O	OTHERS	I
to	to	O	O	O	O
a	a	O	O	O	O
minimum	minimum	O	O	O	O
of	of	O	O	O	O
49	49	O	O	O	O
+	+	O	O	O	O
/-	/-	O	O	O	O
5	5	O	O	O	O
%	%	O	O	O	O
of	of	O	O	O	O
control	control	O	O	O	O
(	(	O	O	O	O
p	p	O	O	OTHERS	I
less	less	O	O	O	O
than	than	O	O	O	O
0.001	0.001	O	O	O	O
)	)	O	O	O	O
during	during	O	O	O	O
0.1	0.1	O	O	O	O
microgram/kg/min	microgram/kg/min	O	O	O	O
and	and	O	O	O	O
to	to	O	O	O	O
63	63	O	O	O	O
+	+	O	O	O	O
/-	/-	O	O	O	O
5	5	O	O	O	O
%	%	O	O	O	O
(	(	O	O	O	O
0.1	0.1	O	O	O	O
greater	greater	O	O	O	O
than	than	O	O	O	O
p	p	O	O	OTHERS	I
greater	greater	O	O	O	O
than	than	O	O	O	O
0.05	0.05	O	O	O	O
)	)	O	O	O	O
or	or	O	O	O	O
95	95	O	O	O	O
+	+	O	O	O	O
/-	/-	O	O	O	O
13	13	O	O	O	O
%	%	O	O	O	O
(	(	O	O	O	O
not	not	O	O	O	O
significant	significant	O	O	O	O
)	)	O	O	O	O
during	during	O	O	O	O
0.3	0.3	O	O	O	O
