Effects	effects	O	O	O	O
of	of	O	O	O	O
amine	amine	O	O	OTHERS	I
pretreatment	pretreatment	O	O	O	O
on	on	O	O	O	O
ketamine	ketamine	CHEMICALS	O	OTHERS	I
catatonia	catatonia	O	O	OTHERS	I
in	in	O	O	O	O
pinealectomized	pinealectomized	O	O	O	O
or	or	O	O	O	O
hypophysectomized	hypophysectomized	O	O	O	O
animals	animals	O	O	O	O
.	.	O	O	O	O

The	the	O	O	O	O
present	present	O	O	O	O
studies	studies	O	O	O	O
were	were	O	O	O	O
designed	designed	O	O	O	O
to	to	O	O	O	O
clarify	clarify	O	O	O	O
the	the	O	O	O	O
role	role	O	O	O	O
of	of	O	O	O	O
catecholamines	catecholamines	CHEMICALS	O	OTHERS	I
and	and	O	O	O	O
pineal	pineal	O	O	O	O
idolamines	idolamines	O	O	O	O
on	on	O	O	O	O
ketamine-induced	ketamine-induced	O	O	O	O
catatonia	catatonia	O	O	OTHERS	I
in	in	O	O	O	O
the	the	O	O	O	O
intact	intact	O	O	O	O
,	,	O	O	O	O
pinealectomized	pinealectomized	O	O	O	O
or	or	O	O	O	O
hypophysectomized	hypophysectomized	O	O	O	O
chick	chick	O	O	O	O
and	and	O	O	O	O
rat	rat	O	O	O	O
.	.	O	O	O	O

In	in	O	O	O	O
the	the	O	O	O	O
pinealectomized	pinealectomized	O	O	O	O
chick	chick	O	O	O	O
,	,	O	O	O	O
pretreatment	pretreatment	O	O	O	O
with	with	O	O	O	O
dopamine	dopamine	CHEMICALS	O	OTHERS	I
increased	increased	O	O	O	O
the	the	O	O	O	O
duration	duration	O	O	O	O
of	of	O	O	O	O
catatonia	catatonia	O	O	OTHERS	I
(	(	O	O	O	O
DOC	doc	O	O	O	O
)	)	O	O	O	O
after	after	O	O	O	O
ketamine	ketamine	CHEMICALS	O	OTHERS	I
,	,	O	O	O	O
but	but	O	O	O	O
pretreatment	pretreatment	O	O	O	O
with	with	O	O	O	O
norepinephrine	norepinephrine	CHEMICALS	O	OTHERS	I
did	did	O	O	O	O
not	not	O	O	O	O
.	.	O	O	O	O

The	the	O	O	O	O
pineal	pineal	O	O	O	O
indolamines	indolamines	O	O	O	O
exhibited	exhibited	O	O	O	O
mixed	mixed	O	O	O	O
actions	actions	O	O	O	O
.	.	O	O	O	O

Serotonin	serotonin	CHEMICALS	O	OTHERS	I
and	and	O	O	O	O
N-acetyl	n-acetyl	O	O	O	O
serotonin	serotonin	CHEMICALS	O	OTHERS	I
which	which	O	O	O	O
augmented	augmented	O	O	O	O
ketamine	ketamine	CHEMICALS	O	OTHERS	I
DOC	doc	O	O	O	O
,	,	O	O	O	O
did	did	O	O	O	O
not	not	O	O	O	O
do	do	O	O	O	O
so	so	O	O	O	O
in	in	O	O	O	O
the	the	O	O	O	O
absence	absence	O	O	O	O
of	of	O	O	O	O
the	the	O	O	O	O
pineal	pineal	O	O	O	O
gland	gland	O	O	O	O
,	,	O	O	O	O
