Nephrotoxic	nephrotoxic	O	DISEASE	OTHERS	I
effects	effects	O	O	O	O
of	of	O	O	O	O
aminoglycoside	aminoglycoside	CHEMICALS	O	OTHERS	I
treatment	treatment	O	O	O	O
on	on	O	O	O	O
renal	renal	O	O	O	O
protein	protein	O	O	O	O
reabsorption	reabsorption	O	O	O	O
and	and	O	O	O	O
accumulation	accumulation	O	O	O	O
.	.	O	O	O	O

To	to	O	O	O	O
quantify	quantify	O	O	O	O
the	the	O	O	O	O
effects	effects	O	O	O	O
of	of	O	O	O	O
gentamicin	gentamicin	CHEMICALS	O	OTHERS	I
,	,	O	O	O	O
kanamycin	kanamycin	CHEMICALS	O	OTHERS	I
and	and	O	O	O	O
netilmicin	netilmicin	O	O	OTHERS	I
on	on	O	O	O	O
renal	renal	O	O	O	O
protein	protein	O	O	O	O
reabsorption	reabsorption	O	O	O	O
and	and	O	O	O	O
accumulation	accumulation	O	O	O	O
,	,	O	O	O	O
these	these	O	O	O	O
drugs	drugs	O	O	O	O
were	were	O	O	O	O
administered	administered	O	O	O	O
to	to	O	O	O	O
rats	rats	O	O	O	O
intraperitoneally	intraperitoneally	O	O	O	O
(	(	O	O	O	O
30	30	O	O	O	O
mg/kg/day	mg/kg/day	O	O	O	O
)	)	O	O	O	O
for	for	O	O	O	O
7	7	O	O	O	O
,	,	O	O	O	O
14	14	O	O	O	O
or	or	O	O	O	O
21	21	O	O	O	O
days	days	O	O	O	O
.	.	O	O	O	O

Scanning	scanning	O	O	O	O
electron	electron	O	O	O	O
microscopy	microscopy	O	O	O	O
of	of	O	O	O	O
the	the	O	O	O	O
glomerular	glomerular	O	O	O	O
endothelia	endothelia	O	O	O	O
,	,	O	O	O	O
urinary	urinary	O	O	O	O
measurements	measurements	O	O	O	O
of	of	O	O	O	O
sodium	sodium	CHEMICALS	O	OTHERS	I
,	,	O	O	O	O
potassium	potassium	CHEMICALS	O	OTHERS	I
,	,	O	O	O	O
endogenous	endogenous	O	O	O	O
lysozyme	lysozyme	O	O	O	O
,	,	O	O	O	O
N-acetyl-beta-D-glucosaminidase	n-acetyl-beta-d-glucosaminidase	O	O	O	O
(	(	O	O	O	O
NAG	nag	O	O	O	O
)	)	O	O	O	O
as	as	O	O	O	O
well	well	O	O	O	O
as	as	O	O	O	O
clearance	clearance	O	O	O	O
and	and	O	O	O	O
accumulation	accumulation	O	O	O	O
experiments	experiments	O	O	O	O
after	after	O	O	O	O
i.v	i.v	O	O	O	O
.	.	O	O	O	O

administration	administration	O	O	O	O
of	of	O	O	O	O
egg-white	egg-white	O	O	O	O
lysozyme	lysozyme	O	O	O	O
and	and	O	O	O	O
measurements	measurements	O	O	O	O
of	of	O	O	O	O
inulin	inulin	O	O	O	O
clearance	clearance	O	O	O	O
(	(	O	O	O	O
GFR	gfr	O	O	O	O
)	)	O	O	O	O
were	were	O	O	O	O
done	done	O	O	O	O
in	in	O	O	O	O
each	each	O	O	O	O
treatment	treatment	O	O	O	O
group	group	O	O	O	O
