Provocation	provocation	O	O	O	O
of	of	O	O	O	O
postural	postural	O	O	OTHERS	I
hypotension	hypotension	O	DISEASE	OTHERS	I
by	by	O	O	O	O
nitroglycerin	nitroglycerin	CHEMICALS	O	OTHERS	I
in	in	O	O	O	O
diabetic	diabetic	O	DISEASE	OTHERS	I
autonomic	autonomic	O	O	O	O
neuropathy?The	neuropathy?the	O	O	O	O
effect	effect	O	O	O	O
of	of	O	O	O	O
nitroglycerin	nitroglycerin	CHEMICALS	O	OTHERS	I
on	on	O	O	O	O
heart	heart	O	O	O	O
rate	rate	O	O	O	O
and	and	O	O	O	O
systolic	systolic	O	O	O	O
blood	blood	O	O	O	O
pressure	pressure	O	O	O	O
was	was	O	O	O	O
compared	compared	O	O	O	O
in	in	O	O	O	O
5	5	O	O	O	O
normal	normal	O	O	O	O
subjects	subjects	O	O	O	O
,	,	O	O	O	O
12	12	O	O	O	O
diabetic	diabetic	O	DISEASE	OTHERS	I
subjects	subjects	O	O	O	O
without	without	O	O	O	O
autonomic	autonomic	O	DISEASE	OTHERS	I
neuropathy	neuropathy	O	DISEASE	OTHERS	I
,	,	O	O	O	O
and	and	O	O	O	O
5	5	O	O	O	O
diabetic	diabetic	O	DISEASE	OTHERS	I
subjects	subjects	O	O	O	O
with	with	O	O	O	O
autonomic	autonomic	O	DISEASE	OTHERS	I
neuropathy	neuropathy	O	DISEASE	OTHERS	I
.	.	O	O	O	O

The	the	O	O	O	O
magnitude	magnitude	O	O	O	O
and	and	O	O	O	O
time	time	O	O	O	O
course	course	O	O	O	O
of	of	O	O	O	O
the	the	O	O	O	O
increase	increase	O	O	O	O
in	in	O	O	O	O
heart	heart	O	O	O	O
rate	rate	O	O	O	O
and	and	O	O	O	O
the	the	O	O	O	O
decrease	decrease	O	O	O	O
in	in	O	O	O	O
systolic	systolic	O	O	O	O
blood	blood	O	O	O	O
pressure	pressure	O	O	O	O
after	after	O	O	O	O
nitroglycerin	nitroglycerin	CHEMICALS	O	OTHERS	I
were	were	O	O	O	O
similar	similar	O	O	O	O
in	in	O	O	O	O
the	the	O	O	O	O
normal	normal	O	O	O	O
and	and	O	O	O	O
diabetic	diabetic	O	DISEASE	OTHERS	I
subjects	subjects	O	O	O	O
without	without	O	O	O	O
autonomic	autonomic	O	DISEASE	OTHERS	I
neuropathy	neuropathy	O	DISEASE	OTHERS	I
,	,	O	O	O	O
whereas	whereas	O	O	O	O
a	a	O	O	O	O
lesser	lesser	O	O	O	O
increase	increase	O	O	O	O
in	in	O	O	O	O
heart	heart	O	O	O	O
rate	rate	O	O	O	O
and	and	O	O	O	O
a	a	O	O	O	O
greater	greater	O	O	O	O
decrease	decrease	O	O	O	O
in	in	O	O	O	O
systolic	systolic	O	O	O	O
blood	blood	O	O	O	O
pressure	pressure	O	O	O	O
occurred	occurred	O	O	O	O
in	in	O	O	O	O
the	the	O	O	O	O
diabetic	diabetic	O	DISEASE	OTHERS	I
subjects	subjects	O	O	O	O
with	with	O	O	O	O
autonomic	autonomic	O	DISEASE	OTHERS	I
neuropathy	neuropathy	O	DISEASE	OTHERS	I
.	.	O	O	O	O

It	it	O	O	O	O
is	is	O	O	O	O
therefore	therefore	O	O	O	O
suggested	suggested	O	O	O	O
that	that	O	O	O	O
caution	caution	O	O	O	O
should	should	O	O	O	O
be	be	O	O	O	O
exercised	exercised	O	O	O	O
when	when	O	O	O	O
prescribing	prescribing	O	O	O	O
vasodilator	vasodilator	CHEMICALS	O	OTHERS	I
drugs	drugs	CHEMICALS	O	OTHERS	I
in	in	O	O	O	O
diabetic	diabetic	O	DISEASE	OTHERS	I
patients	patients	O	O	O	O
,	,	O	O	O	O
particularly	particularly	O	O	O	O
those	those	O	O	O	O
with	with	O	O	O	O
autonomic	autonomic	O	DISEASE	OTHERS	I
neuropathy	neuropathy	O	DISEASE	OTHERS	I
.	.	O	O	O	O

