Reversal	reversal	O	O	O	O
of	of	O	O	O	O
ammonia	ammonia	O	O	OTHERS	I
coma	coma	O	DISEASE	OTHERS	I
in	in	O	O	O	O
rats	rats	O	O	O	O
by	by	O	O	O	O
L-dopa	l-dopa	O	O	O	O
:	:	O	O	O	O
a	a	O	O	O	O
peripheral	peripheral	O	O	O	O
effect	effect	O	O	O	O
.	.	O	O	O	O

Ammonia	ammonia	O	O	OTHERS	I
coma	coma	O	DISEASE	OTHERS	I
was	was	O	O	O	O
produced	produced	O	O	O	O
in	in	O	O	O	O
rats	rats	O	O	O	O
within	within	O	O	O	O
10	10	O	O	O	O
to	to	O	O	O	O
15	15	O	O	O	O
minutes	minutes	O	O	O	O
of	of	O	O	O	O
an	an	O	O	O	O
intraperitonealinjection	intraperitonealinjection	O	O	O	O
of	of	O	O	O	O
1.7	1.7	O	O	O	O
mmol	mmol	O	O	O	O
NH4CL	nh4cl	O	O	OTHERS	I
.	.	O	O	O	O

This	this	O	O	O	O
coma	coma	O	DISEASE	OTHERS	I
was	was	O	O	O	O
prevented	prevented	O	O	O	O
with	with	O	O	O	O
1.68	1.68	O	O	O	O
mmol	mmol	O	O	O	O
L-dopa	l-dopa	O	O	O	O
given	given	O	O	O	O
by	by	O	O	O	O
gastric	gastric	O	O	O	O
intubation	intubation	O	O	O	O
15	15	O	O	O	O
minutes	minutes	O	O	O	O
before	before	O	O	O	O
the	the	O	O	O	O
ammonium	ammonium	O	O	OTHERS	I
salt	salt	CHEMICALS	O	OTHERS	I
injection	injection	O	O	O	O
.	.	O	O	O	O

The	the	O	O	O	O
effect	effect	O	O	O	O
of	of	O	O	O	O
L-dopa	l-dopa	O	O	O	O
was	was	O	O	O	O
correlated	correlated	O	O	O	O
with	with	O	O	O	O
a	a	O	O	O	O
decrease	decrease	O	O	O	O
in	in	O	O	O	O
blood	blood	O	O	O	O
and	and	O	O	O	O
brain	brain	O	O	O	O
ammonia	ammonia	O	O	OTHERS	I
,	,	O	O	O	O
an	an	O	O	O	O
increase	increase	O	O	O	O
in	in	O	O	O	O
brain	brain	O	O	O	O
dopamine	dopamine	CHEMICALS	O	OTHERS	I
,	,	O	O	O	O
and	and	O	O	O	O
an	an	O	O	O	O
increase	increase	O	O	O	O
in	in	O	O	O	O
renal	renal	O	O	O	O
excretion	excretion	O	O	O	O
of	of	O	O	O	O
ammonia	ammonia	O	O	OTHERS	I
and	and	O	O	O	O
urea	urea	CHEMICALS	O	OTHERS	I
.	.	O	O	O	O

Intraventricular	intraventricular	O	O	O	O
infusion	infusion	O	O	O	O
of	of	O	O	O	O
