Effect	effect	O	O	O	O
of	of	O	O	O	O
some	some	O	O	O	O
anticancer	anticancer	O	O	O	O
drugs	drugs	O	O	O	O
and	and	O	O	O	O
combined	combined	O	O	O	O
chemotherapy	chemotherapy	O	O	O	O
on	on	O	O	O	O
renal	renal	O	DISEASE	OTHERS	I
toxicity	toxicity	O	DISEASE	OTHERS	I
.	.	O	O	O	O

The	the	O	O	O	O
nephrotoxic	nephrotoxic	O	DISEASE	OTHERS	I
action	action	O	O	O	O
of	of	O	O	O	O
anticancer	anticancer	O	O	O	O
drugs	drugs	O	O	O	O
such	such	O	O	O	O
as	as	O	O	O	O
nitrogranulogen	nitrogranulogen	O	O	OTHERS	I
(	(	O	O	O	O
NG	ng	O	O	OTHERS	I
)	)	O	O	O	O
,	,	O	O	O	O
methotrexate	methotrexate	CHEMICALS	O	OTHERS	I
(	(	O	O	O	O
MTX	mtx	CHEMICALS	O	OTHERS	I
)	)	O	O	O	O
,	,	O	O	O	O
5-fluorouracil	5-fluorouracil	CHEMICALS	O	OTHERS	I
(	(	O	O	O	O
5-FU	5-fu	CHEMICALS	O	OTHERS	I
)	)	O	O	O	O
and	and	O	O	O	O
cyclophosphamide	cyclophosphamide	CHEMICALS	O	OTHERS	I
(	(	O	O	O	O
CY	cy	CHEMICALS	O	OTHERS	I
)	)	O	O	O	O
administered	administered	O	O	O	O
alone	alone	O	O	O	O
or	or	O	O	O	O
in	in	O	O	O	O
combination	combination	O	O	O	O
[	[	O	O	O	O
MTX	mtx	CHEMICALS	O	OTHERS	I
+	+	O	O	O	O
5-FU	5-fu	CHEMICALS	O	OTHERS	I
+	+	O	O	O	O
CY	cy	CHEMICALS	O	OTHERS	I
(	(	O	O	O	O
CMF	cmf	O	O	O	O
)	)	O	O	O	O
]	]	O	O	O	O
was	was	O	O	O	O
evaluated	evaluated	O	O	O	O
in	in	O	O	O	O
experiments	experiments	O	O	O	O
on	on	O	O	O	O
Wistar	wistar	O	O	O	O
rats	rats	O	O	O	O
.	.	O	O	O	O

After	after	O	O	O	O
drug	drug	O	O	O	O
administration	administration	O	O	O	O
,	,	O	O	O	O
creatinine	creatinine	CHEMICALS	O	OTHERS	I
concentrations	concentrations	O	O	O	O
in	in	O	O	O	O
the	the	O	O	O	O
plasma	plasma	O	O	O	O
and	and	O	O	O	O
in	in	O	O	O	O
the	the	O	O	O	O
urine	urine	O	O	O	O
of	of	O	O	O	O
the	the	O	O	O	O
rats	rats	O	O	O	O
were	were	O	O	O	O
determined	determined	O	O	O	O
,	,	O	O	O	O
as	as	O	O	O	O
well	well	O	O	O	O
