Therapeutic	therapeutic	O	O	O	O
drug	drug	O	O	O	O
monitoring	monitoring	O	O	O	O
of	of	O	O	O	O
tobramycin	tobramycin	CHEMICALS	O	OTHERS	I
:	:	O	O	O	O
once-daily	once-daily	O	O	O	O
versus	versus	O	O	O	O
twice-daily	twice-daily	O	O	O	O
dosage	dosage	O	O	O	O
schedules	schedules	O	O	O	O
.	.	O	O	O	O

OBJECTIVE	objective	O	O	O	O
:	:	O	O	O	O
To	to	O	O	O	O
evaluate	evaluate	O	O	O	O
the	the	O	O	O	O
effect	effect	O	O	O	O
of	of	O	O	O	O
dosage	dosage	O	O	O	O
regimen	regimen	O	O	O	O
(	(	O	O	O	O
once-daily	once-daily	O	O	O	O
vs.	vs.	O	O	O	O
twice-daily	twice-daily	O	O	O	O
)	)	O	O	O	O
of	of	O	O	O	O
tobramicyn	tobramicyn	O	O	OTHERS	I
on	on	O	O	O	O
steady-state	steady-state	O	O	O	O
serum	serum	O	O	O	O
concentrations	concentrations	O	O	O	O
and	and	O	O	O	O
toxicity	toxicity	O	DISEASE	OTHERS	I
.	.	O	O	O	O

MATERIALS	materials	O	O	O	O
AND	and	O	O	O	O
METHODS	methods	O	O	O	O
:	:	O	O	O	O
Patients	patients	O	O	O	O
undergoing	undergoing	O	O	O	O
treatment	treatment	O	O	O	O
with	with	O	O	O	O
i.v	i.v	O	O	O	O
.	.	O	O	O	O
tobramycin	tobramycin	CHEMICALS	O	OTHERS	I
(	(	O	O	O	O
4	4	O	O	O	O
mg/kg/day	mg/kg/day	O	O	O	O
)	)	O	O	O	O
were	were	O	O	O	O
randomised	randomised	O	O	O	O
to	to	O	O	O	O
two	two	O	O	O	O
groups	groups	O	O	O	O
.	.	O	O	O	O

Group	group	O	O	O	O
OD	od	O	O	O	O
(	(	O	O	O	O
n	n	O	O	OTHERS	I
=	=	O	O	O	O
22	22	O	O	O	O
)	)	O	O	O	O
received	received	O	O	O	O
a	a	O	O	O	O
once-daily	once-daily	O	O	O	O
dose	dose	O	O	O	O
of	of	O	O	O	O
tobramycin	tobramycin	CHEMICALS	O	OTHERS	I
and	and	O	O	O	O
group	group	O	O	O	O
TD	td	O	O	OTHERS	I
(	(	O	O	O	O
n	n	O	O	OTHERS	I
=	=	O	O	O	O
21	21	O	O	O	O
)	)	O	O	O	O
received	received	O	O	O	O
the	the	O	O	O	O
same	same	O	O	O	O
dose	dose	O	O	O	O
divided	divided	O	O	O	O
into	into	O	O	O	O
two	two	O	O	O	O
doses	doses	O	O	O	O
daily	daily	O	O	O	O
.	.	O	O	O	O

Tobramycin	tobramycin	CHEMICALS	O	OTHERS	I
serum	serum	O	O	O	O
concentrations	concentrations	O	O	O	O
(	(	O	O	O	O
peak	peak	O	O	O	O
and	and	O	O	O	O
trough	trough	O	O	O	O
)	)	O	O	O	O
were	were	O	O	O	O
measured	measured	O	O	O	O
by	by	O	O	O	O
enzyme	enzyme	O	O	O	O
multiplied	multiplied	O	O	O	O
immunoassay	immunoassay	O	O	O	O
.	.	O	O	O	O

The	the	O	O	O	O
renal	renal	O	O	O	O
and	and	O	O	O	O
auditory	auditory	O	O	O	O
functions	functions	O	O	O	O
of	of	O	O	O	O
the	the	O	O	O	O
patients	patients	O	O	O	O
were	were	O	O	O	O
monitored	monitored	O	O	O	O
before	before	O	O	O	O
,	,	O	O	O	O
during	during	O	O	O	O
and	and	O	O	O	O
immediately	immediately	O	O	O	O
after	after	O	O	O	O
treatment	treatment	O	O	O	O
.	.	O	O	O	O

RESULTS	results	O	O	O	O
:	:	O	O	O	O
The	the	O	O	O	O
two	two	O	O	O	O
groups	groups	O	O	O	O
were	were	O	O	O	O
comparable	comparable	O	O	O	O
with	with	O	O	O	O
respect	respect	O	O	O	O
to	to	O	O	O	O
sex	sex	O	O	O	O
,	,	O	O	O	O
age	age	O	O	O	O
,	,	O	O	O	O
body	body	O	DISEASE	OTHERS	I
weight	weight	O	DISEASE	OTHERS	I
and	and	O	O	O	O
renal	renal	O	O	O	O
function	function	O	O	O	O
.	.	O	O	O	O

No	no	O	O	O	O
statistically	statistically	O	O	O	O
significant	significant	O	O	O	O
differences	differences	O	O	O	O
were	were	O	O	O	O
found	found	O	O	O	O
in	in	O	O	O	O
mean	mean	O	O	O	O
daily	daily	O	O	O	O
dose	dose	O	O	O	O
,	,	O	O	O	O
duration	duration	O	O	O	O
of	of	O	O	O	O
treatment	treatment	O	O	O	O
,	,	O	O	O	O
or	or	O	O	O	O
cumulative	cumulative	O	O	O	O
dose	dose	O	O	O	O
.	.	O	O	O	O

Trough	trough	O	O	O	O
concentrations	concentrations	O	O	O	O
were	were	O	O	O	O
<	<	O	O	O	O
2	2	O	O	O	O
g/ml	g/ml	O	O	O	O
in	in	O	O	O	O
the	the	O	O	O	O
two	two	O	O	O	O
groups	groups	O	O	O	O
(	(	O	O	O	O
100	100	O	O	O	O
%	%	O	O	O	O
)	)	O	O	O	O
.	.	O	O	O	O

Peak	peak	O	O	O	O
concentrations	concentrations	O	O	O	O
were	were	O	O	O	O
>	>	O	O	O	O
6	6	O	O	O	O
microg/ml	microg/ml	O	O	O	O
in	in	O	O	O	O
100	100	O	O	O	O
%	%	O	O	O	O
of	of	O	O	O	O
the	the	O	O	O	O
OD	od	O	O	O	O
