Treatment	treatment	O	O
of	of	O	O
tacrolimus-related	tacrolimus-related	O	O
adverse	adverse	O	B_disease
effects	effects	O	I_disease
by	by	O	O
conversion	conversion	O	O
to	to	O	O
cyclosporine	cyclosporine	S_chemicals	O
in	in	O	O
liver	liver	O	O
transplant	transplant	O	O
recipients	recipients	O	O
.	.	O	O

When	when	O	O
tacrolimus	tacrolimus	S_chemicals	O
side	side	O	B_disease
effects	effects	O	I_disease
persist	persist	O	O
despite	despite	O	O
dose	dose	O	O
reduction	reduction	O	O
,	,	O	O
conversion	conversion	O	O
to	to	O	O
cyclosporine-based	cyclosporine-based	O	O
immunosuppression	immunosuppression	O	O
(	(	O	O
CyA	cya	O	O
)	)	O	O
is	is	O	O
necessary	necessary	O	O
.	.	O	O

We	we	O	O
characterized	characterized	O	O
tacrolimus	tacrolimus	S_chemicals	O
side	side	O	B_disease
effects	effects	O	I_disease
that	that	O	O
warranted	warranted	O	O
discontinuation	discontinuation	O	O
of	of	O	O
the	the	O	O
drug	drug	S_chemicals	O
,	,	O	O
and	and	O	O
outcomes	outcomes	O	O
after	after	O	O
conversion	conversion	O	O
.	.	O	O

Of	of	O	O
388	388	O	O
liver	liver	O	O
recipients	recipients	O	O
who	who	O	O
received	received	O	O
tacrolimus	tacrolimus	S_chemicals	O
as	as	O	O
primary	primary	O	O
immunosuppression	immunosuppression	O	O
,	,	O	O
70	70	O	O
required	required	O	O
conversion	conversion	O	O
to	to	O	O
CyA.	cya.	O	O
We	we	O	O
recorded	recorded	O	O
indication	indication	O	O
for	for	O	O
conversion	conversion	O	O
,	,	O	O
whether	whether	O	O
conversion	conversion	O	O
was	was	O	O
early	early	O	O
or	or	O	O
late	late	O	O
after	after	O	O
transplantation	transplantation	O	O
,	,	O	O
tacrolimus	tacrolimus	S_chemicals	O
dose	dose	O	O
and	and	O	O
trough	trough	O	O
blood	blood	O	O
level	level	O	O
at	at	O	O
conversion	conversion	O	O
,	,	O	O
and	and	O	O
incidence	incidence	O	O
of	of	O	O
rejection	rejection	O	O
after	after	O	O
conversion	conversion	O	O
.	.	O	O

Conversion	conversion	O	O
was	was	O	O
early	early	O	O
in	in	O	O
29	29	O	O
patients	patients	O	O
(	(	O	O
41.4	41.4	O	O
%	%	O	O
)	)	O	O
and	and	O	O
late	late	O	O
in	in	O	O
41	41	O	O
(	(	O	O
58.6	58.6	O	O
%	%	O	O
)	)	O	O
.	.	O	O

Indications	indications	O	O
for	for	O	O
early	early	O	O
conversion	conversion	O	O
were	were	O	O
neurotoxicity	neurotoxicity	O	S_disease
(	(	O	O
20	20	O	O
)	)	O	O
,	,	O	O
(	(	O	O
insulin-dependent	insulin-dependent	O	S_disease
)	)	O	O
diabetes	diabetes	O	B_disease
mellitus	mellitus	O	I_disease
(	(	O	O
IDDM	iddm	O	S_disease
)	)	O	O
(	(	O	O
5	5	O	O
)	)	O	O
,	,	O	O
nephrotoxicity	nephrotoxicity	O	O
(	(	B_chemicals	O
3	3	I_chemicals	O
)	)	O	O
,	,	O	O
gastrointestinal	gastrointestinal	O	O
(	(	O	O
GI	gi	O	O
)	)	O	O
toxicity	toxicity	O	O
(	(	O	O
6	6	O	O
)	)	O	O
,	,	O	O
and	and	O	B_disease
cardiomyopathy	cardiomyopathy	O	S_disease
(	(	B_chemicals	O
1	1	I_chemicals	O
)	)	O	O
,	,	O	O
and	and	O	O
for	for	O	O
late	late	O	O
conversion	conversion	O	O
were	were	O	O
neurotoxicity	neurotoxicity	O	S_disease
(	(	O	O
15	15	O	O
)	)	O	O
,	,	O	O
IDDM	iddm	O	S_disease
(	(	O	O
12	12	O	O
)	)	O	O
,	,	O	O
nephrotoxicity	nephrotoxicity	O	O
(	(	B_chemicals	O
3	3	I_chemicals	O
)	)	O	O
,	,	O	O
GI	gi	O	O
toxicity	toxicity	O	O
(	(	O	O
5	5	O	O
)	)	O	O
,	,	O	O
hepatotoxicity	hepatotoxicity	O	O
(	(	O	O
6	6	O	O
)	)	O	O
,	,	O	O
post-transplant	post-transplant	O	O
lmphoproliferate	lmphoproliferate	O	O
disease	disease	O	S_disease
(	(	O	O
PTLD	ptld	O	O
)	)	O	O
(	(	B_chemicals	O
2	2	I_chemicals	O
)	)	O	O
,	,	O	O
cardiomyopathy	cardiomyopathy	O	S_disease
(	(	B_chemicals	O
1	1	I_chemicals	O
)	)	O	O
,	,	O	O
hemolytic	hemolytic	O	B_disease
anemia	anemia	O	S_disease
(	(	B_chemicals	O
1	1	I_chemicals	O
)	)	O	O
,	,	O	O
and	and	O	O
pruritus	pruritus	O	S_disease
(	(	B_chemicals	O
1	1	I_chemicals	O
)	)	O	O
.	.	O	O

All	all	O	O
early-conversion	early-conversion	O	O
patients	patients	O	O
showed	showed	O	O
improvement/resolution	improvement/resolution	O	O
of	of	O	O
symptoms	symptoms	O	O
.	.	O	O

Among	among	O	O
late-conversion	late-conversion	O	O
patients	patients	O	O
,	,	O	O
37	37	O	O
(	(	O	O
90.2	90.2	O	O
%	%	O	O
)	)	O	O
had	had	O	O
improvement/resolution	improvement/resolution	O	O
;	;	O	O
in	in	O	O
4	4	O	O
(	(	O	O
9.8	9.8	O	O
%	%	O	O
)	)	O	O
,	,	O	O
adverse	adverse	O	B_disease
effects	effects	O	I_disease
persisted	persisted	O	O
.	.	O	O

The	the	O	O
overall	overall	O	O
rejection	rejection	O	O
rate	rate	O	O
was	was	O	O
30	30	O	O
%	%	O	O
.	.	O	O

Sixty-two	sixty-two	O	O
patients	patients	O	O
(	(	O	O
88.6	88.6	O	O
%	%	O	O
)	)	O	O
are	are	O	O
alive	alive	O	O
with	with	O	O
functioning	functioning	O	O
grafts	grafts	O	O
686	686	O	O
+	+	O	O
/-	/-	O	O
362	362	O	O
days	days	O	O
(	(	O	O
range	range	O	O
,	,	O	O
154	154	O	O
-	-	O	O
1433	1433	O	O
days	days	O	O
)	)	O	O
after	after	O	O
conversion	conversion	O	O
.	.	O	O

When	when	O	O
tacrolimus	tacrolimus	S_chemicals	O
side	side	O	B_disease
effects	effects	O	I_disease
are	are	O	O
unresponsive	unresponsive	O	O
to	to	O	O
dose	dose	O	O
reduction	reduction	O	O
,	,	O	O
conversion	conversion	O	O
to	to	O	O
CyA	cya	O	O
can	can	O	O
be	be	O	O
accomplished	accomplished	O	O
safely	safely	O	O
,	,	O	O
with	with	O	O
no	no	O	O
increased	increased	O	O
risk	risk	O	O
of	of	O	O
rejection	rejection	O	O
and	and	O	O
excellent	excellent	O	O
long-term	long-term	O	O
outcome	outcome	O	O
.	.	O	O

