Probing	probing	O	O
peripheral	peripheral	O	O
and	and	O	O
central	central	O	O
cholinergic	cholinergic	S_chemicals	O
system	system	O	O
responses	responses	O	O
.	.	O	O

OBJECTIVE	objective	O	O
:	:	O	O
The	the	O	O
pharmacological	pharmacological	O	O
response	response	O	O
to	to	O	O
drugs	drugs	S_chemicals	O
that	that	O	O
act	act	O	O
on	on	O	O
the	the	O	O
cholinergic	cholinergic	S_chemicals	O
system	system	O	O
of	of	O	O
the	the	O	O
iris	iris	O	O
has	has	O	O
been	been	O	O
used	used	O	O
to	to	O	O
predict	predict	O	O
deficits	deficits	O	O
in	in	O	O
central	central	O	O
cholinergic	cholinergic	S_chemicals	O
functioning	functioning	O	O
due	due	O	O
to	to	O	O
diseases	diseases	O	S_disease
such	such	O	O
as	as	O	O
Alzheimer	alzheimer	S_chemicals	B_disease
's	's	O	I_disease
disease	disease	O	S_disease
,	,	O	O
yet	yet	O	O
correlations	correlations	O	O
between	between	O	O
central	central	O	O
and	and	O	O
peripheral	peripheral	O	O
responses	responses	O	O
have	have	O	O
not	not	O	O
been	been	O	O
properly	properly	O	O
studied	studied	O	O
.	.	O	O

This	this	O	O
study	study	O	O
assessed	assessed	O	O
the	the	O	O
effect	effect	O	O
of	of	O	O
normal	normal	O	O
aging	aging	O	O
on	on	O	O
(	(	B_chemicals	O
1	1	I_chemicals	O
)	)	O	O
the	the	O	O
tropicamide-induced	tropicamide-induced	O	O
increase	increase	O	O
in	in	O	O
pupil	pupil	O	O
diameter	diameter	O	O
,	,	O	O
and	and	O	O
(	(	B_chemicals	O
2	2	I_chemicals	O
)	)	O	O
the	the	O	O
reversal	reversal	O	O
of	of	O	O
this	this	O	O
effect	effect	O	O
with	with	O	O
pilocarpine	pilocarpine	O	O
.	.	O	O

Scopolamine	scopolamine	S_chemicals	O
was	was	O	O
used	used	O	O
as	as	O	O
a	a	O	O
positive	positive	O	O
control	control	O	O
to	to	O	O
detect	detect	O	O
age-dependent	age-dependent	O	O
changes	changes	O	O
in	in	O	O
central	central	O	O
cholinergic	cholinergic	S_chemicals	O
functioning	functioning	O	O
in	in	O	O
the	the	O	O
elderly	elderly	O	O
.	.	O	O

DESIGN	design	O	O
:	:	O	O
Randomized	randomized	O	O
double-blind	double-blind	O	O
controlled	controlled	O	O
trial	trial	O	O
.	.	O	O

PARTICIPANTS	participants	O	O
:	:	O	O
Ten	ten	O	O
healthy	healthy	O	O
elderly	elderly	O	O
