Neuroprotective	neuroprotective	S_chemicals	O
action	action	O	O
of	of	O	O
MPEP	mpep	O	O
,	,	O	O
a	a	O	O
selective	selective	O	O
mGluR5	mglur5	S_chemicals	O
antagonist	antagonist	O	O
,	,	O	O
in	in	O	O
methamphetamine-induced	methamphetamine-induced	O	O
dopaminergic	dopaminergic	S_chemicals	O
neurotoxicity	neurotoxicity	O	S_disease
is	is	O	O
associated	associated	O	O
with	with	O	O
a	a	O	O
decrease	decrease	O	O
in	in	O	O
dopamine	dopamine	S_chemicals	O
outflow	outflow	O	O
and	and	O	O
inhibition	inhibition	O	O
of	of	O	O
hyperthermia	hyperthermia	O	S_disease
in	in	O	O
rats	rats	O	O
.	.	O	O

The	the	O	O
aim	aim	O	O
of	of	O	O
this	this	O	O
study	study	O	O
was	was	O	O
to	to	O	O
examine	examine	O	O
the	the	O	O
role	role	O	O
of	of	O	O
metabotropic	metabotropic	B_chemicals	O
glutamate	glutamate	B_chemicals	O
receptor	receptor	B_chemicals	O
5	5	I_chemicals	O
(	(	O	O
mGluR5	mglur5	S_chemicals	O
)	)	O	O
in	in	O	O
the	the	O	O
toxic	toxic	B_chemicals	O
action	action	I_chemicals	O
of	of	O	O
methamphetamine	methamphetamine	S_chemicals	O
on	on	O	O
dopaminergic	dopaminergic	S_chemicals	O
neurones	neurones	O	O
in	in	O	O
rats	rats	O	O
.	.	O	O

Methamphetamine	methamphetamine	S_chemicals	O
(	(	O	O
10	10	O	O
mg/kg	mg/kg	O	O
sc	sc	O	O
)	)	O	O
,	,	O	O
administered	administered	O	O
five	five	O	O
times	times	O	O
,	,	O	O
reduced	reduced	O	O
the	the	O	O
levels	levels	O	O
of	of	O	O
dopamine	dopamine	S_chemicals	O
and	and	O	O
its	its	O	O
metabolites	metabolites	O	O
in	in	O	O
striatal	striatal	O	O
tissue	tissue	O	O
when	when	O	O
measured	measured	O	O
72	72	O	O
h	h	O	O
after	after	O	O
the	the	O	O
last	last	O	O
injection	injection	O	O
.	.	O	O

A	a	O	O
selective	selective	O	O
antagonist	antagonist	O	O
of	of	O	O
mGluR5	mglur5	S_chemicals	O
,	,	O	O
2-methyl-6-(phenylethynyl)pyridine	2-methyl-6-(phenylethynyl)pyridine	O	O
(	(	O	O
MPEP	mpep	O	O
;	;	O	O
5	5	O	O
mg/kg	mg/kg	O	O
ip	ip	O	O
)	)	O	O
,	,	O	O
when	when	O	O
administered	administered	O	O
five	five	O	O
times	times	O	O
immediately	immediately	O	O
before	before	O	O
each	each	O	O
methamphetamine	methamphetamine	S_chemicals	O
injection	injection	O	O
reversed	reversed	O	O
the	the	O	O
above-mentioned	above-mentioned	O	O
methamphetamine	methamphetamine	S_chemicals	O
effects	effects	O	O
.	.	O	O

A	a	O	O
single	single	O	O
MPEP	mpep	O	O
(	(	O	O
5	5	O	O
mg/kg	mg/kg	O	O
ip	ip	O	O
)	)	O	O
injection	injection	O	O
reduced	reduced	O	O
the	the	O	O
basal	basal	O	O
extracellular	extracellular	O	O
dopamine	dopamine	S_chemicals	O
level	level	O	O
in	in	O	O
the	the	O	O
striatum	striatum	O	O
,	,	O	O
as	as	O	O
well	well	O	O
as	as	O	O
dopamine	dopamine	S_chemicals	O
release	release	O	O
stimulated	stimulated	O	O
either	either	O	O
by	by	O	O
methamphetamine	methamphetamine	S_chemicals	O
(	(	O	O
10	10	O	O
mg/kg	mg/kg	O	O
sc	sc	O	O
)	)	O	O
or	or	O	O
by	by	O	O
intrastriatally	intrastriatally	O	O
administered	administered	O	O
veratridine	veratridine	O	O
(	(	O	O
100	100	O	O
microM	microm	O	O
)	)	O	O
.	.	O	O

Moreover	moreover	O	O
,	,	O	O
it	it	O	O
transiently	transiently	O	O
diminished	diminished	O	O
the	the	O	O
methamphetamine	methamphetamine	S_chemicals	O
(	(	O	O
10	10	O	O
mg/kg	mg/kg	O	O
sc)-induced	sc)-induced	O	O
hyperthermia	hyperthermia	O	S_disease
and	and	O	O
reduced	reduced	O	O
basal	basal	O	O
body	body	O	B_disease
temperature	temperature	O	I_disease
.	.	O	O

MPEP	mpep	O	O
administered	administered	O	O
into	into	O	O
the	the	O	O
striatum	striatum	O	O
at	at	O	O
high	high	O	O
concentrations	concentrations	O	O
(	(	O	O
500	500	O	O
microM	microm	O	O
)	)	O	O
increased	increased	O	O
extracellular	extracellular	O	O
dopamine	dopamine	S_chemicals	O
