Protection	protection	O	O
against	against	O	O
amphetamine-induced	amphetamine-induced	O	O
neurotoxicity	neurotoxicity	O	S_disease
toward	toward	O	O
striatal	striatal	O	O
dopamine	dopamine	S_chemicals	O
neurons	neurons	O	O
in	in	O	O
rodents	rodents	O	O
by	by	O	O
LY274614	ly274614	O	O
,	,	O	O
an	an	O	O
excitatory	excitatory	B_chemicals	O
amino	amino	B_chemicals	B_disease
acid	acid	B_chemicals	I_disease
antagonist	antagonist	I_chemicals	O
.	.	O	O

LY274614	ly274614	O	O
,	,	O	O
3SR,4aRS,6SR,8aRS-6-[phosphonomethyl]decahydr	3sr,4ars,6sr,8ars-6-[phosphonomethyl]decahydr	O	O
oisoquinoline-3-	oisoquinoline-3-	O	O
carboxylic	carboxylic	B_chemicals	O
acid	acid	S_chemicals	O
,	,	O	O
has	has	O	O
been	been	O	O
described	described	O	O
as	as	O	O
a	a	O	O
potent	potent	O	O
antagonist	antagonist	O	O
of	of	O	O
the	the	O	O
N-methyl-D-aspartate	n-methyl-d-aspartate	S_chemicals	O
(	(	O	O
NMDA	nmda	S_chemicals	O
)	)	O	O
subtype	subtype	O	O
of	of	O	O
glutamate	glutamate	B_chemicals	O
receptor	receptor	I_chemicals	O
.	.	O	O

Here	here	O	O
its	its	O	O
ability	ability	O	O
to	to	O	O
antagonize	antagonize	O	O
the	the	O	O
prolonged	prolonged	O	O
depletion	depletion	O	O
of	of	O	O
dopamine	dopamine	S_chemicals	O
in	in	O	O
the	the	O	O
striatum	striatum	O	O
by	by	O	O
amphetamine	amphetamine	S_chemicals	O
in	in	O	O
iprindole-treated	iprindole-treated	O	O
rats	rats	O	O
is	is	O	O
reported	reported	O	O
.	.	O	O

A	a	O	O
single	single	O	O
18.4	18.4	O	O
mg/kg	mg/kg	O	O
(	(	O	O
i.p	i.p	O	O
.	.	O	O
)	)	O	O
dose	dose	O	O
of	of	O	O
(+/-)-amphetamine	(+/-)-amphetamine	O	O
hemisulfate	hemisulfate	S_chemicals	O
,	,	O	O
given	given	O	O
to	to	O	O
rats	rats	O	O
pretreated	pretreated	O	O
with	with	O	O
iprindole	iprindole	O	O
,	,	O	O
resulted	resulted	O	O
in	in	O	O
persistent	persistent	O	O
depletion	depletion	O	O
of	of	O	O
dopamine	dopamine	S_chemicals	O
in	in	O	O
the	the	O	O
striatum	striatum	O	O
1	1	O	O
week	week	O	O
later	later	O	O
.	.	O	O

This	this	O	O
prolonged	prolonged	O	O
depletion	depletion	O	O
of	of	O	O
dopamine	dopamine	S_chemicals	O
in	in	O	O
the	the	O	O
striatum	striatum	O	O
was	was	O	O
antagonized	antagonized	O	O
by	by	O	O
dizocilpine	dizocilpine	O	O
(	(	O	O
MK-801	mk-801	S_chemicals	O
,	,	O	O
a	a	O	O
non-competitive	non-competitive	O	O
antagonist	antagonist	O	O
of	of	O	O
NMDA	nmda	B_chemicals	O
receptors	receptors	I_chemicals	O
)	)	O	O
or	or	O	O
by	by	O	O
LY274614	ly274614	O	O
(	(	O	O
a	a	O	O
competitive	competitive	O	O
antagonist	antagonist	O	O
of	of	O	O
NMDA	nmda	B_chemicals	O
receptors	receptors	I_chemicals	O
)	)	O	O
.	.	O	O

The	the	O	O
protective	protective	O	O
effect	effect	O	O
of	of	O	O
LY274614	ly274614	O	O
was	was	O	O
dose-dependent	dose-dependent	O	O
,	,	O	O
being	being	O	O
maximum	maximum	O	O
at	at	B_chemicals	O
10	10	I_chemicals	O
-	-	O	O
40	40	O	O
mgkg	mgkg	O	O
(	(	O	O
i.p	i.p	O	O
.	.	O	O
)	)	O	O
.	.	O	O

A	a	O	O
10	10	O	O
mg/kg	mg/kg	O	O
dose	dose	O	O
of	of	O	O
LY274614	ly274614	O	O
was	was	O	O
effective	effective	O	O
in	in	O	O
antagonizing	antagonizing	O	O
the	the	O	O
depletion	depletion	O	O
of	of	O	O
dopamine	dopamine	S_chemicals	O
in	in	O	O
the	the	O	O
striatum	striatum	O	O
,	,	O	O
when	when	O	O
given	given	O	O
as	as	O	O
long	long	O	O
as	as	O	O
8	8	O	O
hr	hr	O	O
prior	prior	O	O
to	to	O	O
amphetamine	amphetamine	S_chemicals	O
but	but	O	O
not	not	O	O
when	when	O	O
given	given	O	O
24	24	O	O
hr	hr	O	O
prior	prior	O	O
to	to	O	O
amphetamine	amphetamine	S_chemicals	O
.	.	O	O

Depletion	depletion	O	O
of	of	O	O
dopamine	dopamine	S_chemicals	O
in	in	O	O
the	the	O	O
striatum	striatum	O	O
was	was	O	O
also	also	O	O
antagonized	antagonized	O	O
when	when	O	O
LY274614	ly274614	O	O
was	was	O	O
given	given	O	O
