Pharmacological	pharmacological	O	O
modulation	modulation	O	O
of	of	O	O
pain-related	pain-related	O	O
brain	brain	O	O
activity	activity	O	O
during	during	O	O
normal	normal	O	O
and	and	O	O
central	central	O	O
sensitization	sensitization	O	O
states	states	O	O
in	in	O	O
humans	humans	O	O
.	.	O	O

Abnormal	abnormal	O	O
processing	processing	O	O
of	of	O	O
somatosensory	somatosensory	O	O
inputs	inputs	O	O
in	in	O	O
the	the	O	O
central	central	O	B_disease
nervous	nervous	O	B_disease
system	system	O	I_disease
(	(	O	O
central	central	O	O
sensitization	sensitization	O	O
)	)	O	O
is	is	O	O
the	the	O	O
mechanism	mechanism	O	O
accounting	accounting	O	O
for	for	O	O
the	the	O	O
enhanced	enhanced	O	O
pain	pain	O	O
sensitivity	sensitivity	O	O
in	in	O	O
the	the	O	O
skin	skin	O	O
surrounding	surrounding	O	O
tissue	tissue	O	O
injury	injury	O	S_disease
(	(	O	O
secondary	secondary	O	O
hyperalgesia	hyperalgesia	O	S_disease
)	)	O	O
.	.	O	O

Secondary	secondary	O	O
hyperalgesia	hyperalgesia	O	S_disease
shares	shares	O	O
clinical	clinical	O	O
characteristics	characteristics	O	O
with	with	O	O
neurogenic	neurogenic	O	O
hyperalgesia	hyperalgesia	O	S_disease
in	in	O	O
patients	patients	O	O
with	with	O	O
neuropathic	neuropathic	O	B_disease
pain	pain	O	I_disease
.	.	O	O

Abnormal	abnormal	O	O
brain	brain	O	O
responses	responses	O	O
to	to	O	O
somatosensory	somatosensory	O	O
stimuli	stimuli	O	O
have	have	O	O
been	been	O	O
found	found	O	O
in	in	O	O
patients	patients	O	O
with	with	O	O
hyperalgesia	hyperalgesia	O	S_disease
as	as	O	O
well	well	O	O
as	as	O	O
in	in	O	O
normal	normal	O	O
subjects	subjects	O	O
during	during	O	O
experimental	experimental	O	O
central	central	O	O
sensitization	sensitization	O	O
.	.	O	O

The	the	O	O
aim	aim	O	O
of	of	O	O
this	this	O	O
study	study	O	O
was	was	O	O
to	to	O	O
assess	assess	O	O
the	the	O	O
effects	effects	O	O
of	of	O	O
gabapentin	gabapentin	S_chemicals	O
,	,	O	O
a	a	O	O
drug	drug	S_chemicals	O
effective	effective	O	O
in	in	O	O
neuropathic	neuropathic	O	B_disease
pain	pain	O	I_disease
patients	patients	O	O
,	,	O	O
on	on	O	O
brain	brain	O	O
processing	processing	O	O
of	of	O	O
nociceptive	nociceptive	O	O
information	information	O	O
in	in	O	O
normal	normal	O	O
and	and	O	O
central	central	O	O
sensitization	sensitization	O	O
states	states	O	O
.	.	O	O

Using	using	O	O
functional	functional	O	O
magnetic	magnetic	O	O
resonance	resonance	O	O
imaging	imaging	O	O
(	(	O	O
fMRI	fmri	O	O
)	)	O	O
in	in	O	O
normal	normal	O	O
volunteers	volunteers	O	O
,	,	O	O
we	we	O	O
studied	studied	O	O
the	the	O	O
gabapentin-induced	gabapentin-induced	O	O
modulation	modulation	O	O
of	of	O	O
brain	brain	O	O
activity	activity	O	O
in	in	O	O
response	response	O	O
to	to	O	O
nociceptive	nociceptive	O	O
mechanical	mechanical	O	O
stimulation	stimulation	O	O
of	of	O	O
normal	normal	O	O
skin	skin	O	O
and	and	O	O
capsaicin-induced	capsaicin-induced	O	O
secondary	secondary	O	O
hyperalgesia	hyperalgesia	O	S_disease
.	.	O	O

The	the	O	O
dose	dose	O	O
of	of	O	O
gabapentin	gabapentin	S_chemicals	O
was	was	O	O
1,800	1,800	O	O
mg	mg	O	O
per	per	O	O
os	os	O	O
,	,	O	O
in	in	O	O
a	a	O	O
single	single	O	O
administration	administration	O	O
.	.	O	O

We	we	O	O
found	found	O	O
that	that	O	O
(	(	O	O
i	i	O	O
)	)	O	O
gabapentin	gabapentin	S_chemicals	O
reduced	reduced	O	O
the	the	O	O
activations	activations	O	O
in	in	O	O
the	the	O	O
bilateral	bilateral	O	O
operculoinsular	operculoinsular	O	O
cortex	cortex	O	O
,	,	O	O
independently	independently	O	O
of	of	O	O
the	the	O	O
presence	presence	O	O
of	of	O	O
central	central	O	O
sensitization	sensitization	O	O
;	;	O	O
(	(	O	O
ii	ii	O	O
)	)	O	O
gabapentin	gabapentin	S_chemicals	O
reduced	reduced	O	O
the	the	O	O
activation	activation	O	O
in	in	O	O
the	the	O	O
brainstem	brainstem	O	O
,	,	O	O
only	only	O	O
during	during	O	O
central	central	O	O
sensitization	sensitization	O	O
;	;	O	O
(	(	O	O
iii	iii	O	O
)	)	O	O
gabapentin	gabapentin	S_chemicals	O
suppressed	suppressed	O	O
stimulus-induced	stimulus-induced	O	O
deactivations	deactivations	O	O
,	,	O	O
only	only	O	O
during	during	O	O
central	central	O	O
sensitization	sensitization	O	O
;	;	O	O
this	this	O	O
effect	effect	O	O
was	was	O	O
more	more	O	O
robust	robust	O	O
than	than	O	O
the	the	O	O
effect	effect	O	O
on	on	O	O
brain	brain	O	O
activation	activation	O	O
.	.	O	O

The	the	O	O
observed	observed	O	O
drug-induced	drug-induced	O	S_disease
effects	effects	O	O
were	were	O	O
not	not	O	O
due	due	O	O
to	to	O	O
changes	changes	O	O
in	in	O	O
the	the	O	O
baseline	baseline	O	O
fMRI	fmri	O	O
signal	signal	O	O
.	.	O	O

These	these	O	O
findings	findings	O	O
indicate	indicate	O	O
that	that	O	O
gabapentin	gabapentin	S_chemicals	O
has	has	O	O
a	a	O	O
measurable	measurable	O	O
antinociceptive	antinociceptive	S_chemicals	O
effect	effect	O	O
and	and	O	O
a	a	O	O
stronger	stronger	O	O
antihyperalgesic	antihyperalgesic	O	O
effect	effect	O	O
most	most	O	O
evident	evident	O	O
in	in	O	O
the	the	O	O
brain	brain	O	O
areas	areas	O	O
undergoing	undergoing	O	O
deactivation	deactivation	O	O
,	,	O	O
thus	thus	O	O
supporting	supporting	O	O
