Inhibition	inhibition	O	O
of	of	O	O
sympathoadrenal	sympathoadrenal	O	O
activity	activity	O	O
by	by	O	O
atrial	atrial	B_chemicals	O
natriuretic	natriuretic	B_chemicals	O
factor	factor	I_chemicals	O
in	in	O	O
dogs	dogs	O	O
.	.	O	O

In	in	O	O
six	six	O	O
conscious	conscious	O	O
,	,	O	O
trained	trained	O	O
dogs	dogs	O	O
,	,	O	O
maintained	maintained	O	O
on	on	O	O
a	a	O	O
normal	normal	O	O
sodium	sodium	S_chemicals	O
intake	intake	O	O
of	of	O	O
2	2	O	O
to	to	O	O
4	4	O	O
mEq/kg/day	meq/kg/day	O	O
,	,	O	O
sympathetic	sympathetic	O	O
activity	activity	O	O
was	was	O	O
assessed	assessed	O	O
as	as	O	O
the	the	O	O
release	release	O	O
rate	rate	O	O
of	of	O	O
norepinephrine	norepinephrine	S_chemicals	O
and	and	O	O
epinephrine	epinephrine	S_chemicals	O
during	during	O	O
15-minute	15-minute	O	O
i.v	i.v	O	O
.	.	O	O

infusions	infusions	O	O
of	of	O	O
human	human	O	O
alpha-atrial	alpha-atrial	O	O
natriuretic	natriuretic	B_chemicals	O
factor	factor	I_chemicals	O
.	.	O	O

Mean	mean	O	O
arterial	arterial	O	O
pressure	pressure	O	O
(	(	O	O
as	as	O	O
a	a	O	O
percentage	percentage	O	O
of	of	O	O
control	control	O	O
+	+	O	O
/-	/-	O	O
SEM	sem	O	O
)	)	O	O
during	during	O	O
randomized	randomized	O	O
infusions	infusions	O	O
of	of	O	O
0.03	0.03	O	O
,	,	O	O
0.1	0.1	O	O
,	,	O	O
0.3	0.3	O	O
,	,	O	O
or	or	O	O
1.0	1.0	O	O
microgram/kg/min	microgram/kg/min	O	O
was	was	O	O
99	99	O	O
+	+	O	O
/-	/-	O	O
1	1	O	O
,	,	O	O
95	95	O	O
+	+	O	O
/-	/-	O	O
1	1	O	O
(	(	O	O
p	p	O	O
less	less	O	O
than	than	O	O
0.05	0.05	O	O
)	)	O	O
,	,	O	O
93	93	O	O
+	+	O	O
/-	/-	O	O
1	1	O	O
(	(	O	O
p	p	O	O
less	less	O	O
than	than	O	O
0.01	0.01	O	O
)	)	O	O
,	,	O	O
or	or	O	O
79	79	O	O
+	+	O	O
/-	/-	O	O
6	6	O	O
%	%	O	O
(	(	O	O
p	p	O	O
less	less	O	O
than	than	O	O
0.001	0.001	O	O
)	)	O	O
,	,	O	O
respectively	respectively	O	O
,	,	O	O
but	but	O	O
no	no	O	O
tachycardia	tachycardia	O	S_disease
and	and	O	O
no	no	O	O
augmentation	augmentation	O	O
of	of	O	O
the	the	O	O
norepinephrine	norepinephrine	S_chemicals	O
release	release	O	O
rate	rate	O	O
(	(	O	O
up	up	O	O
to	to	O	O
0.3	0.3	O	O
microgram/kg/min	microgram/kg/min	O	O
)	)	O	O
were	were	O	O
observed	observed	O	O
,	,	O	O
which	which	O	O
is	is	O	O
in	in	O	O
contrast	contrast	O	O
to	to	O	O
comparable	comparable	O	O
hypotension	hypotension	O	S_disease
induced	induced	O	O
by	by	O	O
hydralazine	hydralazine	S_chemicals	O
or	or	O	O
nitroglycerin	nitroglycerin	S_chemicals	O
.	.	O	O

The	the	O	O
release	release	O	O
rate	rate	O	O
of	of	O	O
epinephrine	epinephrine	S_chemicals	O
(	(	O	O
control	control	O	O
,	,	O	O
6.7	6.7	O	O
+	+	O	O
/-	/-	O	O
0.6	0.6	O	O
ng/kg/min	ng/kg/min	O	O
)	)	O	O
declined	declined	O	O
immediately	immediately	O	O
during	during	O	O
infusions	infusions	O	O
of	of	O	O
atrial	atrial	B_chemicals	O
natriuretic	natriuretic	B_chemicals	O
factor	factor	I_chemicals	O
to	to	O	O
a	a	O	O
minimum	minimum	O	O
of	of	O	O
49	49	O	O
+	+	O	O
/-	/-	O	O
5	5	O	O
%	%	O	O
of	of	O	O
control	control	O	O
(	(	O	O
p	p	O	O
less	less	O	O
than	than	O	O
0.001	0.001	O	O
)	)	O	O
during	during	O	O
0.1	0.1	O	O
microgram/kg/min	microgram/kg/min	O	O
and	and	O	O
to	to	O	O
63	63	O	O
+	+	O	O
/-	/-	O	O
5	5	O	O
%	%	O	O
(	(	O	O
0.1	0.1	O	O
greater	greater	O	O
than	than	O	O
p	p	O	O
greater	greater	O	O
than	than	O	O
0.05	0.05	O	O
)	)	O	O
or	or	O	O
95	95	O	O
+	+	O	O
/-	/-	O	O
13	13	O	O
%	%	O	O
(	(	O	O
not	not	O	O
significant	significant	O	O
)	)	O	O
during	during	O	O
0.3	0.3	O	O
or	or	O	O
1.0	1.0	O	O
microgram/kg/min	microgram/kg/min	O	O
.	.	O	O

Steady	steady	O	O
state	state	O	O
arterial	arterial	O	O
plasma	plasma	O	O
concentrations	concentrations	O	O
of	of	O	O
atrial	atrial	B_chemicals	O
natriuretic	natriuretic	B_chemicals	O
factor	factor	I_chemicals	O
were	were	O	O
39	39	O	O
+	+	O	O
/-	/-	O	O
10	10	O	O
pg/ml	pg/ml	O	O
(	(	O	O
n	n	O	O
=	=	O	O
6	6	O	O
)	)	O	O
during	during	O	O
infusions	infusions	O	O
of	of	O	O
saline	saline	O	O
and	and	O	O
284	284	O	O
+	+	O	O
/-	/-	O	O
24	24	O	O
pg/ml	pg/ml	O	O
(	(	O	O
n	n	O	O
=	=	O	O
6	6	O	O
)	)	O	O
and	and	O	O
1520	1520	O	O
+	+	O	O
/-	/-	O	O
300	300	O	O
pg/ml	pg/ml	O	O
(	(	O	O
n	n	O	O
=	=	O	O
9	9	O	O
)	)	O	O
during	during	O	O
0.03	0.03	O	O
and	and	O	O
0.1	0.1	O	O
microgram/kg/min	microgram/kg/min	O	O
infusions	infusions	O	O
of	of	O	O
the	the	O	O
factor.(ABSTRACT	factor.(abstract	O	O
TRUNCATED	truncated	O	O
AT	at	O	O
250	250	O	O
WORDS	words	O	O
)	)	O	O

