On	on	O	O
the	the	O	O
mechanisms	mechanisms	O	O
of	of	O	O
the	the	O	O
development	development	O	O
of	of	O	O
tolerance	tolerance	O	O
to	to	O	O
the	the	O	O
muscular	muscular	O	B_disease
rigidity	rigidity	O	I_disease
produced	produced	O	O
by	by	O	O
morphine	morphine	S_chemicals	O
in	in	O	O
rats	rats	O	O
.	.	O	O

The	the	O	O
development	development	O	O
of	of	O	O
tolerance	tolerance	O	O
to	to	O	O
the	the	O	O
muscular	muscular	O	B_disease
rigidity	rigidity	O	I_disease
produced	produced	O	O
by	by	O	O
morphine	morphine	S_chemicals	O
was	was	O	O
studied	studied	O	O
in	in	O	O
rats	rats	O	O
.	.	O	O

Saline-pretreated	saline-pretreated	O	O
controls	controls	O	O
given	given	O	O
a	a	O	O
test	test	O	O
dose	dose	O	O
of	of	O	O
morphine	morphine	S_chemicals	O
(	(	O	O
20	20	O	O
mg/kg	mg/kg	O	O
i.p	i.p	O	O
.	.	O	O
)	)	O	O
showed	showed	O	O
a	a	O	O
pronounced	pronounced	O	O
rigidity	rigidity	O	O
recorded	recorded	O	O
as	as	O	O
tonic	tonic	O	O
activity	activity	O	O
in	in	O	O
the	the	O	O
electromyogram	electromyogram	O	O
.	.	O	O

Rats	rats	O	O
treated	treated	O	O
for	for	O	O
11	11	O	O
days	days	O	O
with	with	O	O
morphine	morphine	S_chemicals	O
and	and	O	O
withdrawn	withdrawn	O	O
for	for	O	O
36	36	O	O
-	-	O	O
40	40	O	O
h	h	O	O
showed	showed	O	O
differences	differences	O	O
in	in	O	O
the	the	O	O
development	development	O	O
of	of	O	O
tolerance	tolerance	O	O
:	:	O	O
about	about	O	O
half	half	O	O
of	of	O	O
the	the	O	O
animals	animals	O	O
showed	showed	O	O
a	a	O	O
rigidity	rigidity	O	O
after	after	O	O
the	the	O	O
test	test	O	O
dose	dose	O	O
of	of	O	O
morphine	morphine	S_chemicals	O
that	that	O	O
was	was	O	O
not	not	O	O
significantly	significantly	O	O
less	less	O	O
than	than	O	O
in	in	O	O
the	the	O	O
controls	controls	O	O
and	and	O	O
were	were	O	O
akinetic	akinetic	O	S_disease
(	(	O	O
A	a	O	O
group	group	O	O
)	)	O	O
.	.	O	O

The	the	O	O
other	other	O	O
rats	rats	O	O
showed	showed	O	O
a	a	O	O
strong	strong	O	O
decrease	decrease	O	O
in	in	O	O
the	the	O	O
rigidity	rigidity	O	O
and	and	O	O
the	the	O	O
occurrence	occurrence	O	O
of	of	O	O
stereotyped	stereotyped	O	O
(	(	O	O
S	s	O	O
)	)	O	O
licking	licking	O	O
and/or	and/or	O	O
gnawing	gnawing	O	O
in	in	O	O
presence	presence	O	O
of	of	O	O
akinetic	akinetic	O	S_disease
or	or	O	O
hyperkinetic	hyperkinetic	O	S_disease
(	(	O	O
K	k	O	O
)	)	O	O
behaviour	behaviour	O	O
(	(	O	O
AS/KS	as/ks	O	O
group	group	O	O
)	)	O	O
,	,	O	O
suggesting	suggesting	O	O
signs	signs	O	O
of	of	O	O
dopaminergic	dopaminergic	S_chemicals	O
activation	activation	O	O
.	.	O	O

The	the	O	O
rigidity	rigidity	O	O
was	was	O	O
considerably	considerably	O	O
decreased	decreased	O	O
in	in	O	O
both	both	O	O
groups	groups	O	O
after	after	O	O
20	20	O	O
days	days	O	O
'	'	O	O
treatment	treatment	O	O
.	.	O	O

In	in	O	O
a	a	O	O
further	further	O	O
series	series	O	O
of	of	O	O
experiments	experiments	O	O
,	,	O	O
haloperidol	haloperidol	O	O
(	(	O	O
0.2	0.2	O	O
mg/kg	mg/kg	O	O
i.p	i.p	O	O
.	.	O	O
)	)	O	O
was	was	O	O
used	used	O	O
in	in	O	O
order	order	O	O
to	to	O	O
block	block	O	O
the	the	O	O
dopaminergic	dopaminergic	S_chemicals	O
activation	activation	O	O
and	and	O	O
to	to	O	O
estimate	estimate	O	O
the	the	O	O
real	real	O	O
degree	degree	O	O
of	of	O	O
the	the	O	O
tolerance	tolerance	O	O
to	to	O	O
the	the	O	O
rigidity	rigidity	O	O
without	without	O	O
any	any	O	O
dopaminergic	dopaminergic	S_chemicals	O
interference	interference	O	O
.	.	O	O

Haloperidol	haloperidol	O	O
enhanced	enhanced	O	O
the	the	O	O
rigidity	rigidity	O	O
in	in	O	O
the	the	O	O
A	a	O	O
group	group	O	O
.	.	O	O

However	however	O	O
,	,	O	O
the	the	O	O
level	level	O	O
in	in	O	O
the	the	O	O
AS/KS	as/ks	O	O
group	group	O	O
remained	remained	O	O
considerably	considerably	O	O
lower	lower	O	O
than	than	O	O
in	in	O	O
the	the	O	O
A	a	O	O
group	group	O	O
.	.	O	O

The	the	O	O
results	results	O	O
suggest	suggest	O	O
that	that	O	O
rigidity	rigidity	O	O
,	,	O	O
which	which	O	O
is	is	O	O
assumed	assumed	O	O
to	to	O	O
be	be	O	O
due	due	O	O
to	to	O	O
an	an	O	O
action	action	O	O
of	of	O	O
morphine	morphine	S_chemicals	O
in	in	O	O
the	the	O	O
striatum	striatum	O	O
,	,	O	O
can	can	O	O
be	be	O	O
antagonized	antagonized	O	O
by	by	O	O
another	another	O	O
process	process	O	O
leading	leading	O	O
to	to	O	O
dopaminergic	dopaminergic	S_chemicals	O
activation	activation	O	O
in	in	O	O
the	the	O	O
striatum	striatum	O	O
.	.	O	O

Nevertheless	nevertheless	O	O
,	,	O	O
there	there	O	O
occurs	occurs	O	O
some	some	O	O
real	real	O	O
tolerance	tolerance	O	O
to	to	O	O
this	this	O	O
effect	effect	O	O
.	.	O	O

The	the	O	O
rapid	rapid	O	O
alternations	alternations	O	O
of	of	O	O
rigidity	rigidity	O	O
and	and	O	O
the	the	O	O
signs	signs	O	O
of	of	O	O
dopaminergic	dopaminergic	S_chemicals	O
activation	activation	O	O
observed	observed	O	O
in	in	O	O
the	the	O	O
animals	animals	O	O
of	of	O	O
the	the	O	O
