Reversal	reversal	O	O
by	by	O	O
phenylephrine	phenylephrine	S_chemicals	O
of	of	O	O
the	the	O	O
beneficial	beneficial	O	O
effects	effects	O	O
of	of	O	O
intravenous	intravenous	O	O
nitroglycerin	nitroglycerin	S_chemicals	O
in	in	O	O
patients	patients	O	O
with	with	O	O
acute	acute	O	O
myocardial	myocardial	O	B_disease
infarction	infarction	O	S_disease
.	.	O	O

Nitroglycerin	nitroglycerin	S_chemicals	O
has	has	O	O
been	been	O	O
shown	shown	O	O
to	to	O	O
reduce	reduce	O	O
ST-segment	st-segment	O	O
elevation	elevation	O	O
during	during	O	O
acute	acute	O	O
myocardial	myocardial	O	B_disease
infarction	infarction	O	S_disease
,	,	O	O
an	an	O	O
effect	effect	O	O
potentiated	potentiated	O	O
in	in	O	O
the	the	O	O
dog	dog	O	O
by	by	O	O
agents	agents	O	O
that	that	O	O
reverse	reverse	O	O
nitroglycerin-induced	nitroglycerin-induced	O	O
hypotension	hypotension	O	S_disease
.	.	O	O

Our	our	O	O
study	study	O	O
was	was	O	O
designed	designed	O	O
to	to	O	O
determine	determine	O	O
the	the	O	O
effects	effects	O	O
of	of	O	O
combined	combined	O	O
nitroglycerin	nitroglycerin	S_chemicals	O
and	and	O	O
phenylephrine	phenylephrine	S_chemicals	O
therapy	therapy	O	O
.	.	O	O

Ten	ten	O	O
patients	patients	O	O
with	with	O	O
acute	acute	O	O
transmural	transmural	O	O
myocardial	myocardial	O	B_disease
infarctions	infarctions	O	S_disease
received	received	O	O
intravenous	intravenous	O	O
nitroglycerin	nitroglycerin	S_chemicals	O
,	,	O	O
sufficient	sufficient	O	O
to	to	O	O
reduce	reduce	O	O
mean	mean	O	O
arterial	arterial	O	O
pressure	pressure	O	O
from	from	O	O
107	107	O	O
+	+	O	O
/-	/-	O	O
6	6	O	O
to	to	O	O
85	85	O	O
+	+	O	O
/-	/-	O	O
6	6	O	O
mm	mm	O	O
Hg	hg	O	O
(	(	O	O
P	p	O	O
less	less	O	O
than	than	O	O
0.001	0.001	O	O
)	)	O	O
,	,	O	O
for	for	O	O
60	60	O	O
minutes	minutes	O	O
.	.	O	O

Left	left	O	B_disease
ventricular	ventricular	O	I_disease
filling	filling	O	O
pressure	pressure	O	O
decreased	decreased	O	O
from	from	O	O
19	19	O	O
+	+	O	O
/-	/-	O	O
2	2	O	O
to	to	O	O
11	11	O	O
+	+	O	O
/-	/-	O	O
2	2	O	O
mm	mm	O	O
Hg	hg	O	O
(	(	O	O
P	p	O	O
less	less	O	O
than	than	O	O
0.001	0.001	O	O
)	)	O	O
.	.	O	O

SigmaST	sigmast	O	O
,	,	O	O
the	the	O	O
sum	sum	O	O
of	of	O	O
ST-segment	st-segment	O	O
elevations	elevations	O	O
in	in	O	O
16	16	O	O
precordial	precordial	O	O
leads	leads	O	O
,	,	O	O
decreased	decreased	O	O
(	(	O	O
P	p	O	O
less	less	O	O
than	than	O	O
0.02	0.02	O	O
)	)	O	O
with	with	O	O
intravenous	intravenous	O	O
nitroglycerin	nitroglycerin	S_chemicals	O
.	.	O	O

Subsequent	subsequent	O	O
addition	addition	O	O
of	of	O	O
phenylephrine	phenylephrine	S_chemicals	O
infusion	infusion	O	O
,	,	O	O
sufficient	sufficient	O	O
to	to	O	O
re-elevate	re-elevate	O	O
mean	mean	O	O
arterial	arterial	O	O
pressure	pressure	O	O
to	to	O	O
106	106	O	O
+	+	O	O
/-	/-	O	O
4	4	O	O
mm	mm	O	O
Hg	hg	O	O
(	(	O	O
P	p	O	O
less	less	O	O
than	than	O	O
0.001	0.001	O	O
)	)	O	O
for	for	O	O
30	30	O	O
minutes	minutes	O	O
,	,	O	O
increased	increased	O	O
left	left	O	B_disease
ventricular	ventricular	O	I_disease
filling	filling	O	O
pressure	pressure	O	O
to	to	O	O
17	17	O	O
+	+	O	O
/-	/-	O	O
2	2	O	O
mm	mm	O	O
Hg	hg	O	O
(	(	O	O
P	p	O	O
less	less	O	O
than	than	O	O
0.05	0.05	O	O
)	)	O	O
and	and	O	O
also	also	O	O
significantly	significantly	O	O
increased	increased	O	O
sigmaST	sigmast	O	O
(	(	O	O
P	p	O	O
less	less	O	O
than	than	O	O
0.05	0.05	O	O
)	)	O	O
.	.	O	O

Our	our	O	O
results	results	O	O
suggest	suggest	O	O
that	that	O	O
addition	addition	O	O
of	of	O	O
phenylephrine	phenylephrine	S_chemicals	O
to	to	O	O
nitroglycerin	nitroglycerin	S_chemicals	O
is	is	O	O
not	not	O	O
beneficial	beneficial	O	O
in	in	O	O
the	the	O	O
treatment	treatment	O	O
of	of	O	O
patients	patients	O	O
with	with	O	O
acute	acute	O	O
myocardial	myocardial	O	B_disease
infarction	infarction	O	S_disease
.	.	O	O

