Contribution	contribution	O	O
of	of	O	O
the	the	O	O
sympathetic	sympathetic	O	O
nervous	nervous	O	B_disease
system	system	O	I_disease
to	to	O	O
salt-sensitivity	salt-sensitivity	O	O
in	in	O	O
lifetime	lifetime	O	O
captopril-treated	captopril-treated	O	O
spontaneously	spontaneously	O	O
hypertensive	hypertensive	O	O
rats	rats	O	O
.	.	O	O

OBJECTIVE	objective	O	O
:	:	O	O
To	to	O	O
test	test	O	O
the	the	O	O
hypothesis	hypothesis	O	O
that	that	O	O
,	,	O	O
in	in	O	O
lifetime	lifetime	O	O
captopril-treated	captopril-treated	O	O
spontaneously	spontaneously	O	O
hypertensive	hypertensive	O	O
rats	rats	O	O
(	(	O	O
SHR	shr	O	O
)	)	O	O
,	,	O	O
the	the	O	O
sympathetic	sympathetic	O	O
nervous	nervous	O	B_disease
system	system	O	I_disease
contributes	contributes	O	O
importantly	importantly	O	O
to	to	O	O
the	the	O	O
hypertensive	hypertensive	O	O
effect	effect	O	O
of	of	O	O
dietary	dietary	B_chemicals	O
sodium	sodium	B_chemicals	O
chloride	chloride	S_chemicals	O
supplementation	supplementation	O	O
.	.	O	O

METHODS	methods	O	O
:	:	O	O
Male	male	O	O
SHR	shr	O	O
(	(	O	O
aged	aged	O	O
6	6	O	O
weeks	weeks	O	O
)	)	O	O
that	that	O	O
had	had	O	O
been	been	O	O
treated	treated	O	O
from	from	O	O
conception	conception	O	O
onward	onward	O	O
with	with	O	O
either	either	O	O
captopril	captopril	S_chemicals	O
or	or	O	O
vehicle	vehicle	O	O
remained	remained	O	O
on	on	O	O
a	a	O	O
basal	basal	O	O
sodium	sodium	B_chemicals	O
chloride	chloride	S_chemicals	O
diet	diet	O	O
or	or	O	O
were	were	O	O
fed	fed	O	O
a	a	O	O
high	high	O	O
sodium	sodium	B_chemicals	O
chloride	chloride	S_chemicals	O
diet	diet	O	O
.	.	O	O

After	after	O	O
2	2	O	O
weeks	weeks	O	O
,	,	O	O
the	the	O	O
rats	rats	O	O
were	were	O	O
subjected	subjected	O	O
to	to	O	O
ganglionic	ganglionic	S_chemicals	S_disease
blockade	blockade	O	O
and	and	O	O
2	2	O	O
days	days	O	O
later	later	O	O
,	,	O	O
an	an	O	O
infusion	infusion	O	O
of	of	O	O
clonidine	clonidine	S_chemicals	O
.	.	O	O

RESULTS	results	O	O
:	:	O	O
Lifetime	lifetime	O	O
captopril	captopril	S_chemicals	O
treatment	treatment	O	O
significantly	significantly	O	O
lowered	lowered	O	O
mean	mean	O	O
arterial	arterial	O	O
pressure	pressure	O	O
in	in	O	O
both	both	O	O
groups	groups	O	O
.	.	O	O

Intravenous	intravenous	O	O
infusion	infusion	O	O
of	of	O	O
the	the	O	O
ganglionic	ganglionic	S_chemicals	S_disease
blocker	blocker	O	O
hexamethonium	hexamethonium	S_chemicals	O
resulted	resulted	O	O
in	in	O	O
a	a	O	O
rapid	rapid	O	O
decline	decline	O	O
in	in	O	O
MAP	map	O	O
that	that	O	O
eliminated	eliminated	O	O
the	the	O	O
dietary	dietary	B_chemicals	O
sodium	sodium	S_chemicals	O
chloride-induced	chloride-induced	O	O
increase	increase	O	O
in	in	O	O
MAP	map	O	O
in	in	O	O
both	both	O	O
groups	groups	O	O
.	.	O	O

Infusion	infusion	O	O
of	of	O	O
the	the	O	O
central	central	O	B_disease
nervous	nervous	O	B_disease
system	system	O	I_disease
alpha2-adrenergic	alpha2-adrenergic	S_chemicals	O
receptor	receptor	B_chemicals	O
agonist	agonist	I_chemicals	O
clonidine	clonidine	S_chemicals	O
also	also	O	O
resulted	resulted	O	O
in	in	O	O
a	a	O	O
greater	greater	O	O
reduction	reduction	O	O
in	in	O	O
MAP	map	O	O
in	in	O	O
both	both	O	O
groups	groups	O	O
of	of	O	O
SHR	shr	O	O
that	that	O	O
were	were	O	O
fed	fed	O	O
the	the	O	O
high	high	O	O
(	(	O	O
compared	compared	O	O
with	with	O	O
the	the	O	O
basal	basal	O	O
)	)	O	O
sodium	sodium	B_chemicals	O
chloride	chloride	S_chemicals	O
diet	diet	O	O
.	.	O	O

CONCLUSIONS	conclusions	O	O
:	:	O	O
In	in	O	O
both	both	O	O
lifetime	lifetime	O	O
captopril-treated	captopril-treated	O	O
and	and	O	O
control	control	O	O
SHR	shr	O	O
,	,	O	O
the	the	O	O
sympathetic	sympathetic	O	O
nervous	nervous	O	B_disease
system	system	O	I_disease
contributes	contributes	O	O
to	to	O	O
the	the	O	O
pressor	pressor	O	O
effects	effects	O	O
of	of	O	O
a	a	O	O
high	high	O	O
sodium	sodium	B_chemicals	O
chloride	chloride	S_chemicals	O
diet	diet	O	O
.	.	O	O

