Therapeutic	therapeutic	O	O
drug	drug	S_chemicals	O
monitoring	monitoring	O	O
of	of	O	O
tobramycin	tobramycin	S_chemicals	O
:	:	O	O
once-daily	once-daily	O	O
versus	versus	O	O
twice-daily	twice-daily	O	O
dosage	dosage	O	O
schedules	schedules	O	O
.	.	O	O

OBJECTIVE	objective	O	O
:	:	O	O
To	to	O	O
evaluate	evaluate	O	O
the	the	O	O
effect	effect	O	O
of	of	O	O
dosage	dosage	O	O
regimen	regimen	O	O
(	(	O	O
once-daily	once-daily	O	O
vs.	vs.	O	O
twice-daily	twice-daily	O	O
)	)	O	O
of	of	O	O
tobramicyn	tobramicyn	O	O
on	on	O	O
steady-state	steady-state	O	O
serum	serum	O	O
concentrations	concentrations	O	O
and	and	O	O
toxicity	toxicity	O	O
.	.	O	O

MATERIALS	materials	O	O
AND	and	O	O
METHODS	methods	O	O
:	:	O	O
Patients	patients	O	O
undergoing	undergoing	O	O
treatment	treatment	O	O
with	with	O	O
i.v	i.v	O	O
.	.	O	O
tobramycin	tobramycin	S_chemicals	O
(	(	O	O
4	4	O	O
mg/kg/day	mg/kg/day	O	O
)	)	O	O
were	were	O	O
randomised	randomised	O	O
to	to	O	O
two	two	O	O
groups	groups	O	O
.	.	O	O

Group	group	O	O
OD	od	O	O
(	(	O	O
n	n	O	O
=	=	O	O
22	22	O	O
)	)	O	O
received	received	O	O
a	a	O	O
once-daily	once-daily	O	O
dose	dose	O	O
of	of	O	O
tobramycin	tobramycin	S_chemicals	O
and	and	O	O
group	group	O	O
TD	td	O	O
(	(	O	O
n	n	O	O
=	=	O	O
21	21	O	O
)	)	O	O
received	received	O	O
the	the	O	O
same	same	O	O
dose	dose	O	O
divided	divided	O	O
into	into	O	O
two	two	O	O
doses	doses	O	O
daily	daily	O	O
.	.	O	O

Tobramycin	tobramycin	S_chemicals	O
serum	serum	O	O
concentrations	concentrations	O	O
(	(	O	O
peak	peak	O	O
and	and	O	O
trough	trough	O	O
)	)	O	O
were	were	O	O
measured	measured	O	O
by	by	O	O
enzyme	enzyme	S_chemicals	O
multiplied	multiplied	O	O
immunoassay	immunoassay	O	O
.	.	O	O

The	the	O	O
renal	renal	O	O
and	and	O	O
auditory	auditory	O	O
functions	functions	O	O
of	of	O	O
the	the	O	O
patients	patients	O	O
were	were	O	O
monitored	monitored	O	O
before	before	O	O
,	,	O	O
during	during	O	O
and	and	O	O
immediately	immediately	O	O
after	after	O	O
treatment	treatment	O	O
.	.	O	O

RESULTS	results	O	O
:	:	O	O
The	the	O	O
two	two	O	O
groups	groups	O	O
were	were	O	O
comparable	comparable	O	O
with	with	O	O
respect	respect	O	O
to	to	O	O
sex	sex	O	O
,	,	O	O
age	age	O	O
,	,	O	O
body	body	O	B_disease
weight	weight	O	I_disease
and	and	O	O
renal	renal	O	O
function	function	O	O
.	.	O	O

No	no	O	O
statistically	statistically	O	O
significant	significant	O	O
differences	differences	O	O
were	were	O	O
found	found	O	O
in	in	O	O
mean	mean	O	O
daily	daily	O	O
dose	dose	O	O
,	,	O	O
duration	duration	O	O
of	of	O	O
treatment	treatment	O	O
,	,	O	O
or	or	O	O
cumulative	cumulative	O	O
dose	dose	O	O
.	.	O	O

Trough	trough	O	O
concentrations	concentrations	O	O
were	were	O	O
<	<	O	O
2	2	O	O
g/ml	g/ml	O	O
in	in	O	O
the	the	O	O
two	two	O	O
groups	groups	O	O
(	(	O	O
100	100	O	O
%	%	O	O
)	)	O	O
.	.	O	O

Peak	peak	O	O
concentrations	concentrations	O	O
were	were	O	O
>	>	O	O
6	6	O	O
microg/ml	microg/ml	O	O
in	in	O	O
100	100	O	O
%	%	O	O
of	of	O	O
the	the	O	O
OD	od	O	O
group	group	O	O
and	and	O	O
in	in	O	O
67	67	O	O
%	%	O	O
of	of	O	O
the	the	O	O
TD	td	O	O
group	group	O	O
(	(	O	O
P	p	O	O
<	<	O	O
0.01	0.01	O	O
)	)	O	O
.	.	O	O

Mean	mean	O	O
peak	peak	O	O
concentrations	concentrations	O	O
were	were	O	O
markedly	markedly	O	O
different	different	O	O
:	:	O	O
11.00+/-2.89	11.00+/-2.89	O	O
microg/ml	microg/ml	O	O
in	in	O	O
OD	od	O	O
vs.	vs.	O	O
6.53+/-1.45	6.53+/-1.45	O	O
microg/ml	microg/ml	O	O
in	in	O	O
TD	td	O	O
(	(	O	O
P	p	O	O
<	<	O	O
