Nitric	nitric	CHEMICALS	O	OTHERS	I
oxide	oxide	CHEMICALS	O	OTHERS	I
synthase	synthase	CHEMICALS	O	OTHERS	I
expression	expression	O	O	O	O
in	in	O	O	O	O
the	the	O	O	O	O
course	course	O	O	O	O
of	of	O	O	O	O
lead-induced	lead-induced	O	O	O	O
hypertension	hypertension	O	DISEASE	OTHERS	I
.	.	O	O	O	O

We	we	O	O	O	O
recently	recently	O	O	O	O
showed	showed	O	O	O	O
elevated	elevated	O	O	O	O
reactive	reactive	CHEMICALS	O	OTHERS	I
oxygen	oxygen	CHEMICALS	O	OTHERS	I
species	species	CHEMICALS	O	OTHERS	I
(	(	O	O	O	O
ROS	ros	O	O	O	O
)	)	O	O	O	O
,	,	O	O	O	O
reduced	reduced	O	O	O	O
urinary	urinary	O	O	O	O
excretion	excretion	O	O	O	O
of	of	O	O	O	O
NO	no	O	O	O	O
metabolites	metabolites	O	O	O	O
(	(	O	O	O	O
NOx	nox	O	O	O	O
)	)	O	O	O	O
,	,	O	O	O	O
and	and	O	O	O	O
increased	increased	O	O	O	O
NO	no	O	O	O	O
sequestration	sequestration	O	O	O	O
as	as	O	O	O	O
nitrotyrosine	nitrotyrosine	O	O	OTHERS	I
in	in	O	O	O	O
various	various	O	O	O	O
tissues	tissues	O	O	O	O
in	in	O	O	O	O
rats	rats	O	O	O	O
with	with	O	O	O	O
lead-induced	lead-induced	O	O	O	O
hypertension	hypertension	O	DISEASE	OTHERS	I
.	.	O	O	O	O

This	this	O	O	O	O
study	study	O	O	O	O
was	was	O	O	O	O
designed	designed	O	O	O	O
to	to	O	O	O	O
discern	discern	O	O	O	O
whether	whether	O	O	O	O
the	the	O	O	O	O
reduction	reduction	O	O	O	O
in	in	O	O	O	O
urinary	urinary	O	O	O	O
NOx	nox	O	O	O	O
in	in	O	O	O	O
lead-induced	lead-induced	O	O	O	O
hypertension	hypertension	O	DISEASE	OTHERS	I
is	is	O	O	O	O
,	,	O	O	O	O
in	in	O	O	O	O
part	part	O	O	O	O
,	,	O	O	O	O
due	due	O	O	O	O
to	to	O	O	O	O
depressed	depressed	O	DISEASE	OTHERS	I
NO	no	O	O	O	O
synthase	synthase	O	O	O	O
(	(	O	O	O	O
NOS	nos	O	O	O	O
)	)	O	O	O	O
expression	expression	O	O	O	O
.	.	O	O	O	O

Male	male	O	O	O	O
Sprague-Dawley	sprague-dawley	O	O	O	O
rats	rats	O	O	O	O
were	were	O	O	O	O
randomly	randomly	O	O	O	O
assigned	assigned	O	O	O	O
to	to	O	O	O	O
a	a	O	O	O	O
lead-treated	lead-treated	O	O	O	O
group	group	O	O	O	O
(	(	O	O	O	O
given	given	O	O	O	O
lead	lead	CHEMICALS	O	OTHERS	I
acetate	acetate	CHEMICALS	O	OTHERS	I
,	,	O	O	O	O
100	100	O	O	O	O
ppm	ppm	O	O	O	O
,	,	O	O	O	O
in	in	O	O	O	O
drinking	drinking	CHEMICALS	O	OTHERS	I
water	water	CHEMICALS	O	OTHERS	I
and	and	O	O	O	O
regular	regular	O	O	O	O
rat	rat	O	O	O	O
chow	chow	O	O	O	O
)	)	O	O	O	O
