Recurrent	recurrent	O	O	O	O
use	use	O	O	O	O
of	of	O	O	O	O
newer	newer	O	O	O	O
oral	oral	CHEMICALS	O	OTHERS	I
contraceptives	contraceptives	CHEMICALS	O	OTHERS	I
and	and	O	O	O	O
the	the	O	O	O	O
risk	risk	O	O	O	O
of	of	O	O	O	O
venous	venous	O	DISEASE	OTHERS	I
thromboembolism	thromboembolism	O	DISEASE	OTHERS	I
.	.	O	O	O	O

The	the	O	O	O	O
epidemiological	epidemiological	O	O	O	O
studies	studies	O	O	O	O
that	that	O	O	O	O
assessed	assessed	O	O	O	O
the	the	O	O	O	O
risk	risk	O	O	O	O
of	of	O	O	O	O
venous	venous	O	DISEASE	OTHERS	I
thromboembolism	thromboembolism	O	DISEASE	OTHERS	I
(	(	O	O	O	O
VTE	vte	O	DISEASE	OTHERS	I
)	)	O	O	O	O
associated	associated	O	O	O	O
with	with	O	O	O	O
newer	newer	O	O	O	O
oral	oral	CHEMICALS	O	OTHERS	I
contraceptives	contraceptives	CHEMICALS	O	OTHERS	I
(	(	O	O	O	O
OC	oc	CHEMICALS	O	OTHERS	I
)	)	O	O	O	O
did	did	O	O	O	O
not	not	O	O	O	O
distinguish	distinguish	O	O	O	O
between	between	O	O	O	O
patterns	patterns	O	O	O	O
of	of	O	O	O	O
OC	oc	CHEMICALS	O	OTHERS	I
use	use	O	O	O	O
,	,	O	O	O	O
namely	namely	O	O	O	O
first-time	first-time	O	O	O	O
users	users	O	O	O	O
,	,	O	O	O	O
repeaters	repeaters	O	O	O	O
and	and	O	O	O	O
switchers	switchers	O	O	O	O
.	.	O	O	O	O

Data	data	O	O	O	O
from	from	O	O	O	O
a	a	O	O	O	O
Transnational	transnational	O	O	O	O
case-control	case-control	O	O	O	O
study	study	O	O	O	O
were	were	O	O	O	O
used	used	O	O	O	O
to	to	O	O	O	O
assess	assess	O	O	O	O
the	the	O	O	O	O
risk	risk	O	O	O	O
of	of	O	O	O	O
VTE	vte	O	DISEASE	OTHERS	I
for	for	O	O	O	O
the	the	O	O	O	O
latter	latter	O	O	O	O
patterns	patterns	O	O	O	O
of	of	O	O	O	O
use	use	O	O	O	O
,	,	O	O	O	O
while	while	O	O	O	O
accounting	accounting	O	O	O	O
for	for	O	O	O	O
duration	duration	O	O	O	O
of	of	O	O	O	O
use	use	O	O	O	O
.	.	O	O	O	O

Over	over	O	O	O	O
the	the	O	O	O	O
period	period	O	O	O	O
1993	1993	O	O	O	O
-	-	O	O	O	O
1996	1996	O	O	O	O
,	,	O	O	O	O
551	551	O	O	O	O
cases	cases	O	O	O	O
of	of	O	O	O	O
VTE	vte	O	DISEASE	OTHERS	I
were	were	O	O	O	O
identified	identified	O	O	O	O
in	in	O	O	O	O
Germany	germany	O	O	O	O
and	and	O	O	O	O
the	the	O	O	O	O
UK	uk	O	O	O	O
along	along	O	O	O	O
with	with	O	O	O	O
2066	2066	O	O	O	O
controls	controls	O	O	O	O
.	.	O	O	O	O

Totals	totals	O	O	O	O
of	of	O	O	O	O
128	128	O	O	O	O
cases	cases	O	O	O	O
and	and	O	O	O	O
650	650	O	O	O	O
controls	controls	O	O	O	O
were	were	O	O	O	O
analysed	analysed	O	O	O	O
for	for	O	O	O	O
repeat	repeat	O	O	O	O
use	use	O	O	O	O
and	and	O	O	O	O
135	135	O	O	O	O
cases	cases	O	O	O	O
and	and	O	O	O	O
622	622	O	O	O	O
controls	controls	O	O	O	O
for	for	O	O	O	O
switching	switching	O	O	O	O
patterns	patterns	O	O	O	O
.	.	O	O	O	O

The	the	O	O	O	O
adjusted	adjusted	O	O	O	O
rate	rate	O	O	O	O
ratio	ratio	O	O	O	O
of	of	O	O	O	O
VTE	vte	O	DISEASE	OTHERS	I
for	for	O	O	O	O
repeat	repeat	O	O	O	O
users	users	O	O	O	O
of	of	O	O	O	O
third	third	O	O	O	O
generation	generation	O	O	O	O
OC	oc	CHEMICALS	O	OTHERS	I
was	was	O	O	O	O
0.6	0.6	O	O	O	O
(	(	O	O	O	O
95	95	O	O	O	O
%	%	O	O	O	O
CI:0.3	ci:0.3	O	O	O	O
-	-	O	O	O	O
1.2	1.2	O	O	O	O
)	)	O	O	O	O
relative	relative	O	O	O	O
to	to	O	O	O	O
repeat	repeat	O	O	O	O
users	users	O	O	O	O
of	of	O	O	O	O
second	second	O	O	O	O
generation	generation	O	O	O	O
pills	pills	O	O	O	O
,	,	O	O	O	O
whereas	whereas	O	O	O	O
it	it	O	O	O	O
was	was	O	O	O	O
1.3	1.3	O	O	O	O
(	(	O	O	O	O
95	95	O	O	O	O
%	%	O	O	O	O
CI:0.7	ci:0.7	O	O	O	O
-	-	O	O	O	O
2.4	2.4	O	O	O	O
)	)	O	O	O	O
for	for	O	O	O	O
switchers	switchers	O	O	O	O
from	from	O	O	O	O
second	second	O	O	O	O
to	to	O	O	O	O
third	third	O	O	O	O
generation	generation	O	O	O	O
pills	pills	O	O	O	O
relative	relative	O	O	O	O
to	to	O	O	O	O
switchers	switchers	O	O	O	O
from	from	O	O	O	O
third	third	O	O	O	O
to	to	O	O	O	O
second	second	O	O	O	O
generation	generation	O	O	O	O
pills	pills	O	O	O	O
.	.	O	O	O	O

We	we	O	O	O	O
conclude	conclude	O	O	O	O
that	that	O	O	O	O
second	second	O	O	O	O
and	and	O	O	O	O
third	third	O	O	O	O
generation	generation	O	O	O	O
agents	agents	O	O	O	O
are	are	O	O	O	O
associated	associated	O	O	O	O
with	with	O	O	O	O
equivalent	equivalent	O	O	O	O
risks	risks	O	O	O	O
of	of	O	O	O	O
VTE	vte	O	DISEASE	OTHERS	I
when	when	O	O	O	O
the	the	O	O	O	O
same	same	O	O	O	O
agent	agent	O	O	O	O
is	is	O	O	O	O
used	used	O	O	O	O
repeatedly	repeatedly	O	O	O	O
after	after	O	O	O	O
interruption	interruption	O	O	O	O
periods	periods	O	O	O	O
or	or	O	O	O	O
when	when	O	O	O	O
users	users	O	O	O	O
are	are	O	O	O	O
switched	switched	O	O	O	O
between	between	O	O	O	O
the	the	O	O	O	O
two	two	O	O	O	O
generations	generations	O	O	O	O
of	of	O	O	O	O
pills	pills	O	O	O	O
.	.	O	O	O	O

These	these	O	O	O	O
analyses	analyses	O	O	O	O
suggest	suggest	O	O	O	O
that	that	O	O	O	O
the	the	O	O	O	O
higher	higher	O	O	O	O
risk	risk	O	O	O	O
observed	observed	O	O	O	O
for	for	O	O	O	O
the	the	O	O	O	O
newer	newer	O	O	O	O
OC	oc	CHEMICALS	O	OTHERS	I
in	in	O	O	O	O
other	other	O	O	O	O
studies	studies	O	O	O	O
may	may	O	O	O	O
be	be	O	O	O	O
the	the	O	O	O	O
result	result	O	O	O	O
of	of	O	O	O	O
inadequate	inadequate	O	O	O	O
comparisons	comparisons	O	O	O	O
of	of	O	O	O	O
pill	pill	O	O	O	O
users	users	O	O	O	O
with	with	O	O	O	O
different	different	O	O	O	O
patterns	patterns	O	O	O	O
of	of	O	O	O	O
pill	pill	O	O	O	O
use	use	O	O	O	O
.	.	O	O	O	O

