Treatment	treatment	O	O	O	O
of	of	O	O	O	O
tacrolimus-related	tacrolimus-related	O	O	O	O
adverse	adverse	O	O	O	O
effects	effects	O	O	O	O
by	by	O	O	O	O
conversion	conversion	O	O	O	O
to	to	O	O	O	O
cyclosporine	cyclosporine	CHEMICALS	O	OTHERS	I
in	in	O	O	O	O
liver	liver	O	O	O	O
transplant	transplant	O	O	O	O
recipients	recipients	O	O	O	O
.	.	O	O	O	O

When	when	O	O	O	O
tacrolimus	tacrolimus	CHEMICALS	O	OTHERS	I
side	side	O	O	O	O
effects	effects	O	O	O	O
persist	persist	O	O	O	O
despite	despite	O	O	O	O
dose	dose	O	O	O	O
reduction	reduction	O	O	O	O
,	,	O	O	O	O
conversion	conversion	O	O	O	O
to	to	O	O	O	O
cyclosporine-based	cyclosporine-based	O	O	O	O
immunosuppression	immunosuppression	O	O	O	O
(	(	O	O	O	O
CyA	cya	O	O	OTHERS	I
)	)	O	O	O	O
is	is	O	O	O	O
necessary	necessary	O	O	O	O
.	.	O	O	O	O

We	we	O	O	O	O
characterized	characterized	O	O	O	O
tacrolimus	tacrolimus	CHEMICALS	O	OTHERS	I
side	side	O	O	O	O
effects	effects	O	O	O	O
that	that	O	O	O	O
warranted	warranted	O	O	O	O
discontinuation	discontinuation	O	O	O	O
of	of	O	O	O	O
the	the	O	O	O	O
drug	drug	O	O	O	O
,	,	O	O	O	O
and	and	O	O	O	O
outcomes	outcomes	O	O	O	O
after	after	O	O	O	O
conversion	conversion	O	O	O	O
.	.	O	O	O	O

Of	of	O	O	O	O
388	388	O	O	O	O
liver	liver	O	O	O	O
recipients	recipients	O	O	O	O
who	who	O	O	O	O
received	received	O	O	O	O
tacrolimus	tacrolimus	CHEMICALS	O	OTHERS	I
as	as	O	O	O	O
primary	primary	O	O	O	O
immunosuppression	immunosuppression	O	O	O	O
,	,	O	O	O	O
70	70	O	O	O	O
required	required	O	O	O	O
conversion	conversion	O	O	O	O
to	to	O	O	O	O
CyA.	cya.	O	O	O	O
We	we	O	O	O	O
recorded	recorded	O	O	O	O
indication	indication	O	O	O	O
for	for	O	O	O	O
conversion	conversion	O	O	O	O
,	,	O	O	O	O
whether	whether	O	O	O	O
conversion	conversion	O	O	O	O
was	was	O	O	O	O
early	early	O	O	O	O
or	or	O	O	O	O
late	late	O	O	O	O
after	after	O	O	O	O
transplantation	transplantation	O	O	O	O
,	,	O	O	O	O
tacrolimus	tacrolimus	CHEMICALS	O	OTHERS	I
dose	dose	O	O	O	O
and	and	O	O	O	O
trough	trough	O	O	O	O
blood	blood	O	O	O	O
level	level	O	O	O	O
at	at	O	O	O	O
conversion	conversion	O	O	O	O
,	,	O	O	O	O
and	and	O	O	O	O
incidence	incidence	O	O	O	O
of	of	O	O	O	O
rejection	rejection	O	O	O	O
after	after	O	O	O	O
conversion	conversion	O	O	O	O
.	.	O	O	O	O

Conversion	conversion	O	O	O	O
was	was	O	O	O	O
early	early	O	O	O	O
in	in	O	O	O	O
29	29	O	O	O	O
patients	patients	O	O	O	O
(	(	O	O	O	O
41.4	41.4	O	O	O	O
%	%	O	O	O	O
)	)	O	O	O	O
and	and	O	O	O	O
late	late	O	O	O	O
in	in	O	O	O	O
41	41	O	O	O	O
(	(	O	O	O	O
58.6	58.6	O	O	O	O
%	%	O	O	O	O
)	)	O	O	O	O
.	.	O	O	O	O

Indications	indications	O	O	O	O
for	for	O	O	O	O
early	early	O	O	O	O
conversion	conversion	O	O	O	O
were	were	O	O	O	O
neurotoxicity	neurotoxicity	O	DISEASE	OTHERS	I
(	(	O	O	O	O
20	20	O	O	O	O
)	)	O	O	O	O
,	,	O	O	O	O
(	(	O	O	O	O
insulin-dependent	insulin-dependent	O	O	O	O
)	)	O	O	O	O
diabetes	diabetes	O	DISEASE	OTHERS	I
mellitus	mellitus	O	DISEASE	OTHERS	I
(	(	O	O	O	O
IDDM	iddm	O	O	OTHERS	I
)	)	O	O	O	O
(	(	O	O	O	O
5	5	O	O	O	O
)	)	O	O	O	O
,	,	O	O	O	O
nephrotoxicity	nephrotoxicity	O	DISEASE	OTHERS	I
(	(	O	O	O	O
3	3	O	O	O	O
)	)	O	O	O	O
,	,	O	O	O	O
gastrointestinal	gastrointestinal	O	O	OTHERS	I
(	(	O	O	OTHERS	I
GI	gi	O	O	OTHERS	I
)	)	O	O	OTHERS	I
toxicity	toxicity	O	DISEASE	OTHERS	I
(	(	O	O	O	O
6	6	O	O	O	O
)	)	O	O	O	O
,	,	O	O	O	O
and	and	O	O	O	O
cardiomyopathy	cardiomyopathy	O	DISEASE	OTHERS	I
(	(	O	O	O	O
1	1	O	O	O	O
)	)	O	O	O	O
,	,	O	O	O	O
and	and	O	O	O	O
for	for	O	O	O	O
late	late	O	O	O	O
conversion	conversion	O	O	O	O
were	were	O	O	O	O
neurotoxicity	neurotoxicity	O	DISEASE	OTHERS	I
(	(	O	O	O	O
15	15	O	O	O	O
)	)	O	O	O	O
,	,	O	O	O	O
IDDM	iddm	O	O	OTHERS	I
(	(	O	O	O	O
12	12	O	O	O	O
)	)	O	O	O	O
,	,	O	O	O	O
nephrotoxicity	nephrotoxicity	O	DISEASE	OTHERS	I
(	(	O	O	O	O
3	3	O	O	O	O
)	)	O	O	O	O
,	,	O	O	O	O
GI	gi	O	O	OTHERS	I
toxicity	toxicity	O	DISEASE	OTHERS	I
(	(	O	O	O	O
5	5	O	O	O	O
)	)	O	O	O	O
,	,	O	O	O	O
hepatotoxicity	hepatotoxicity	O	DISEASE	OTHERS	I
(	(	O	O	O	O
6	6	O	O	O	O
)	)	O	O	O	O
,	,	O	O	O	O
post-transplant	post-transplant	O	O	O	O
lmphoproliferate	lmphoproliferate	O	O	O	O
disease	disease	O	O	O	O
(	(	O	O	O	O
PTLD	ptld	O	O	OTHERS	I
)	)	O	O	O	O
(	(	O	O	O	O
2	2	O	O	O	O
)	)	O	O	O	O
,	,	O	O	O	O
cardiomyopathy	cardiomyopathy	O	DISEASE	OTHERS	I
(	(	O	O	O	O
1	1	O	O	O	O
)	)	O	O	O	O
,	,	O	O	O	O
hemolytic	hemolytic	O	DISEASE	OTHERS	I
anemia	anemia	O	DISEASE	OTHERS	I
(	(	O	O	O	O
1	1	O	O	O	O
)	)	O	O	O	O
,	,	O	O	O	O
and	and	O	O	O	O
pruritus	pruritus	O	DISEASE	OTHERS	I
(	(	O	O	O	O
1	1	O	O	O	O
)	)	O	O	O	O
.	.	O	O	O	O

All	all	O	O	O	O
early-conversion	early-conversion	O	O	O	O
patients	patients	O	O	O	O
showed	showed	O	O	O	O
improvement/resolution	improvement/resolution	O	O	O	O
of	of	O	O	O	O
symptoms	symptoms	O	O	O	O
.	.	O	O	O	O

Among	among	O	O	O	O
late-conversion	late-conversion	O	O	O	O
patients	patients	O	O	O	O
,	,	O	O	O	O
37	37	O	O	O	O
(	(	O	O	O	O
90.2	90.2	O	O	O	O
%	%	O	O	O	O
)	)	O	O	O	O
had	had	O	O	O	O
improvement/resolution	improvement/resolution	O	O	O	O
;	;	O	O	O	O
in	in	O	O	O	O
4	4	O	O	O	O
(	(	O	O	O	O
9.8	9.8	O	O	O	O
%	%	O	O	O	O
)	)	O	O	O	O
,	,	O	O	O	O
adverse	adverse	O	O	O	O
effects	effects	O	O	O	O
persisted	persisted	O	O	O	O
.	.	O	O	O	O

The	the	O	O	O	O
overall	overall	O	O	O	O
rejection	rejection	O	O	O	O
rate	rate	O	O	O	O
was	was	O	O	O	O
30	30	O	O	O	O
%	%	O	O	O	O
.	.	O	O	O	O

Sixty-two	sixty-two	O	O	O	O
patients	patients	O	O	O	O
(	(	O	O	O	O
88.6	88.6	O	O	O	O
%	%	O	O	O	O
)	)	O	O	O	O
are	are	O	O	O	O
alive	alive	O	O	O	O
with	with	O	O	O	O
functioning	functioning	O	O	O	O
grafts	grafts	O	O	O	O
686	686	O	O	O	O
+	+	O	O	O	O
/-	/-	O	O	O	O
362	362	O	O	O	O
days	days	O	O	O	O
(	(	O	O	O	O
range	range	O	O	O	O
,	,	O	O	O	O
154	154	O	O	O	O
-	-	O	O	O	O
1433	1433	O	O	O	O
days	days	O	O	O	O
)	)	O	O	O	O
after	after	O	O	O	O
conversion	conversion	O	O	O	O
.	.	O	O	O	O
