Analgesic	analgesic	O	O	O	O
effect	effect	O	O	O	O
of	of	O	O	O	O
intravenous	intravenous	O	O	O	O
ketamine	ketamine	CHEMICALS	O	OTHERS	I
in	in	O	O	O	O
cancer	cancer	O	DISEASE	OTHERS	I
patients	patients	O	O	O	O
on	on	O	O	O	O
morphine	morphine	CHEMICALS	O	OTHERS	I
therapy	therapy	O	O	O	O
:	:	O	O	O	O
a	a	O	O	O	O
randomized	randomized	O	O	O	O
,	,	O	O	O	O
controlled	controlled	O	O	O	O
,	,	O	O	O	O
double-blind	double-blind	O	O	O	O
,	,	O	O	O	O
crossover	crossover	O	O	O	O
,	,	O	O	O	O
double-dose	double-dose	O	O	O	O
study	study	O	O	O	O
.	.	O	O	O	O

Pain	pain	O	DISEASE	OTHERS	I
not	not	O	O	O	O
responsive	responsive	O	O	O	O
to	to	O	O	O	O
morphine	morphine	CHEMICALS	O	OTHERS	I
is	is	O	O	O	O
often	often	O	O	O	O
problematic	problematic	O	O	O	O
.	.	O	O	O	O

Animal	animal	O	O	O	O
and	and	O	O	O	O
clinical	clinical	O	O	O	O
studies	studies	O	O	O	O
have	have	O	O	O	O
suggested	suggested	O	O	O	O
that	that	O	O	O	O
N-methyl-D-aspartate	n-methyl-d-aspartate	O	O	O	O
(	(	O	O	O	O
NMDA	nmda	CHEMICALS	O	OTHERS	I
)	)	O	O	O	O
antagonists	antagonists	O	O	O	O
,	,	O	O	O	O
such	such	O	O	O	O
as	as	O	O	O	O
ketamine	ketamine	CHEMICALS	O	OTHERS	I
,	,	O	O	O	O
may	may	O	O	O	O
be	be	O	O	O	O
effective	effective	O	O	O	O
in	in	O	O	O	O
improving	improving	O	O	O	O
opioid	opioid	O	O	O	O
analgesia	analgesia	O	O	OTHERS	I
in	in	O	O	O	O
difficult	difficult	O	O	O	O
pain	pain	O	DISEASE	OTHERS	I
syndromes	syndromes	O	O	O	O
,	,	O	O	O	O
such	such	O	O	O	O
as	as	O	O	O	O
neuropathic	neuropathic	O	DISEASE	OTHERS	I
pain	pain	O	DISEASE	OTHERS	I
.	.	O	O	O	O

A	a	O	O	O	O
slow	slow	O	O	O	O
bolus	bolus	O	O	O	O
of	of	O	O	O	O
subhypnotic	subhypnotic	O	O	O	O
doses	doses	O	O	O	O
of	of	O	O	O	O
ketamine	ketamine	CHEMICALS	O	OTHERS	I
(	(	O	O	O	O
0.25	0.25	O	O	O	O
mg/kg	mg/kg	O	O	O	O
or	or	O	O	O	O
0.50	0.50	O	O	O	O
mg/kg	mg/kg	O	O	O	O
)	)	O	O	O	O
was	was	O	O	O	O
