Reduced	reduced	O	O	O	O
cardiotoxicity	cardiotoxicity	O	DISEASE	OTHERS	I
and	and	O	O	O	O
preserved	preserved	O	O	O	O
antitumor	antitumor	O	O	O	O
efficacy	efficacy	O	O	O	O
of	of	O	O	O	O
liposome-encapsulated	liposome-encapsulated	O	O	O	O
doxorubicin	doxorubicin	CHEMICALS	O	OTHERS	I
and	and	O	O	O	O
cyclophosphamide	cyclophosphamide	CHEMICALS	O	OTHERS	I
compared	compared	O	O	O	O
with	with	O	O	O	O
conventional	conventional	O	O	O	O
doxorubicin	doxorubicin	CHEMICALS	O	OTHERS	I
and	and	O	O	O	O
cyclophosphamide	cyclophosphamide	CHEMICALS	O	OTHERS	I
in	in	O	O	O	O
a	a	O	O	O	O
randomized	randomized	O	O	O	O
,	,	O	O	O	O
multicenter	multicenter	O	O	O	O
trial	trial	O	O	O	O
of	of	O	O	O	O
metastatic	metastatic	O	O	O	O
breast	breast	O	DISEASE	OTHERS	I
cancer	cancer	O	DISEASE	OTHERS	I
.	.	O	O	O	O

PURPOSE	purpose	O	O	O	O
:	:	O	O	O	O
To	to	O	O	O	O
determine	determine	O	O	O	O
whether	whether	O	O	O	O
Myocet	myocet	O	O	OTHERS	I
(	(	O	O	O	O
liposome-encapsulated	liposome-encapsulated	O	O	O	O
doxorubicin	doxorubicin	CHEMICALS	O	OTHERS	I
;	;	O	O	O	O
The	the	O	O	O	O
Liposome	liposome	O	O	O	O
Company	company	O	O	O	O
,	,	O	O	O	O
Elan	elan	O	O	O	O
Corporation	corporation	O	O	O	O
,	,	O	O	O	O
Princeton	princeton	O	O	O	O
,	,	O	O	O	O
NJ	nj	O	O	O	O
)	)	O	O	O	O
in	in	O	O	O	O
combination	combination	O	O	O	O
with	with	O	O	O	O
cyclophosphamide	cyclophosphamide	CHEMICALS	O	OTHERS	I
significantly	significantly	O	O	O	O
reduces	reduces	O	O	O	O
doxorubicin	doxorubicin	CHEMICALS	O	OTHERS	I
cardiotoxicity	cardiotoxicity	O	DISEASE	OTHERS	I
while	while	O	O	O	O
providing	providing	O	O	O	O
comparable	comparable	O	O	O	O
antitumor	antitumor	O	O	O	O
efficacy	efficacy	O	O	O	O
in	in	O	O	O	O
first-line	first-line	O	O	O	O
treatment	treatment	O	O	O	O
of	of	O	O	O	O
metastatic	metastatic	O	O	O	O
breast	breast	O	DISEASE	OTHERS	I
cancer	cancer	O	DISEASE	OTHERS	I
(	(	O	O	O	O
MBC	mbc	O	O	OTHERS	I
)	)	O	O	O	O
.	.	O	O	O	O

PATIENTS	patients	O	O	O	O
AND	and	O	O	O	O
METHODS	methods	O	O	O	O
:	:	O	O	O	O
Two	two	O	O	O	O
hundred	hundred	O	O	O	O
ninety-seven	ninety-seven	O	O	O	O
patients	patients	O	O	O	O
with	with	O	O	O	O
MBC	mbc	O	O	OTHERS	I
and	and	O	O	O	O
no	no	O	O	O	O
prior	prior	O	O	O	O
chemotherapy	chemotherapy	O	O	O	O
for	for	O	O	O	O
metastatic	metastatic	O	O	O	O
disease	disease	O	O	O	O
were	were	O	O	O	O
randomized	randomized	O	O	O	O
to	to	O	O	O	O
receive	receive	O	O	O	O
either	either	O	O	O	O
60	60	O	O	O	O
mg/m(2	mg/m(2	O	O	O	O
)	)	O	O	O	O
of	of	O	O	O	O
Myocet	myocet	O	O	OTHERS	I
(	(	O	O	O	O
M	m	O	O	O	O
)	)	O	O	O	O
or	or	O	O	O	O
conventional	conventional	O	O	O	O
doxorubicin	doxorubicin	CHEMICALS	O	OTHERS	I
(	(	O	O	O	O
A	a	O	O	O	O
)	)	O	O	O	O
,	,	O	O	O	O
in	in	O	O	O	O
combination	combination	O	O	O	O
with	with	O	O	O	O
600	600	O	O	O	O
mg/m(2	mg/m(2	O	O	O	O
)	)	O	O	O	O
of	of	O	O	O	O
cyclophosphamide	cyclophosphamide	CHEMICALS	O	OTHERS	I
(	(	O	O	O	O
C	c	O	O	OTHERS	I
)	)	O	O	O	O
,	,	O	O	O	O
every	every	O	O	O	O
3	3	O	O	O	O
weeks	weeks	O	O	O	O
until	until	O	O	O	O
disease	disease	O	DISEASE	OTHERS	I
progression	progression	O	DISEASE	OTHERS	I
or	or	O	O	O	O
unacceptable	unacceptable	O	O	O	O
toxicity	toxicity	O	DISEASE	OTHERS	I
.	.	O	O	O	O

Cardiotoxicity	cardiotoxicity	O	DISEASE	OTHERS	I
was	was	O	O	O	O
defined	defined	O	O	O	O
by	by	O	O	O	O
reductions	reductions	O	O	O	O
in	in	O	O	O	O
left-ventricular	left-ventricular	O	O	O	O
ejection	ejection	O	O	O	O
fraction	fraction	O	O	O	O
,	,	O	O	O	O
assessed	assessed	O	O	O	O
by	by	O	O	O	O
serial	serial	O	O	O	O
multigated	multigated	O	O	O	O
radionuclide	radionuclide	O	O	O	O
angiography	angiography	O	O	O	O
scans	scans	O	O	O	O
,	,	O	O	O	O
or	or	O	O	O	O
congestive	congestive	O	DISEASE	OTHERS	I
heart	heart	O	DISEASE	OTHERS	I
failure	failure	O	DISEASE	OTHERS	I
(	(	O	O	O	O
CHF	chf	O	DISEASE	OTHERS	I
)	)	O	O	O	O
.	.	O	O	O	O

Antitumor	antitumor	O	O	O	O
efficacy	efficacy	O	O	O	O
was	was	O	O	O	O
assessed	assessed	O	O	O	O
by	by	O	O	O	O
objective	objective	O	O	O	O
tumor	tumor	O	DISEASE	OTHERS	I
response	response	O	O	O	O
rates	rates	O	O	O	O
(	(	O	O	O	O
World	world	O	O	O	O
Health	health	O	O	O	O
Organization	organization	O	O	O	O
criteria	criteria	O	O	O	O
)	)	O	O	O	O
,	,	O	O	O	O
time	time	O	O	O	O
to	to	O	O	O	O
progression	progression	O	O	O	O
,	,	O	O	O	O
and	and	O	O	O	O
