Effects	effects	O	O	O	O
of	of	O	O	O	O
verapamil	verapamil	CHEMICALS	O	OTHERS	I
on	on	O	O	O	O
atrial	atrial	O	DISEASE	OTHERS	I
fibrillation	fibrillation	O	DISEASE	OTHERS	I
and	and	O	O	O	O
its	its	O	O	O	O
electrophysiological	electrophysiological	O	O	O	O
determinants	determinants	O	O	O	O
in	in	O	O	O	O
dogs	dogs	O	O	O	O
.	.	O	O	O	O

BACKGROUND	background	O	O	O	O
:	:	O	O	O	O
Atrial	atrial	O	O	O	O
tachycardia-induced	tachycardia-induced	O	O	O	O
remodeling	remodeling	O	O	O	O
promotes	promotes	O	O	O	O
the	the	O	O	O	O
occurrence	occurrence	O	O	O	O
and	and	O	O	O	O
maintenance	maintenance	O	O	O	O
of	of	O	O	O	O
atrial	atrial	O	DISEASE	OTHERS	I
fibrillation	fibrillation	O	DISEASE	OTHERS	I
(	(	O	O	O	O
AF	af	O	O	OTHERS	I
)	)	O	O	O	O
and	and	O	O	O	O
decreases	decreases	O	O	O	O
L-type	l-type	O	O	O	O
Ca(2	ca(2	O	O	O	O
+	+	O	O	O	O
)	)	O	O	O	O
current	current	O	O	O	O
.	.	O	O	O	O

There	there	O	O	O	O
is	is	O	O	O	O
also	also	O	O	O	O
a	a	O	O	O	O
clinical	clinical	O	O	O	O
suggestion	suggestion	O	O	O	O
that	that	O	O	O	O
acute	acute	O	O	O	O
L-type	l-type	O	O	O	O
Ca(2	ca(2	O	O	O	O
)	)	O	O	O	O
channel	channel	O	O	O	O
blockade	blockade	O	O	O	O
can	can	O	O	O	O
promote	promote	O	O	O	O
AF	af	O	O	OTHERS	I
,	,	O	O	O	O
consistent	consistent	O	O	O	O
with	with	O	O	O	O
an	an	O	O	O	O
AF	af	O	O	OTHERS	I
promoting	promoting	O	O	O	O
effect	effect	O	O	O	O
of	of	O	O	O	O
Ca(2	ca(2	O	O	O	O
+	+	O	O	O	O
)	)	O	O	O	O
channel	channel	O	O	O	O
inhibition	inhibition	O	O	O	O
.	.	O	O	O	O

METHODS	methods	O	O	O	O
:	:	O	O	O	O
To	to	O	O	O	O
evaluate	evaluate	O	O	O	O
the	the	O	O	O	O
potential	potential	O	O	O	O
mechanisms	mechanisms	O	O	O	O
of	of	O	O	O	O
AF	af	O	O	OTHERS	I
promotion	promotion	O	O	O	O
by	by	O	O	O	O
Ca(2	ca(2	O	O	O	O
+	+	O	O	O	O
)	)	O	O	O	O
channel	channel	O	O	O	O
blockers	blockers	O	O	O	O
,	,	O	O	O	O
we	we	O	O	O	O
administered	administered	O	O	O	O
verapamil	verapamil	CHEMICALS	O	OTHERS	I
to	to	O	O	O	O
morphine-chloralose	morphine-chloralose	O	O	O	O
anesthetized	anesthetized	O	O	O	O
dogs	dogs	O	O	O	O
.	.	O	O	O	O

Diltiazem	diltiazem	CHEMICALS	O	OTHERS	I
was	was	O	O	O	O
used	used	O	O	O	O
as	as	O	O	O	O
a	a	O	O	O	O
comparison	comparison	O	O	O	O
drug	drug	O	O	O	O
and	and	O	O	O	O
autonomic	autonomic	O	O	O	O
blockade	blockade	O	O	O	O
with	with	O	O	O	O
atropine	atropine	CHEMICALS	O	OTHERS	I
and	and	O	O	O	O
nadolol	nadolol	O	O	OTHERS	I
was	was	O	O	O	O
applied	applied	O	O	O	O
in	in	O	O	O	O
some	some	O	O	O	O
experiments	experiments	O	O	O	O
.	.	O	O	O	O

Epicardial	epicardial	O	O	O	O
mapping	mapping	O	O	O	O
with	with	O	O	O	O
240	240	O	O	O	O
epicardial	epicardial	O	O	O	O
electrodes	electrodes	O	O	O	O
was	was	O	O	O	O
used	used	O	O	O	O
to	to	O	O	O	O
evaluate	evaluate	O	O	O	O
activation	activation	O	O	O	O
during	during	O	O	O	O
AF	af	O	O	OTHERS	I
.	.	O	O	O	O

RESULTS	results	O	O	O	O
:	:	O	O	O	O
Verapamil	verapamil	CHEMICALS	O	OTHERS	I
caused	caused	O	O	O	O
AF	af	O	O	OTHERS	I
promotion	promotion	O	O	O	O
in	in	O	O	O	O
six	six	O	O	O	O
dogs	dogs	O	O	O	O
,	,	O	O	O	O
increasing	increasing	O	O	O	O
mean	mean	O	O	O	O
duration	duration	O	O	O	O
of	of	O	O	O	O
AF	af	O	O	OTHERS	I
induced	induced	O	O	O	O
by	by	O	O	O	O
burst	burst	O	O	O	O
pacing	pacing	O	O	O	O
,	,	O	O	O	O
from	from	O	O	O	O
8+/-4	8+/-4	O	O	O	O
s	s	O	O	O	O
(	(	O	O	O	O
mean+/-S.E.	mean+/-s.e.	O	O	O	O
)	)	O	O	O	O
to	to	O	O	O	O
95+/-39	95+/-39	O	O	O	O
s	s	O	O	O	O
(	(	O	O	O	O
P<0.01	p<0.01	O	O	O	O
vs.	vs.	O	O	O	O
control	control	O	O	O	O
)	)	O	O	O	O
at	at	O	O	O	O
a	a	O	O	O	O
loading	loading	O	O	O	O
dose	dose	O	O	O	O
of	of	O	O	O	O
0.1	0.1	O	O	O	O
mg/kg	mg/kg	O	O	O	O
and	and	O	O	O	O
