Antagonism	antagonism	O	O	O	O
between	between	O	O	O	O
interleukin	interleukin	O	O	O	O
3	3	O	O	O	O
and	and	O	O	O	O
erythropoietin	erythropoietin	O	O	O	O
in	in	O	O	O	O
mice	mice	O	O	O	O
with	with	O	O	O	O
azidothymidine-induced	azidothymidine-induced	O	O	O	O
anemia	anemia	O	DISEASE	OTHERS	I
and	and	O	O	O	O
in	in	O	O	O	O
bone	bone	O	O	O	O
marrow	marrow	O	O	O	O
endothelial	endothelial	O	O	O	O
cells	cells	O	O	O	O
.	.	O	O	O	O

Azidothymidine	azidothymidine	CHEMICALS	O	OTHERS	I
(AZT)-induced	(azt)-induced	O	O	O	O
anemia	anemia	O	DISEASE	OTHERS	I
in	in	O	O	O	O
mice	mice	O	O	O	O
can	can	O	O	O	O
be	be	O	O	O	O
reversed	reversed	O	O	O	O
by	by	O	O	O	O
the	the	O	O	O	O
administration	administration	O	O	O	O
of	of	O	O	O	O
IGF-IL-3	igf-il-3	O	O	O	O
(	(	O	O	O	O
fusion	fusion	O	O	O	O
protein	protein	O	O	O	O
of	of	O	O	O	O
insulin-like	insulin-like	O	O	O	O
growth	growth	O	O	O	O
factor	factor	O	O	O	O
II	ii	O	O	O	O
(	(	O	O	O	O
IGF	igf	O	O	O	O
II	ii	O	O	O	O
)	)	O	O	O	O
and	and	O	O	O	O
interleukin	interleukin	O	O	O	O
3	3	O	O	O	O
)	)	O	O	O	O
.	.	O	O	O	O

Although	although	O	O	O	O
interleukin	interleukin	O	O	O	O
3	3	O	O	O	O
(	(	O	O	O	O
IL-3	il-3	O	O	O	O
)	)	O	O	O	O
and	and	O	O	O	O
erythropoietin	erythropoietin	O	O	O	O
(	(	O	O	O	O
EPO	epo	O	O	O	O
)	)	O	O	O	O
are	are	O	O	O	O
known	known	O	O	O	O
to	to	O	O	O	O
act	act	O	O	O	O
synergistically	synergistically	O	O	O	O
on	on	O	O	O	O
hematopoietic	hematopoietic	O	O	O	O
cell	cell	O	O	O	O
proliferation	proliferation	O	O	O	O
in	in	O	O	O	O
vitro	vitro	O	O	O	O
,	,	O	O	O	O
injection	injection	O	O	O	O
of	of	O	O	O	O
IGF-IL-3	igf-il-3	O	O	O	O
and	and	O	O	O	O
EPO	epo	O	O	O	O
in	in	O	O	O	O
AZT-treated	azt-treated	O	O	O	O
mice	mice	O	O	O	O
resulted	resulted	O	O	O	O
in	in	O	O	O	O
a	a	O	O	O	O
reduction	reduction	O	O	O	O
of	of	O	O	O	O
red	red	O	O	O	O
cells	cells	O	O	O	O
and	and	O	O	O	O
an	an	O	O	O	O
increase	increase	O	O	O	O
of	of	O	O	O	O
plasma	plasma	O	O	O	O
EPO	epo	O	O	O	O
levels	levels	O	O	O	O
as	as	O	O	O	O
compared	compared	O	O	O	O
to	to	O	O	O	O
animals	animals	O	O	O	O
treated	treated	O	O	O	O
with	with	O	O	O	O
IGF-IL-3	igf-il-3	O	O	O	O
or	or	O	O	O	O
EPO	epo	O	O	O	O
alone	alone	O	O	O	O
.	.	O	O	O	O

We	we	O	O	O	O
tested	tested	O	O	O	O
the	the	O	O	O	O
hypothesis	hypothesis	O	O	O	O
that	that	O	O	O	O
the	the	O	O	O	O
antagonistic	antagonistic	O	O	O	O
effect	effect	O	O	O	O
of	of	O	O	O	O
IL-3	il-3	O	O	O	O
and	and	O	O	O	O
EPO	epo	O	O	O	O
on	on	O	O	O	O
erythroid	erythroid	O	O	O	O
cells	cells	O	O	O	O
may	may	O	O	O	O
be	be	O	O	O	O
mediated	mediated	O	O	O	O
by	by	O	O	O	O
endothelial	endothelial	O	O	O	O
cells	cells	O	O	O	O
.	.	O	O	O	O

Bovine	bovine	O	O	O	O
liver	liver	O	O	O	O
erythroid	erythroid	O	O	O	O
cells	cells	O	O	O	O
were	were	O	O	O	O
cultured	cultured	O	O	O	O
on	on	O	O	O	O
monolayers	monolayers	O	O	O	O
of	of	O	O	O	O
human	human	O	O	O	O
bone	bone	O	O	O	O
marrow	marrow	O	O	O	O
endothelial	endothelial	O	O	O	O
cells	cells	O	O	O	O
previously	previously	O	O	O	O
treated	treated	O	O	O	O
with	with	O	O	O	O
EPO	epo	O	O	O	O
and	and	O	O	O	O
IGF-IL-3	igf-il-3	O	O	O	O
.	.	O	O	O	O

There	there	O	O	O	O
was	was	O	O	O	O
a	a	O	O	O	O
significant	significant	O	O	O	O
