Can	can	O	O	O	O
lidocaine	lidocaine	CHEMICALS	O	OTHERS	I
reduce	reduce	O	O	O	O
succinylcholine	succinylcholine	CHEMICALS	O	OTHERS	I
induced	induced	O	O	O	O
postoperative	postoperative	O	O	O	O
myalgia?This	myalgia?this	O	O	O	O
study	study	O	O	O	O
was	was	O	O	O	O
undertaken	undertaken	O	O	O	O
to	to	O	O	O	O
determine	determine	O	O	O	O
the	the	O	O	O	O
effect	effect	O	O	O	O
of	of	O	O	O	O
lidocaine	lidocaine	CHEMICALS	O	OTHERS	I
pretreatment	pretreatment	O	O	O	O
on	on	O	O	O	O
reduction	reduction	O	O	O	O
of	of	O	O	O	O
succinylcholine-induced	succinylcholine-induced	O	O	O	O
myalgia	myalgia	O	DISEASE	OTHERS	I
in	in	O	O	O	O
patients	patients	O	O	O	O
undergoing	undergoing	O	O	O	O
general	general	O	O	O	O
anesthesia	anesthesia	O	O	O	O
for	for	O	O	O	O
gynecological	gynecological	O	O	O	O
surgery	surgery	O	O	O	O
.	.	O	O	O	O

One	one	O	O	O	O
hundred	hundred	O	O	O	O
and	and	O	O	O	O
thirty-five	thirty-five	O	O	O	O
patients	patients	O	O	O	O
were	were	O	O	O	O
assigned	assigned	O	O	O	O
to	to	O	O	O	O
one	one	O	O	O	O
of	of	O	O	O	O
three	three	O	O	O	O
groups	groups	O	O	O	O
in	in	O	O	O	O
a	a	O	O	O	O
prospective	prospective	O	O	O	O
,	,	O	O	O	O
double	double	O	O	O	O
blind	blind	O	O	OTHERS	I
,	,	O	O	O	O
randomized	randomized	O	O	O	O
manner	manner	O	O	O	O
.	.	O	O	O	O

Group	group	O	O	O	O
PS	ps	O	O	OTHERS	I
,	,	O	O	O	O
the	the	O	O	O	O
control	control	O	O	O	O
group	group	O	O	O	O
,	,	O	O	O	O
received	received	O	O	O	O
normal	normal	O	O	O	O
saline	saline	O	O	O	O
and	and	O	O	O	O
succinylcholine	succinylcholine	CHEMICALS	O	OTHERS	I
1.5	1.5	O	O	O	O
mg	mg	O	O	OTHERS	I
x	x	O	O	O	O
