Kidney	kidney	O	O	O	O
function	function	O	O	O	O
and	and	O	O	O	O
morphology	morphology	O	O	O	O
after	after	O	O	O	O
short-term	short-term	O	O	O	O
combination	combination	O	O	O	O
therapy	therapy	O	O	O	O
with	with	O	O	O	O
cyclosporine	cyclosporine	CHEMICALS	O	OTHERS	I
A	a	O	O	OTHERS	I
,	,	O	O	O	O
tacrolimus	tacrolimus	CHEMICALS	O	OTHERS	I
and	and	O	O	O	O
sirolimus	sirolimus	CHEMICALS	O	OTHERS	I
in	in	O	O	O	O
the	the	O	O	O	O
rat	rat	O	O	O	O
.	.	O	O	O	O

BACKGROUND	background	O	O	O	O
:	:	O	O	O	O
Sirolimus	sirolimus	CHEMICALS	O	OTHERS	I
(	(	O	O	O	O
SRL	srl	CHEMICALS	O	OTHERS	I
)	)	O	O	O	O
may	may	O	O	O	O
supplement	supplement	O	O	O	O
calcineurin	calcineurin	CHEMICALS	O	OTHERS	I
inhibitors	inhibitors	CHEMICALS	O	OTHERS	I
in	in	O	O	O	O
clinical	clinical	O	O	O	O
organ	organ	O	O	O	O
transplantation	transplantation	O	O	O	O
.	.	O	O	O	O

These	these	O	O	O	O
are	are	O	O	O	O
nephrotoxic	nephrotoxic	O	DISEASE	OTHERS	I
,	,	O	O	O	O
but	but	O	O	O	O
SRL	srl	CHEMICALS	O	OTHERS	I
seems	seems	O	O	O	O
to	to	O	O	O	O
act	act	O	O	O	O
differently	differently	O	O	O	O
displaying	displaying	O	O	O	O
only	only	O	O	O	O
minor	minor	O	O	O	O
nephrotoxic	nephrotoxic	O	DISEASE	OTHERS	I
effects	effects	O	O	O	O
,	,	O	O	O	O
although	although	O	O	O	O
this	this	O	O	O	O
question	question	O	O	O	O
is	is	O	O	O	O
still	still	O	O	O	O
open	open	O	O	O	O
.	.	O	O	O	O

In	in	O	O	O	O
a	a	O	O	O	O
number	number	O	O	O	O
of	of	O	O	O	O
treatment	treatment	O	O	O	O
protocols	protocols	O	O	O	O
where	where	O	O	O	O
SRL	srl	CHEMICALS	O	OTHERS	I
was	was	O	O	O	O
combined	combined	O	O	O	O
with	with	O	O	O	O
a	a	O	O	O	O
calcineurin	calcineurin	O	O	O	O
inhibitor	inhibitor	O	O	O	O
indications	indications	O	O	O	O
of	of	O	O	O	O
a	a	O	O	O	O
synergistic	synergistic	O	O	O	O
nephrotoxic	nephrotoxic	O	DISEASE	OTHERS	I
effect	effect	O	O	O	O
were	were	O	O	O	O
described	described	O	O	O	O
.	.	O	O	O	O

The	the	O	O	O	O
aim	aim	O	O	O	O
of	of	O	O	O	O
this	this	O	O	O	O
study	study	O	O	O	O
was	was	O	O	O	O
to	to	O	O	O	O
examine	examine	O	O	O	O
further	further	O	O	O	O
the	the	O	O	O	O
renal	renal	O	O	O	O
function	function	O	O	O	O
,	,	O	O	O	O
including	including	O	O	O	O
morphological	morphological	O	O	O	O
analysis	analysis	O	O	O	O
of	of	O	O	O	O
the	the	O	O	O	O
kidneys	kidneys	O	O	O	O
of	of	O	O	O	O
male	male	O	O	O	O
Sprague-Dawley	sprague-dawley	O	O	O	O
rats	rats	O	O	O	O
treated	treated	O	O	O	O
with	with	O	O	O	O
either	either	O	O	O	O
cyclosporine	cyclosporine	CHEMICALS	O	OTHERS	I
A	a	O	O	OTHERS	I
(	(	O	O	O	O
CsA	csa	CHEMICALS	O	OTHERS	I
)	)	O	O	O	O
,	,	O	O	O	O
tacrolimus	tacrolimus	CHEMICALS	O	OTHERS	I
(	(	O	O	O	O
FK506	fk506	CHEMICALS	O	OTHERS	I
)	)	O	O	O	O
or	or	O	O	O	O
SRL	srl	CHEMICALS	O	OTHERS	I
as	as	O	O	O	O
monotherapies	monotherapies	O	O	O	O
or	or	O	O	O	O
in	in	O	O	O	O
different	different	O	O	O	O
combinations	combinations	O	O	O	O
.	.	O	O	O	O

METHODS	methods	O	O	O	O
:	:	O	O	O	O
For	for	O	O	O	O
a	a	O	O	O	O
period	period	O	O	O	O
of	of	O	O	O	O
2	2	O	O	O	O
weeks	weeks	O	O	O	O
,	,	O	O	O	O
CsA	csa	CHEMICALS	O	OTHERS	I
15	15	O	O	O	O
mg/kg/day	mg/kg/day	O	O	O	O
(	(	O	O	O	O
given	given	O	O	O	O
orally	orally	O	O	O	O
)	)	O	O	O	O
,	,	O	O	O	O
FK506	fk506	CHEMICALS	O	OTHERS	I
3.0	3.0	O	O	O	O
mg/kg/day	mg/kg/day	O	O	O	O
(	(	O	O	O	O
given	given	O	O	O	O
orally	orally	O	O	O	O
)	)	O	O	O	O
or	or	O	O	O	O
SRL	srl	CHEMICALS	O	OTHERS	I
0.4	0.4	O	O	O	O
mg/kg/day	mg/kg/day	O	O	O	O
(	(	O	O	O	O
given	given	O	O	O	O
intraperitoneally	intraperitoneally	O	O	O	O
)	)	O	O	O	O
was	was	O	O	O	O
administered	administered	O	O	O	O
once	once	O	O	O	O
a	a	O	O	O	O
day	day	O	O	O	O
as	as	O	O	O	O
these	these	O	O	O	O
doses	doses	O	O	O	O
have	have	O	O	O	O
earlier	earlier	O	O	O	O
been	been	O	O	O	O
found	found	O	O	O	O
to	to	O	O	O	O
achieve	achieve	O	O	O	O
a	a	O	O	O	O
significant	significant	O	O	O	O
immunosuppressive	immunosuppressive	O	O	O	O
effect	effect	O	O	O	O
in	in	O	O	O	O
Sprague-Dawley	sprague-dawley	O	O	O	O
rats	rats	O	O	O	O
.	.	O	O	O	O

In	in	O	O	O	O
the	the	O	O	O	O
'	'	O	O	O	O
conscious	conscious	O	O	O	O
catheterized	catheterized	O	O	O	O
rat	rat	O	O	O	O
'	'	O	O	O	O
model	model	O	O	O	O
,	,	O	O	O	O
the	the	O	O	O	O
glomerular	glomerular	O	O	O	O
filtration	filtration	O	O	O	O
rate	rate	O	O	O	O
(	(	O	O	O	O
GFR	gfr	O	O	O	O
)	)	O	O	O	O
was	was	O	O	O	O
measured	measured	O	O	O	O
as	as	O	O	O	O
the	the	O	O	O	O
clearance	clearance	O	O	O	O
of	of	O	O	O	O
Cr(EDTA	cr(edta	O	O	O	O
)	)	O	O	O	O
.	.	O	O	O	O

The	the	O	O	O	O
morphological	morphological	O	O	O	O
analysis	analysis	O	O	O	O
of	of	O	O	O	O
the	the	O	O	O	O
kidneys	kidneys	O	O	O	O
included	included	O	O	O	O
a	a	O	O	O	O
semi-quantitative	semi-quantitative	O	O	O	O
scoring	scoring	O	O	O	O
system	system	O	O	O	O
analysing	analysing	O	O	O	O
the	the	O	O	O	O
degree	degree	O	O	O	O
of	of	O	O	O	O
striped	striped	O	O	O	O
fibrosis	fibrosis	O	DISEASE	OTHERS	I
,	,	O	O	O	O
subcapsular	subcapsular	O	O	O	O
fibrosis	fibrosis	O	DISEASE	OTHERS	I
and	and	O	O	O	O
the	the	O	O	O	O
number	number	O	O	O	O
of	of	O	O	O	O
basophilic	basophilic	O	O	O	O
tubules	tubules	O	O	O	O
,	,	O	O	O	O
plus	plus	O	O	O	O
an	an	O	O	O	O
additional	additional	O	O	O	O
stereological	stereological	O	O	O	O
analysis	analysis	O	O	O	O
of	of	O	O	O	O
the	the	O	O	O	O
total	total	O	O	O	O
grade	grade	O	O	O	O
of	of	O	O	O	O
fibrosis	fibrosis	O	DISEASE	OTHERS	I
in	in	O	O	O	O
the	the	O	O	O	O
cortex	cortex	O	O	O	O
stained	stained	O	O	O	O
with	with	O	O	O	O
Sirius	sirius	O	O	O	O
Red	red	O	O	O	O
.	.	O	O	O	O

RESULTS	results	O	O	O	O
:	:	O	O	O	O
CsA	csa	CHEMICALS	O	OTHERS	I
,	,	O	O	O	O
