Protection	protection	O	O	O	O
against	against	O	O	O	O
amphetamine-induced	amphetamine-induced	O	O	O	O
neurotoxicity	neurotoxicity	O	DISEASE	OTHERS	I
toward	toward	O	O	O	O
striatal	striatal	O	O	O	O
dopamine	dopamine	CHEMICALS	O	OTHERS	I
neurons	neurons	O	O	O	O
in	in	O	O	O	O
rodents	rodents	O	O	O	O
by	by	O	O	O	O
LY274614	ly274614	CHEMICALS	O	OTHERS	I
,	,	O	O	O	O
an	an	O	O	O	O
excitatory	excitatory	O	O	O	O
amino	amino	CHEMICALS	O	OTHERS	I
acid	acid	CHEMICALS	O	OTHERS	I
antagonist	antagonist	O	O	O	O
.	.	O	O	O	O

LY274614	ly274614	CHEMICALS	O	OTHERS	I
,	,	O	O	O	O
3SR,4aRS,6SR,8aRS-6-[phosphonomethyl]decahydr	3sr,4ars,6sr,8ars-6-[phosphonomethyl]decahydr	CHEMICALS	O	OTHERS	I
oisoquinoline-3-	oisoquinoline-3-	CHEMICALS	O	OTHERS	I
carboxylic	carboxylic	CHEMICALS	O	OTHERS	I
acid	acid	CHEMICALS	O	OTHERS	I
,	,	O	O	O	O
has	has	O	O	O	O
been	been	O	O	O	O
described	described	O	O	O	O
as	as	O	O	O	O
a	a	O	O	O	O
potent	potent	O	O	O	O
antagonist	antagonist	O	O	O	O
of	of	O	O	O	O
the	the	O	O	O	O
N-methyl-D-aspartate	n-methyl-d-aspartate	O	O	O	O
(	(	O	O	O	O
NMDA	nmda	CHEMICALS	O	OTHERS	I
)	)	O	O	O	O
subtype	subtype	O	O	O	O
of	of	O	O	O	O
glutamate	glutamate	CHEMICALS	O	OTHERS	I
receptor	receptor	O	O	O	O
.	.	O	O	O	O

Here	here	O	O	O	O
its	its	O	O	O	O
ability	ability	O	O	O	O
to	to	O	O	O	O
antagonize	antagonize	O	O	O	O
the	the	O	O	O	O
prolonged	prolonged	O	O	O	O
depletion	depletion	O	O	O	O
of	of	O	O	O	O
dopamine	dopamine	CHEMICALS	O	OTHERS	I
in	in	O	O	O	O
the	the	O	O	O	O
striatum	striatum	O	O	O	O
by	by	O	O	O	O
amphetamine	amphetamine	CHEMICALS	O	OTHERS	I
in	in	O	O	O	O
iprindole-treated	iprindole-treated	O	O	O	O
rats	rats	O	O	O	O
is	is	O	O	O	O
reported	reported	O	O	O	O
.	.	O	O	O	O

A	a	O	O	O	O
single	single	O	O	O	O
18.4	18.4	O	O	O	O
mg/kg	mg/kg	O	O	O	O
(	(	O	O	O	O
i.p	i.p	O	O	O	O
.	.	O	O	O	O
)	)	O	O	O	O
dose	dose	O	O	O	O
of	of	O	O	O	O
(+/-)-amphetamine	(+/-)-amphetamine	O	O	O	O
hemisulfate	hemisulfate	O	O	O	O
,	,	O	O	O	O
given	given	O	O	O	O
to	to	O	O	O	O
rats	rats	O	O	O	O
pretreated	pretreated	O	O	O	O
with	with	O	O	O	O
iprindole	iprindole	O	O	OTHERS	I
,	,	O	O	O	O
resulted	resulted	O	O	O	O
in	in	O	O	O	O
persistent	persistent	O	O	O	O
depletion	depletion	O	O	O	O
of	of	O	O	O	O
dopamine	dopamine	CHEMICALS	O	OTHERS	I
in	in	O	O	O	O
the	the	O	O	O	O
striatum	striatum	O	O	O	O
1	1	O	O	O	O
week	week	O	O	O	O
later	later	O	O	O	O
.	.	O	O	O	O

This	this	O	O	O	O
prolonged	prolonged	O	O	O	O
depletion	depletion	O	O	O	O
of	of	O	O	O	O
dopamine	dopamine	CHEMICALS	O	OTHERS	I
in	in	O	O	O	O
the	the	O	O	O	O
striatum	striatum	O	O	O	O
was	was	O	O	O	O
antagonized	antagonized	O	O	O	O
by	by	O	O	O	O
dizocilpine	dizocilpine	CHEMICALS	O	OTHERS	I
(	(	O	O	O	O
