NO-induced	no-induced	O	O	O	O
migraine	migraine	O	DISEASE	OTHERS	I
attack	attack	O	O	O	O
:	:	O	O	O	O
strong	strong	O	O	O	O
increase	increase	O	O	O	O
in	in	O	O	O	O
plasma	plasma	O	O	O	O
calcitonin	calcitonin	CHEMICALS	O	OTHERS	I
gene-related	gene-related	O	O	O	O
peptide	peptide	O	O	O	O
(	(	O	O	O	O
CGRP	cgrp	CHEMICALS	O	OTHERS	I
)	)	O	O	O	O
concentration	concentration	O	O	O	O
and	and	O	O	O	O
negative	negative	O	O	O	O
correlation	correlation	O	O	O	O
with	with	O	O	O	O
platelet	platelet	O	O	O	O
serotonin	serotonin	CHEMICALS	O	OTHERS	I
release	release	O	O	O	O
.	.	O	O	O	O

The	the	O	O	O	O
aim	aim	O	O	O	O
of	of	O	O	O	O
the	the	O	O	O	O
present	present	O	O	O	O
study	study	O	O	O	O
was	was	O	O	O	O
to	to	O	O	O	O
investigate	investigate	O	O	O	O
changes	changes	O	O	O	O
in	in	O	O	O	O
the	the	O	O	O	O
plasma	plasma	O	O	O	O
calcitonin	calcitonin	CHEMICALS	O	OTHERS	I
gene-related	gene-related	O	O	O	O
peptide	peptide	O	O	O	O
(	(	O	O	O	O
CGRP	cgrp	CHEMICALS	O	OTHERS	I
)	)	O	O	O	O
concentration	concentration	O	O	O	O
and	and	O	O	O	O
platelet	platelet	O	O	O	O
serotonin	serotonin	CHEMICALS	O	OTHERS	I
(	(	O	O	O	O
5-hydroxytriptamine	5-hydroxytriptamine	CHEMICALS	O	OTHERS	I
,	,	O	O	O	O
5-HT	5-ht	CHEMICALS	O	OTHERS	I
)	)	O	O	O	O
content	content	O	O	O	O
during	during	O	O	O	O
the	the	O	O	O	O
immediate	immediate	O	O	O	O
headache	headache	O	DISEASE	OTHERS	I
and	and	O	O	O	O
the	the	O	O	O	O
delayed	delayed	O	O	O	O
genuine	genuine	O	O	O	O
migraine	migraine	O	DISEASE	OTHERS	I
attack	attack	O	O	O	O
provoked	provoked	O	O	O	O
by	by	O	O	O	O
nitroglycerin	nitroglycerin	CHEMICALS	O	OTHERS	I
.	.	O	O	O	O

Fifteen	fifteen	O	O	O	O
female	female	O	O	O	O
migraineurs	migraineurs	O	O	OTHERS	I
(	(	O	O	OTHERS	I
without	without	O	O	OTHERS	I
aura	aura	O	O	OTHERS	I
)	)	O	O	OTHERS	I
and	and	O	O	O	O
eight	eight	O	O	O	O
controls	controls	O	O	O	O
participated	participated	O	O	O	O
in	in	O	O	O	O
the	the	O	O	O	O
study	study	O	O	O	O
.	.	O	O	O	O

Sublingual	sublingual	O	O	O	O
nitroglycerin	nitroglycerin	CHEMICALS	O	OTHERS	I
(	(	O	O	O	O
0.5	0.5	O	O	O	O
mg	mg	O	O	OTHERS	I
)	)	O	O	O	O
was	was	O	O	O	O
administered	administered	O	O	O	O
.	.	O	O	O	O

Blood	blood	O	O	O	O
was	was	O	O	O	O
collected	collected	O	O	O	O
from	from	O	O	O	O
the	the	O	O	O	O
antecubital	antecubital	O	O	O	O
vein	vein	O	O	O	O
four	four	O	O	O	O
times	times	O	O	O	O
:	:	O	O	O	O
60	60	O	O	O	O
min	min	O	O	O	O
before	before	O	O	O	O
and	and	O	O	O	O
after	after	O	O	O	O
the	the	O	O	O	O
nitroglycerin	nitroglycerin	CHEMICALS	O	OTHERS	I
application	application	O	O	O	O
,	,	O	O	O	O
and	and	O	O	O	O
60	60	O	O	O	O
and	and	O	O	O	O
120	120	O	O	O	O
min	min	O	O	O	O
after	after	O	O	O	O
the	the	O	O	O	O
beginning	beginning	O	O	O	O
of	of	O	O	O	O
the	the	O	O	O	O
migraine	migraine	O	DISEASE	OTHERS	I
attack	attack	O	O	O	O
(	(	O	O	O	O
mean	mean	O	O	O	O
344	344	O	O	O	O
and	and	O	O	O	O
404	404	O	O	O	O
min	min	O	O	O	O
;	;	O	O	O	O
12	12	O	O	O	O
subjects	subjects	O	O	O	O
)	)	O	O	O	O
.	.	O	O	O	O

In	in	O	O	O	O
those	those	O	O	O	O
subjects	subjects	O	O	O	O
who	who	O	O	O	O
had	had	O	O	O	O
no	no	O	O	O	O
migraine	migraine	O	DISEASE	OTHERS	I
attack	attack	O	O	O	O
(	(	O	O	O	O
11	11	O	O	O	O
subjects	subjects	O	O	O	O
)	)	O	O	O	O
a	a	O	O	O	O
similar	similar	O	O	O	O
time	time	O	O	O	O
schedule	schedule	O	O	O	O
was	was	O	O	O	O
used	used	O	O	O	O
.	.	O	O	O	O

Plasma	plasma	O	O	O	O
CGRP	cgrp	CHEMICALS	O	OTHERS	I
concentration	concentration	O	O	O	O
increased	increased	O	O	O	O
significantly	significantly	O	O	O	O
(	(	O	O	O	O
P<0.01	p<0.01	O	O	O	O
)	)	O	O	O	O
during	during	O	O	O	O
the	the	O	O	O	O
migraine	migraine	O	DISEASE	OTHERS	I
attack	attack	O	O	O	O
and	and	O	O	O	O
returned	returned	O	O	O	O
to	to	O	O	O	O
baseline	baseline	O	O	O	O
after	after	O	O	O	O
the	the	O	O	O	O
cessation	cessation	O	O	O	O
of	of	O	O	O	O
the	the	O	O	O	O
migraine	migraine	O	DISEASE	OTHERS	I
.	.	O	O	O	O

In	in	O	O	O	O
addition	addition	O	O	O	O
,	,	O	O	O	O
both	both	O	O	O	O
change	change	O	O	O	O
and	and	O	O	O	O
peak	peak	O	O	O	O
,	,	O	O	O	O
showed	showed	O	O	O	O
significant	significant	O	O	O	O
positive	positive	O	O	O	O
correlations	correlations	O	O	O	O
with	with	O	O	O	O
migraine	migraine	O	DISEASE	OTHERS	I
headache	headache	O	DISEASE	OTHERS	I
intensity	intensity	O	O	O	O
(	(	O	O	O	O
P<0.001	p<0.001	O	O	O	O
)	)	O	O	O	O
.	.	O	O	O	O

However	however	O	O	O	O
,	,	O	O	O	O
plasma	plasma	O	O	O	O
CGRP	cgrp	CHEMICALS	O	OTHERS	I
concentrations	concentrations	O	O	O	O
failed	failed	O	O	O	O
to	to	O	O	O	O
change	change	O	O	O	O
during	during	O	O	O	O
immediate	immediate	O	O	O	O
headache	headache	O	DISEASE	OTHERS	I
and	and	O	O	O	O
in	in	O	O	O	O
the	the	O	O	O	O
subjects	subjects	O	O	O	O
with	with	O	O	O	O
no	no	O	O	O	O
migraine	migraine	O	DISEASE	OTHERS	I
attack	attack	O	O	O	O
.	.	O	O	O	O

Basal	basal	O	O	O	O
CGRP	cgrp	CHEMICALS	O	OTHERS	I
concentration	concentration	O	O	O	O
was	was	O	O	O	O
significantly	significantly	O	O	O	O
higher	higher	O	O	O	O
and	and	O	O	O	O
platelet	platelet	O	O	O	O
5-HT	5-ht	CHEMICALS	O	OTHERS	I
content	content	O	O	O	O
tended	tended	O	O	O	O
to	to	O	O	O	O
be	be	O	O	O	O
lower	lower	O	O	O	O
in	in	O	O	O	O
subjects	subjects	O	O	O	O
who	who	O	O	O	O
experienced	experienced	O	O	O	O
a	a	O	O	O	O
migraine	migraine	O	DISEASE	OTHERS	I
attack	attack	O	O	O	O
.	.	O	O	O	O

Platelet	platelet	O	O	O	O
serotonin	serotonin	CHEMICALS	O	OTHERS	I
content	content	O	O	O	O
decreased	decreased	O	O	O	O
significantly	significantly	O	O	O	O
(	(	O	O	O	O
P<0.01	p<0.01	O	O	O	O
)	)	O	O	O	O
after	after	O	O	O	O
nitroglycerin	nitroglycerin	CHEMICALS	O	OTHERS	I
in	in	O	O	O	O
subjects	subjects	O	O	O	O
with	with	O	O	O	O
no	no	O	O	O	O
migraine	migraine	O	DISEASE	OTHERS	I
attack	attack	O	O	O	O
but	but	O	O	O	O
no	no	O	O	O	O
consistent	consistent	O	O	O	O
change	change	O	O	O	O
was	was	O	O	O	O
observed	observed	O	O	O	O
in	in	O	O	O	O
patients	patients	O	O	O	O
with	with	O	O	O	O
migraine	migraine	O	DISEASE	OTHERS	I
attack	attack	O	O	O	O
.	.	O	O	O	O

In	in	O	O	O	O
