Does	does	O	O	O	O
supplemental	supplemental	O	O	O	O
vitamin	vitamin	O	O	OTHERS	I
C	c	O	O	OTHERS	I
increase	increase	O	O	O	O
cardiovascular	cardiovascular	O	DISEASE	OTHERS	I
disease	disease	O	DISEASE	OTHERS	I
risk	risk	O	O	O	O
in	in	O	O	O	O
women	women	O	O	O	O
with	with	O	O	O	O
diabetes?BACKGROUND	diabetes?background	O	O	O	O
:	:	O	O	O	O
Vitamin	vitamin	O	O	OTHERS	I
C	c	O	O	OTHERS	I
acts	acts	O	O	O	O
as	as	O	O	O	O
a	a	O	O	O	O
potent	potent	O	O	O	O
antioxidant	antioxidant	O	O	O	O
;	;	O	O	O	O
however	however	O	O	O	O
,	,	O	O	O	O
it	it	O	O	O	O
can	can	O	O	O	O
also	also	O	O	O	O
be	be	O	O	O	O
a	a	O	O	O	O
prooxidant	prooxidant	O	O	O	O
and	and	O	O	O	O
glycate	glycate	O	O	O	O
protein	protein	O	O	O	O
under	under	O	O	O	O
certain	certain	O	O	O	O
circumstances	circumstances	O	O	O	O
in	in	O	O	O	O
vitro	vitro	O	O	O	O
.	.	O	O	O	O

These	these	O	O	O	O
observations	observations	O	O	O	O
led	led	O	O	O	O
us	us	O	O	O	O
to	to	O	O	O	O
hypothesize	hypothesize	O	O	O	O
that	that	O	O	O	O
a	a	O	O	O	O
high	high	O	O	O	O
intake	intake	O	O	O	O
of	of	O	O	O	O
vitamin	vitamin	O	O	OTHERS	I
C	c	O	O	OTHERS	I
in	in	O	O	O	O
diabetic	diabetic	O	DISEASE	OTHERS	I
persons	persons	O	O	O	O
might	might	O	O	O	O
promote	promote	O	O	O	O
atherosclerosis	atherosclerosis	O	DISEASE	OTHERS	I
.	.	O	O	O	O

OBJECTIVE	objective	O	O	O	O
:	:	O	O	O	O
The	the	O	O	O	O
objective	objective	O	O	O	O
was	was	O	O	O	O
to	to	O	O	O	O
examine	examine	O	O	O	O
the	the	O	O	O	O
relation	relation	O	O	O	O
between	between	O	O	O	O
vitamin	vitamin	O	O	OTHERS	I
C	c	O	O	OTHERS	I
intake	intake	O	O	O	O
and	and	O	O	O	O
mortality	mortality	O	O	O	O
from	from	O	O	O	O
cardiovascular	cardiovascular	O	DISEASE	OTHERS	I
disease	disease	O	DISEASE	OTHERS	I
.	.	O	O	O	O

DESIGN	design	O	O	O	O
:	:	O	O	O	O
We	we	O	O	O	O
studied	studied	O	O	O	O
the	the	O	O	O	O
relation	relation	O	O	O	O
between	between	O	O	O	O
vitamin	vitamin	O	O	OTHERS	I
C	c	O	O	OTHERS	I
intake	intake	O	O	O	O
and	and	O	O	O	O
mortality	mortality	O	O	O	O
from	from	O	O	O	O
total	total	O	O	O	O
cardiovascular	cardiovascular	O	DISEASE	OTHERS	I
disease	disease	O	DISEASE	OTHERS	I
(	(	O	O	O	O
n	n	O	O	OTHERS	I
=	=	O	O	O	O
281	281	O	O	O	O
)	)	O	O	O	O
,	,	O	O	O	O
coronary	coronary	O	DISEASE	OTHERS	I
artery	artery	O	DISEASE	OTHERS	I
disease	disease	O	DISEASE	OTHERS	I
(	(	O	O	O	O
n	n	O	O	OTHERS	I
=	=	O	O	O	O
175	175	O	O	O	O
)	)	O	O	O	O
,	,	O	O	O	O
and	and	O	O	O	O
stroke	stroke	O	DISEASE	OTHERS	I
(	(	O	O	O	O
n	n	O	O	OTHERS	I
=	=	O	O	O	O
57	57	O	O	O	O
)	)	O	O	O	O
in	in	O	O	O	O
1923	1923	O	O	O	O
postmenopausal	postmenopausal	O	O	O	O
women	women	O	O	O	O
who	who	O	O	O	O
reported	reported	O	O	O	O
being	being	O	O	O	O
diabetic	diabetic	O	DISEASE	OTHERS	I
at	at	O	O	O	O
baseline	baseline	O	O	O	O
.	.	O	O	O	O

Diet	diet	O	O	O	O
was	was	O	O	O	O
assessed	assessed	O	O	O	O
with	with	O	O	O	O
a	a	O	O	O	O
food-frequency	food-frequency	O	O	O	O
questionnaire	questionnaire	O	O	O	O
at	at	O	O	O	O
baseline	baseline	O	O	O	O
,	,	O	O	O	O
and	and	O	O	O	O
subjects	subjects	O	O	O	O
initially	initially	O	O	O	O
free	free	O	O	O	O
