Pharmacological	pharmacological	O	O	O	O
modulation	modulation	O	O	O	O
of	of	O	O	O	O
pain-related	pain-related	O	O	O	O
brain	brain	O	O	O	O
activity	activity	O	O	O	O
during	during	O	O	O	O
normal	normal	O	O	O	O
and	and	O	O	O	O
central	central	O	O	O	O
sensitization	sensitization	O	O	O	O
states	states	O	O	O	O
in	in	O	O	O	O
humans	humans	O	O	O	O
.	.	O	O	O	O

Abnormal	abnormal	O	O	O	O
processing	processing	O	O	O	O
of	of	O	O	O	O
somatosensory	somatosensory	O	O	O	O
inputs	inputs	O	O	O	O
in	in	O	O	O	O
the	the	O	O	O	O
central	central	O	O	O	O
nervous	nervous	O	O	O	O
system	system	O	O	O	O
(	(	O	O	O	O
central	central	O	O	O	O
sensitization	sensitization	O	O	O	O
)	)	O	O	O	O
is	is	O	O	O	O
the	the	O	O	O	O
mechanism	mechanism	O	O	O	O
accounting	accounting	O	O	O	O
for	for	O	O	O	O
the	the	O	O	O	O
enhanced	enhanced	O	O	O	O
pain	pain	O	DISEASE	OTHERS	I
sensitivity	sensitivity	O	O	O	O
in	in	O	O	O	O
the	the	O	O	O	O
skin	skin	O	O	O	O
surrounding	surrounding	O	O	O	O
tissue	tissue	O	O	OTHERS	I
injury	injury	O	O	OTHERS	I
(	(	O	O	O	O
secondary	secondary	O	DISEASE	OTHERS	I
hyperalgesia	hyperalgesia	O	DISEASE	OTHERS	I
)	)	O	O	O	O
.	.	O	O	O	O

Secondary	secondary	O	DISEASE	OTHERS	I
hyperalgesia	hyperalgesia	O	DISEASE	OTHERS	I
shares	shares	O	O	O	O
clinical	clinical	O	O	O	O
characteristics	characteristics	O	O	O	O
with	with	O	O	O	O
neurogenic	neurogenic	O	O	OTHERS	I
hyperalgesia	hyperalgesia	O	DISEASE	OTHERS	I
in	in	O	O	O	O
patients	patients	O	O	O	O
with	with	O	O	O	O
neuropathic	neuropathic	O	DISEASE	OTHERS	I
pain	pain	O	DISEASE	OTHERS	I
.	.	O	O	O	O

Abnormal	abnormal	O	O	O	O
brain	brain	O	O	O	O
responses	responses	O	O	O	O
to	to	O	O	O	O
somatosensory	somatosensory	O	O	O	O
stimuli	stimuli	O	O	O	O
have	have	O	O	O	O
been	been	O	O	O	O
found	found	O	O	O	O
in	in	O	O	O	O
patients	patients	O	O	O	O
with	with	O	O	O	O
hyperalgesia	hyperalgesia	O	DISEASE	OTHERS	I
as	as	O	O	O	O
well	well	O	O	O	O
as	as	O	O	O	O
in	in	O	O	O	O
normal	normal	O	O	O	O
subjects	subjects	O	O	O	O
during	during	O	O	O	O
experimental	experimental	O	O	O	O
central	central	O	O	O	O
sensitization	sensitization	O	O	O	O
.	.	O	O	O	O

The	the	O	O	O	O
aim	aim	O	O	O	O
of	of	O	O	O	O
this	this	O	O	O	O
study	study	O	O	O	O
was	was	O	O	O	O
to	to	O	O	O	O
assess	assess	O	O	O	O
the	the	O	O	O	O
effects	effects	O	O	O	O
of	of	O	O	O	O
