Anti-oxidant	anti-oxidant	O	O	O	O
effects	effects	O	O	O	O
of	of	O	O	O	O
atorvastatin	atorvastatin	O	O	OTHERS	I
in	in	O	O	O	O
dexamethasone-induced	dexamethasone-induced	O	O	O	O
hypertension	hypertension	O	DISEASE	OTHERS	I
in	in	O	O	O	O
the	the	O	O	O	O
rat.1	rat.1	O	O	O	O
.	.	O	O	O	O

Dexamethasone	dexamethasone	CHEMICALS	O	OTHERS	I
(Dex)-induced	(dex)-induced	O	O	O	O
hypertension	hypertension	O	DISEASE	OTHERS	I
is	is	O	O	O	O
characterized	characterized	O	O	O	O
by	by	O	O	O	O
endothelial	endothelial	O	O	O	O
dysfunction	dysfunction	O	O	O	O
associated	associated	O	O	O	O
with	with	O	O	O	O
nitric	nitric	CHEMICALS	O	OTHERS	I
oxide	oxide	CHEMICALS	O	OTHERS	I
(	(	O	O	O	O
NO	no	O	O	O	O
)	)	O	O	O	O
deficiency	deficiency	O	O	O	O
and	and	O	O	O	O
increased	increased	O	O	O	O
superoxide	superoxide	CHEMICALS	O	OTHERS	I
(	(	O	O	O	O
O2-	o2-	O	O	OTHERS	I
)	)	O	O	O	O
production	production	O	O	O	O
.	.	O	O	O	O

Atorvastatin	atorvastatin	O	O	OTHERS	I
(	(	O	O	O	O
Ato	ato	CHEMICALS	O	OTHERS	I
)	)	O	O	O	O
possesses	possesses	O	O	O	O
pleiotropic	pleiotropic	O	O	O	O
properties	properties	O	O	O	O
that	that	O	O	O	O
have	have	O	O	O	O
been	been	O	O	O	O
reported	reported	O	O	O	O
to	to	O	O	O	O
improve	improve	O	O	O	O
endothelial	endothelial	O	O	O	O
function	function	O	O	O	O
through	through	O	O	O	O
increased	increased	O	O	O	O
availability	availability	O	O	O	O
of	of	O	O	O	O
NO	no	O	O	O	O
and	and	O	O	O	O
reduced	reduced	O	O	O	O
O2-	o2-	O	O	OTHERS	I
production	production	O	O	O	O
in	in	O	O	O	O
various	various	O	O	O	O
forms	forms	O	O	O	O
of	of	O	O	O	O
hypertension	hypertension	O	DISEASE	OTHERS	I
.	.	O	O	O	O

In	in	O	O	O	O
the	the	O	O	O	O
present	present	O	O	O	O
study	study	O	O	O	O
,	,	O	O	O	O
we	we	O	O	O	O
investigated	investigated	O	O	O	O
whether	whether	O	O	O	O
50	50	O	O	O	O
mg/kg	mg/kg	O	O	O	O
per	per	O	O	O	O
day	day	O	O	O	O
,	,	O	O	O	O
p.o	p.o	O	O	O	O
.	.	O	O	O	O
,	,	O	O	O	O
Ato	ato	CHEMICALS	O	OTHERS	I
could	could	O	O	O	O
prevent	prevent	O	O	O	O
endothelial	endothelial	O	O	O	O
NO	no	O	O	O	O
synthase	synthase	O	O	O	O
(	(	O	O	O	O
eNOS	enos	O	O	O	O
)	)	O	O	O	O
downregulation	downregulation	O	O	O	O
and	and	O	O	O	O
the	the	O	O	O	O
increase	increase	O	O	O	O
in	in	O	O	O	O
O2-	o2-	O	O	OTHERS	I
in	in	O	O	O	O
