Delayed	delayed	O	O	O	O
institution	institution	O	O	O	O
of	of	O	O	O	O
hypertension	hypertension	O	DISEASE	OTHERS	I
during	during	O	O	O	O
focal	focal	O	O	O	O
cerebral	cerebral	O	O	OTHERS	I
ischemia	ischemia	O	DISEASE	OTHERS	I
:	:	O	O	O	O
effect	effect	O	O	O	O
on	on	O	O	O	O
brain	brain	O	DISEASE	OTHERS	I
edema	edema	O	DISEASE	OTHERS	I
.	.	O	O	O	O

The	the	O	O	O	O
effect	effect	O	O	O	O
of	of	O	O	O	O
induced	induced	O	O	O	O
hypertension	hypertension	O	DISEASE	OTHERS	I
instituted	instituted	O	O	O	O
after	after	O	O	O	O
a	a	O	O	O	O
2-h	2-h	O	O	O	O
delay	delay	O	O	O	O
following	following	O	O	O	O
middle	middle	O	O	OTHERS	I
cerebral	cerebral	O	O	OTHERS	I
artery	artery	O	O	OTHERS	I
occlusion	occlusion	O	O	OTHERS	I
(	(	O	O	O	O
MCAO	mcao	O	O	OTHERS	I
)	)	O	O	O	O
on	on	O	O	O	O
brain	brain	O	DISEASE	OTHERS	I
edema	edema	O	DISEASE	OTHERS	I
formation	formation	O	O	O	O
and	and	O	O	O	O
histochemical	histochemical	O	O	O	O
injury	injury	O	O	O	O
was	was	O	O	O	O
studied	studied	O	O	O	O
.	.	O	O	O	O

Under	under	O	O	O	O
isoflurane	isoflurane	CHEMICALS	O	OTHERS	I
anesthesia	anesthesia	O	O	O	O
,	,	O	O	O	O
the	the	O	O	O	O
MCA	mca	O	O	O	O
of	of	O	O	O	O
14	14	O	O	O	O
spontaneously	spontaneously	O	O	O	O
hypertensive	hypertensive	O	DISEASE	OTHERS	I
rats	rats	O	O	O	O
was	was	O	O	O	O
occluded	occluded	O	O	O	O
.	.	O	O	O	O

In	in	O	O	O	O
the	the	O	O	O	O
control	control	O	O	O	O
group	group	O	O	O	O
(	(	O	O	O	O
n	n	O	O	OTHERS	I
=	=	O	O	O	O
7	7	O	O	O	O
)	)	O	O	O	O
,	,	O	O	O	O
the	the	O	O	O	O
mean	mean	O	O	O	O
arterial	arterial	O	O	O	O
pressure	pressure	O	O	O	O
(	(	O	O	O	O
MAP	map	O	O	OTHERS	I
)	)	O	O	O	O
was	was	O	O	O	O
not	not	O	O	O	O
manipulated	manipulated	O	O	O	O
.	.	O	O	O	O

In	in	O	O	O	O
the	the	O	O	O	O
hypertensive	hypertensive	O	DISEASE	OTHERS	I
group	group	O	O	O	O
(	(	O	O	O	O
n	n	O	O	OTHERS	I
=	=	O	O	O	O
7	7	O	O	O	O
)	)	O	O	O	O
,	,	O	O	O	O
the	the	O	O	O	O
MAP	map	O	O	OTHERS	I
was	was	O	O	O	O
elevated	elevated	O	O	O	O
by	by	O	O	O	O
25	25	O	O	O	O
-	-	O	O	O	O
30	30	O	O	O	O
mm	mm	O	O	OTHERS	I
Hg	hg	O	O	OTHERS	I
beginning	beginning	O	O	O	O
2	2	O	O	O	O
h	h	CHEMICALS	O	OTHERS	I
after	after	O	O	O	O
MCAO	mcao	O	O	OTHERS	I
.	.	O	O	O	O

Four	four	O	O	O	O
hours	hours	O	O	O	O
after	after	O	O	O	O
MCAO	mcao	O	O	OTHERS	I
,	,	O	O	O	O
the	the	O	O	O	O
