Sex	sex	O	O	O	O
differences	differences	O	O	O	O
in	in	O	O	O	O
NMDA	nmda	CHEMICALS	O	OTHERS	I
antagonist	antagonist	O	O	O	O
enhancement	enhancement	O	O	O	O
of	of	O	O	O	O
morphine	morphine	CHEMICALS	O	OTHERS	I
antihyperalgesia	antihyperalgesia	O	O	O	O
in	in	O	O	O	O
a	a	O	O	O	O
capsaicin	capsaicin	CHEMICALS	O	OTHERS	I
model	model	O	O	O	O
of	of	O	O	O	O
persistent	persistent	O	O	O	O
pain	pain	O	DISEASE	OTHERS	I
:	:	O	O	O	O
comparisons	comparisons	O	O	O	O
to	to	O	O	O	O
two	two	O	O	O	O
models	models	O	O	O	O
of	of	O	O	O	O
acute	acute	O	DISEASE	OTHERS	I
pain	pain	O	DISEASE	OTHERS	I
.	.	O	O	O	O

In	in	O	O	O	O
acute	acute	O	DISEASE	OTHERS	I
pain	pain	O	DISEASE	OTHERS	I
models	models	O	O	O	O
,	,	O	O	O	O
N-methyl-D-aspartate	n-methyl-d-aspartate	O	O	O	O
(	(	O	O	O	O
NMDA	nmda	CHEMICALS	O	OTHERS	I
)	)	O	O	O	O
antagonists	antagonists	O	O	O	O
enhance	enhance	O	O	O	O
the	the	O	O	O	O
antinociceptive	antinociceptive	O	O	O	O
effects	effects	O	O	O	O
of	of	O	O	O	O
morphine	morphine	CHEMICALS	O	OTHERS	I
to	to	O	O	O	O
a	a	O	O	O	O
greater	greater	O	O	O	O
extent	extent	O	O	O	O
in	in	O	O	O	O
males	males	O	O	O	O
than	than	O	O	O	O
females	females	O	O	O	O
.	.	O	O	O	O

The	the	O	O	O	O
purpose	purpose	O	O	O	O
of	of	O	O	O	O
this	this	O	O	O	O
investigation	investigation	O	O	O	O
was	was	O	O	O	O
to	to	O	O	O	O
extend	extend	O	O	O	O
these	these	O	O	O	O
findings	findings	O	O	O	O
to	to	O	O	O	O
a	a	O	O	O	O
persistent	persistent	O	O	O	O
pain	pain	O	DISEASE	OTHERS	I
model	model	O	O	O	O
which	which	O	O	O	O
could	could	O	O	O	O
be	be	O	O	O	O
distinguished	distinguished	O	O	O	O
