Evidence	evidence	O	O	O	O
for	for	O	O	O	O
an	an	O	O	O	O
involvement	involvement	O	O	O	O
of	of	O	O	O	O
D1	d1	O	O	O	O
and	and	O	O	O	O
D2	d2	O	O	O	O
dopamine	dopamine	CHEMICALS	O	OTHERS	I
receptors	receptors	O	O	O	O
in	in	O	O	O	O
mediating	mediating	O	O	O	O
nicotine-induced	nicotine-induced	O	O	O	O
hyperactivity	hyperactivity	O	DISEASE	OTHERS	I
in	in	O	O	O	O
rats	rats	O	O	O	O
.	.	O	O	O	O

Previous	previous	O	O	O	O
studies	studies	O	O	O	O
have	have	O	O	O	O
suggested	suggested	O	O	O	O
that	that	O	O	O	O
repeated	repeated	O	O	O	O
exposure	exposure	O	O	O	O
of	of	O	O	O	O
rats	rats	O	O	O	O
to	to	O	O	O	O
the	the	O	O	O	O
drug	drug	O	O	O	O
or	or	O	O	O	O
to	to	O	O	O	O
the	the	O	O	O	O
experimental	experimental	O	O	O	O
environment	environment	O	O	O	O
is	is	O	O	O	O
necessary	necessary	O	O	O	O
to	to	O	O	O	O
observe	observe	O	O	O	O
nicotine-induced	nicotine-induced	O	O	O	O
locomotor	locomotor	O	O	O	O
stimulation	stimulation	O	O	O	O
.	.	O	O	O	O

In	in	O	O	O	O
the	the	O	O	O	O
present	present	O	O	O	O
study	study	O	O	O	O
the	the	O	O	O	O
role	role	O	O	O	O
of	of	O	O	O	O
habituation	habituation	O	O	O	O
to	to	O	O	O	O
the	the	O	O	O	O
experimental	experimental	O	O	O	O
environment	environment	O	O	O	O
on	on	O	O	O	O
the	the	O	O	O	O
stimulant	stimulant	O	O	O	O
effect	effect	O	O	O	O
of	of	O	O	O	O
nicotine	nicotine	CHEMICALS	O	OTHERS	I
in	in	O	O	O	O
rats	rats	O	O	O	O
was	was	O	O	O	O
examined	examined	O	O	O	O
.	.	O	O	O	O

In	in	O	O	O	O
addition	addition	O	O	O	O
,	,	O	O	O	O
the	the	O	O	O	O
role	role	O	O	O	O
of	of	O	O	O	O
dopamine	dopamine	CHEMICALS	O	OTHERS	I
receptors	receptors	O	O	O	O
in	in	O	O	O	O
mediating	mediating	O	O	O	O
nicotine-induced	nicotine-induced	O	O	O	O
locomotor	locomotor	O	O	O	O
stimulation	stimulation	O	O	O	O
was	was	O	O	O	O
investigated	investigated	O	O	O	O
by	by	O	O	O	O
examining	examining	O	O	O	O
the	the	O	O	O	O
effects	effects	O	O	O	O
of	of	O	O	O	O
selective	selective	O	O	O	O
D1	d1	O	O	O	O
and	and	O	O	O	O
D2	d2	O	O	O	O
dopamine	dopamine	CHEMICALS	O	OTHERS	I
receptor	receptor	CHEMICALS	O	OTHERS	I
antagonists	antagonists	CHEMICALS	O	OTHERS	I
on	on	O	O	O	O
activity	activity	O	O	O	O
induced	induced	O	O	O	O
by	by	O	O	O	O
nicotine	nicotine	CHEMICALS	O	OTHERS	I
.	.	O	O	O	O

Locomotor	locomotor	O	O	O	O
activity	activity	O	O	O	O
was	was	O	O	O	O
assessed	assessed	O	O	O	O
in	in	O	O	O	O
male	male	O	O	O	O
Sprague-Dawley	sprague-dawley	O	O	O	O
rats	rats	O	O	O	O
tested	tested	O	O	O	O
in	in	O	O	O	O
photocell	photocell	O	O	O	O
cages	cages	O	O	O	O
.	.	O	O	O	O

Nicotine	nicotine	CHEMICALS	O	OTHERS	I
(	(	O	O	O	O
1.0	1.0	O	O	O	O
mg/kg	mg/kg	O	O	O	O
)	)	O	O	O	O
caused	caused	O	O	O	O
a	a	O	O	O	O
significant	significant	O	O	O	O
increase	increase	O	O	OTHERS	I
in	in	O	O	OTHERS	I
locomotor	locomotor	O	O	OTHERS	I
activity	activity	O	O	OTHERS	I
in	in	O	O	O	O
rats	rats	O	O	O	O
that	that	O	O	O	O
were	were	O	O	O	O
habituated	habituated	O	O	O	O
to	to	O	O	O	O
the	the	O	O	O	O
test	test	O	O	O	O
environment	environment	O	O	O	O
,	,	O	O	O	O
but	but	O	O	O	O
had	had	O	O	O	O
only	only	O	O	O	O
a	a	O	O	O	O
weak	weak	O	O	O	O
and	and	O	O	O	O
delayed	delayed	O	O	O	O
stimulant	stimulant	O	O	O	O
action	action	O	O	O	O
in	in	O	O	O	O
rats	rats	O	O	O	O
that	that	O	O	O	O
were	were	O	O	O	O
unfamiliar	unfamiliar	O	O	O	O
with	with	O	O	O	O
the	the	O	O	O	O
test	test	O	O	O	O
environment	environment	O	O	O	O
.	.	O	O	O	O

The	the	O	O	O	O
stimulant	stimulant	O	O	O	O
action	action	O	O	O	O
of	of	O	O	O	O
nicotine	nicotine	CHEMICALS	O	OTHERS	I
was	was	O	O	O	O
blocked	blocked	O	O	O	O
by	by	O	O	O	O
the	the	O	O	O	O
central	central	O	O	O	O
nicotinic	nicotinic	O	O	O	O
antagonist	antagonist	O	O	O	O
mecamylamine	mecamylamine	O	O	OTHERS	I
but	but	O	O	O	O
not	not	O	O	O	O
by	by	O	O	O	O
the	the	O	O	O	O
peripheral	peripheral	O	O	O	O
nicotinic	nicotinic	O	O	O	O
blocker	blocker	O	O	O	O
hexamethonium	hexamethonium	CHEMICALS	O	OTHERS	I
,	,	O	O	O	O
indicating	indicating	O	O	O	O
that	that	O	O	O	O
the	the	O	O	O	O
response	response	O	O	O	O
is	is	O	O	O	O
probably	probably	O	O	O	O
mediated	mediated	O	O	O	O
by	by	O	O	O	O
central	central	O	O	O	O
nicotinic	nicotinic	O	O	O	O
receptors	receptors	O	O	O	O
.	.	O	O	O	O

Nicotine-induced	nicotine-induced	O	O	O	O
hyperactivity	hyperactivity	O	DISEASE	OTHERS	I
was	was	O	O	O	O
blocked	blocked	O	O	O	O
by	by	O	O	O	O
the	the	O	O	O	O
selective	selective	O	O	O	O
D1	d1	O	O	O	O
antagonist	antagonist	O	O	O	O
SCH	sch	CHEMICALS	O	OTHERS	I
23390	23390	CHEMICALS	O	OTHERS	I
,	,	O	O	O	O
the	the	O	O	O	O
selective	selective	O	O	O	O
D2	d2	O	O	O	O
antagonist	antagonist	O	O	O	O
raclopride	raclopride	O	O	OTHERS	I
and	and	O	O	O	O
the	the	O	O	O	O
D1/D2	d1/d2	O	O	O	O
antagonist	antagonist	O	O	O	O
fluphenazine	fluphenazine	O	O	OTHERS	I
.	.	O	O	O	O

Pretreatment	pretreatment	O	O	O	O
with	with	O	O	O	O
the	the	O	O	O	O
D2	d2	O	O	O	O
agonist	agonist	O	O	O	O
PHNO	phno	O	O	OTHERS	I
enhanced	enhanced	O	O	O	O
nicotine-induced	nicotine-induced	O	O	O	O
hyperactivity	hyperactivity	O	DISEASE	OTHERS	I
,	,	O	O	O	O
whereas	whereas	O	O	O	O
the	the	O	O	O	O
D1	d1	O	O	O	O
agonist	agonist	O	O	O	O
SKF	skf	O	O	OTHERS	I
38393	38393	O	O	OTHERS	I
had	had	O	O	O	O
no	no	O	O	O	O
effect	effect	O	O	O	O
.	.	O	O	O	O

The	the	O	O	O	O
results	results	O	O	O	O
indicate	indicate	O	O	O	O
that	that	O	O	O	O
acute	acute	O	O	O	O
nicotine	nicotine	CHEMICALS	O	OTHERS	I
injection	injection	O	O	O	O
induces	induces	O	O	O	O
a	a	O	O	O	O
pronounced	pronounced	O	O	O	O
hyperactivity	hyperactivity	O	DISEASE	OTHERS	I
in	in	O	O	O	O
rats	rats	O	O	O	O
habituated	habituated	O	O	O	O
to	to	O	O	O	O
the	the	O	O	O	O
test	test	O	O	O	O
environment	environment	O	O	O	O
.	.	O	O	O	O

The	the	O	O	O	O
effect	effect	O	O	O	O
appears	appears	O	O	O	O
to	to	O	O	O	O
be	be	O	O	O	O
mediated	mediated	O	O	O	O
by	by	O	O	O	O
central	central	O	O	O	O
nicotine	nicotine	CHEMICALS	O	OTHERS	I
receptors	receptors	O	O	O	O
,	,	O	O	O	O
possibly	possibly	O	O	O	O
located	located	O	O	O	O
on	on	O	O	O	O
dopaminergic	dopaminergic	O	O	O	O
neurons	neurons	O	O	O	O
,	,	O	O	O	O
and	and	O	O	O	O
also	also	O	O	O	O
requires	requires	O	O	O	O
the	the	O	O	O	O
activation	activation	O	O	O	O
of	of	O	O	O	O
both	both	O	O	O	O
D1	d1	O	O	O	O
and	and	O	O	O	O
D2	d2	O	O	O	O
dopamine	dopamine	CHEMICALS	O	OTHERS	I
receptors	receptors	O	O	O	O
.	.	O	O	O	O

