Co-carcinogenic	co-carcinogenic	O	O	O	O
effect	effect	O	O	O	O
of	of	O	O	O	O
retinyl	retinyl	O	O	OTHERS	I
acetate	acetate	O	O	OTHERS	I
on	on	O	O	O	O
forestomach	forestomach	O	O	OTHERS	I
carcinogenesis	carcinogenesis	O	DISEASE	OTHERS	I
of	of	O	O	O	O
male	male	O	O	O	O
F344	f344	O	O	O	O
rats	rats	O	O	O	O
induced	induced	O	O	O	O
with	with	O	O	O	O
butylated	butylated	CHEMICALS	O	OTHERS	I
hydroxyanisole	hydroxyanisole	CHEMICALS	O	OTHERS	I
.	.	O	O	O	O

The	the	O	O	O	O
potential	potential	O	O	O	O
modifying	modifying	O	O	O	O
effect	effect	O	O	O	O
of	of	O	O	O	O
retinyl	retinyl	O	O	OTHERS	I
acetate	acetate	O	O	OTHERS	I
(	(	O	O	O	O
RA	ra	O	O	OTHERS	I
)	)	O	O	O	O
on	on	O	O	O	O
butylated	butylated	CHEMICALS	O	OTHERS	I
hydroxyanisole	hydroxyanisole	CHEMICALS	O	OTHERS	I
(BHA)-induced	(bha)-induced	O	O	O	O
rat	rat	O	O	O	O
forestomach	forestomach	O	O	OTHERS	I
tumorigenesis	tumorigenesis	O	O	OTHERS	I
was	was	O	O	O	O
examined	examined	O	O	O	O
.	.	O	O	O	O

Male	male	O	O	O	O
F344	f344	O	O	O	O
rats	rats	O	O	O	O
,	,	O	O	O	O
5	5	O	O	O	O
weeks	weeks	O	O	O	O
of	of	O	O	O	O
age	age	O	O	O	O
,	,	O	O	O	O
were	were	O	O	O	O
maintained	maintained	O	O	O	O
on	on	O	O	O	O
diet	diet	O	O	O	O
containing	containing	O	O	O	O
1	1	O	O	O	O
%	%	O	O	O	O
or	or	O	O	O	O
2	2	O	O	O	O
%	%	O	O	O	O
BHA	bha	CHEMICALS	O	OTHERS	I
by	by	O	O	O	O
weight	weight	O	O	O	O
and	and	O	O	O	O
simultaneously	simultaneously	O	O	O	O
on	on	O	O	O	O
drinking	drinking	CHEMICALS	O	OTHERS	I
water	water	CHEMICALS	O	OTHERS	I
supplemented	supplemented	O	O	O	O
with	with	O	O	O	O
RA	ra	O	O	OTHERS	I
at	at	O	O	O	O
various	various	O	O	O	O
concentrations	concentrations	O	O	O	O
(	(	O	O	O	O
w/v	w/v	O	O	O	O
)	)	O	O	O	O
for	for	O	O	O	O
52	52	O	O	O	O
weeks	weeks	O	O	O	O
.	.	O	O	O	O

In	in	O	O	O	O
groups	groups	O	O	O	O
given	given	O	O	O	O
2	2	O	O	O	O
%	%	O	O	O	O
