On	on	O	O	O	O
the	the	O	O	O	O
mechanisms	mechanisms	O	O	O	O
of	of	O	O	O	O
the	the	O	O	O	O
development	development	O	O	O	O
of	of	O	O	O	O
tolerance	tolerance	O	O	O	O
to	to	O	O	O	O
the	the	O	O	O	O
muscular	muscular	O	DISEASE	OTHERS	I
rigidity	rigidity	O	DISEASE	OTHERS	I
produced	produced	O	O	O	O
by	by	O	O	O	O
morphine	morphine	CHEMICALS	O	OTHERS	I
in	in	O	O	O	O
rats	rats	O	O	O	O
.	.	O	O	O	O

The	the	O	O	O	O
development	development	O	O	O	O
of	of	O	O	O	O
tolerance	tolerance	O	O	O	O
to	to	O	O	O	O
the	the	O	O	O	O
muscular	muscular	O	DISEASE	OTHERS	I
rigidity	rigidity	O	DISEASE	OTHERS	I
produced	produced	O	O	O	O
by	by	O	O	O	O
morphine	morphine	CHEMICALS	O	OTHERS	I
was	was	O	O	O	O
studied	studied	O	O	O	O
in	in	O	O	O	O
rats	rats	O	O	O	O
.	.	O	O	O	O

Saline-pretreated	saline-pretreated	O	O	O	O
controls	controls	O	O	O	O
given	given	O	O	O	O
a	a	O	O	O	O
test	test	O	O	O	O
dose	dose	O	O	O	O
of	of	O	O	O	O
morphine	morphine	CHEMICALS	O	OTHERS	I
(	(	O	O	O	O
20	20	O	O	O	O
mg/kg	mg/kg	O	O	O	O
i.p	i.p	O	O	O	O
.	.	O	O	O	O
)	)	O	O	O	O
showed	showed	O	O	O	O
a	a	O	O	O	O
pronounced	pronounced	O	O	O	O
rigidity	rigidity	O	DISEASE	OTHERS	I
recorded	recorded	O	O	O	O
as	as	O	O	O	O
tonic	tonic	O	O	O	O
activity	activity	O	O	O	O
in	in	O	O	O	O
the	the	O	O	O	O
electromyogram	electromyogram	O	O	O	O
.	.	O	O	O	O

Rats	rats	O	O	O	O
treated	treated	O	O	O	O
for	for	O	O	O	O
11	11	O	O	O	O
days	days	O	O	O	O
with	with	O	O	O	O
morphine	morphine	CHEMICALS	O	OTHERS	I
and	and	O	O	O	O
withdrawn	withdrawn	O	O	O	O
for	for	O	O	O	O
36	36	O	O	O	O
-	-	O	O	O	O
40	40	O	O	O	O
h	h	CHEMICALS	O	OTHERS	I
showed	showed	O	O	O	O
differences	differences	O	O	O	O
in	in	O	O	O	O
the	the	O	O	O	O
