Interactive	interactive	O	O	O	O
effects	effects	O	O	O	O
of	of	O	O	O	O
variations	variations	O	O	O	O
in	in	O	O	O	O
[Na]o	[na]o	O	O	O	O
and	and	O	O	O	O
[Ca]o	[ca]o	O	O	O	O
on	on	O	O	O	O
rat	rat	O	O	O	O
atrial	atrial	O	O	O	O
spontaneous	spontaneous	O	O	O	O
frequency	frequency	O	O	O	O
.	.	O	O	O	O

The	the	O	O	O	O
effects	effects	O	O	O	O
of	of	O	O	O	O
varying	varying	O	O	O	O
the	the	O	O	O	O
extracellular	extracellular	O	O	O	O
concentrations	concentrations	O	O	O	O
of	of	O	O	O	O
Na	na	CHEMICALS	O	OTHERS	I
and	and	O	O	O	O
Ca	ca	CHEMICALS	O	OTHERS	I
(	(	O	O	O	O
[Na]o	[na]o	O	O	O	O
and	and	O	O	O	O
[Ca]o	[ca]o	O	O	O	O
)	)	O	O	O	O
on	on	O	O	O	O
both	both	O	O	O	O
,	,	O	O	O	O
the	the	O	O	O	O
spontaneous	spontaneous	O	O	O	O
beating	beating	O	O	O	O
and	and	O	O	O	O
the	the	O	O	O	O
negative	negative	O	O	O	O
chronotropic	chronotropic	O	O	O	O
action	action	O	O	O	O
of	of	O	O	O	O
verapamil	verapamil	CHEMICALS	O	OTHERS	I
,	,	O	O	O	O
were	were	O	O	O	O
studied	studied	O	O	O	O
in	in	O	O	O	O
the	the	O	O	O	O
isolated	isolated	O	O	O	O
rat	rat	O	O	O	O
atria	atria	O	O	O	O
.	.	O	O	O	O

Basal	basal	O	O	O	O
frequency	frequency	O	O	O	O
(	(	O	O	O	O
BF	bf	O	O	O	O
)	)	O	O	O	O
evaluated	evaluated	O	O	O	O
by	by	O	O	O	O
surface	surface	O	O	O	O
electrogram	electrogram	O	O	O	O
was	was	O	O	O	O
223	223	O	O	O	O
+	+	O	O	O	O
/-	/-	O	O	O	O
4	4	O	O	O	O
beats/min	beats/min	O	O	O	O
.	.	O	O	O	O

in	in	O	O	O	O
control	control	O	O	O	O
Krebs-Ringer	krebs-ringer	O	O	O	O
containing	containing	O	O	O	O
137	137	O	O	O	O
mM	mm	O	O	OTHERS	I
Na	na	CHEMICALS	O	OTHERS	I
and	and	O	O	O	O
1.35	1.35	O	O	O	O
mM	mm	O	O	OTHERS	I
Ca	ca	CHEMICALS	O	OTHERS	I
(	(	O	O	O	O
N	n	O	O	OTHERS	I
)	)	O	O	O	O
.	.	O	O	O	O

It	it	O	O	O	O
decreased	decreased	O	O	O	O
by	by	O	O	O	O
16	16	O	O	O	O
+	+	O	O	O	O
/-	/-	O	O	O	O
3	3	O	O	O	O
%	%	O	O	O	O
by	by	O	O	O	O
lowering	lowering	O	O	O	O
[Na]o	[na]o	O	O	O	O
to	to	O	O	O	O
78	78	O	O	O	O
mM	mm	O	O	OTHERS	I
(	(	O	O	O	O
LNa	lna	O	O	O	O
)	)	O	O	O	O
,	,	O	O	O	O
23	23	O	O	O	O
+	+	O	O	O	O
/-	/-	O	O	O	O
2	2	O	O	O	O
