Prospective	prospective	O	O	O	O
study	study	O	O	O	O
of	of	O	O	O	O
the	the	O	O	O	O
long-term	long-term	O	O	O	O
effects	effects	O	O	O	O
of	of	O	O	O	O
somatostatin	somatostatin	O	O	O	O
analog	analog	O	O	O	O
(	(	O	O	O	O
octreotide	octreotide	CHEMICALS	O	OTHERS	I
)	)	O	O	O	O
on	on	O	O	O	O
gallbladder	gallbladder	O	O	O	O
function	function	O	O	O	O
and	and	O	O	O	O
gallstone	gallstone	O	O	OTHERS	I
formation	formation	O	O	O	O
in	in	O	O	O	O
Chinese	chinese	O	O	O	O
acromegalic	acromegalic	O	O	OTHERS	I
patients	patients	O	O	O	O
.	.	O	O	O	O

This	this	O	O	O	O
article	article	O	O	O	O
reports	reports	O	O	O	O
the	the	O	O	O	O
changes	changes	O	O	O	O
in	in	O	O	O	O
gallbladder	gallbladder	O	O	O	O
function	function	O	O	O	O
examined	examined	O	O	O	O
by	by	O	O	O	O
ultrasonography	ultrasonography	O	O	O	O
in	in	O	O	O	O
20	20	O	O	O	O
Chinese	chinese	O	O	O	O
patients	patients	O	O	O	O
with	with	O	O	O	O
active	active	O	O	O	O
acromegaly	acromegaly	O	O	OTHERS	I
treated	treated	O	O	O	O
with	with	O	O	O	O
sc	sc	O	O	O	O
injection	injection	O	O	O	O
of	of	O	O	O	O
the	the	O	O	O	O
somatostatin	somatostatin	O	O	O	O
analog	analog	O	O	O	O
octreotide	octreotide	CHEMICALS	O	OTHERS	I
in	in	O	O	O	O
dosages	dosages	O	O	O	O
of	of	O	O	O	O
300	300	O	O	O	O
-	-	O	O	O	O
1500	1500	O	O	O	O
micrograms/day	micrograms/day	O	O	O	O
for	for	O	O	O	O
a	a	O	O	O	O
mean	mean	O	O	O	O
of	of	O	O	O	O
24.2	24.2	O	O	O	O
+	+	O	O	O	O
/-	/-	O	O	O	O
13.9	13.9	O	O	O	O
months	months	O	O	O	O
.	.	O	O	O	O

During	during	O	O	O	O
treatment	treatment	O	O	O	O
with	with	O	O	O	O
octreotide	octreotide	CHEMICALS	O	OTHERS	I
,	,	O	O	O	O
17	17	O	O	O	O
patients	patients	O	O	O	O
developed	developed	O	O	O	O
sludge	sludge	O	O	O	O
,	,	O	O	O	O
10	10	O	O	O	O
had	had	O	O	O	O
gallstones	gallstones	O	O	OTHERS	I
,	,	O	O	O	O
and	and	O	O	O	O
1	1	O	O	O	O
developed	developed	O	O	O	O
acute	acute	O	O	OTHERS	I
cholecystitis	cholecystitis	O	O	OTHERS	I
requiring	requiring	O	O	O	O
surgery	surgery	O	O	O	O
.	.	O	O	O	O

In	in	O	O	O	O
all	all	O	O	O	O
of	of	O	O	O	O
7	7	O	O	O	O
patients	patients	O	O	O	O
examined	examined	O	O	O	O
acutely	acutely	O	O	O	O
,	,	O	O	O	O
gallbladder	gallbladder	O	O	O	O
contractility	contractility	O	O	O	O
was	was	O	O	O	O
inhibited	inhibited	O	O	O	O
after	after	O	O	O	O
a	a	O	O	O	O
single	single	O	O	O	O
100-micrograms	100-micrograms	O	O	O	O
injection	injection	O	O	O	O
.	.	O	O	O	O

In	in	O	O	O	O
8	8	O	O	O	O
patients	patients	O	O	O	O
followed	followed	O	O	O	O
for	for	O	O	O	O
24	24	O	O	O	O
weeks	weeks	O	O	O	O
,	,	O	O	O	O
gallbladder	gallbladder	O	O	O	O
contractility	contractility	O	O	O	O
remained	remained	O	O	O	O
depressed	depressed	O	DISEASE	OTHERS	I
throughout	throughout	O	O	O	O
therapy	therapy	O	O	O	O
.	.	O	O	O	O

After	after	O	O	O	O
withdrawal	withdrawal	O	O	O	O
of	of	O	O	O	O
octreotide	octreotide	CHEMICALS	O	OTHERS	I
in	in	O	O	O	O
10	10	O	O	O	O
patients	patients	O	O	O	O
without	without	O	O	O	O
gallstones	gallstones	O	O	OTHERS	I
,	,	O	O	O	O
8	8	O	O	O	O
patients	patients	O	O	O	O
assessed	assessed	O	O	O	O
had	had	O	O	O	O
return	return	O	O	O	O
of	of	O	O	O	O
normal	normal	O	O	O	O
gallbladder	gallbladder	O	O	O	O
contractility	contractility	O	O	O	O
within	within	O	O	O	O
1	1	O	O	O	O
month	month	O	O	O	O
.	.	O	O	O	O

In	in	O	O	O	O
8	8	O	O	O	O
of	of	O	O	O	O
the	the	O	O	O	O
remaining	remaining	O	O	O	O
10	10	O	O	O	O
patients	patients	O	O	O	O
who	who	O	O	O	O
developed	developed	O	O	O	O
gallstones	gallstones	O	O	OTHERS	I
during	during	O	O	O	O
treatment	treatment	O	O	O	O
,	,	O	O	O	O
gallbladder	gallbladder	O	O	O	O
contractility	contractility	O	O	O	O
normalized	normalized	O	O	O	O
in	in	O	O	O	O
5	5	O	O	O	O
patients	patients	O	O	O	O
(	(	O	O	O	O
3	3	O	O	O	O
of	of	O	O	O	O
whom	whom	O	O	O	O
has	has	O	O	O	O
disappearance	disappearance	O	O	O	O
of	of	O	O	O	O
their	their	O	O	O	O
stones	stones	O	O	O	O
within	within	O	O	O	O
3	3	O	O	O	O
weeks	weeks	O	O	O	O
)	)	O	O	O	O
,	,	O	O	O	O
and	and	O	O	O	O
remained	remained	O	O	O	O
depressed	depressed	O	DISEASE	OTHERS	I
in	in	O	O	O	O
3	3	O	O	O	O
(	(	O	O	O	O
2	2	O	O	O	O
of	of	O	O	O	O
whom	whom	O	O	O	O
had	had	O	O	O	O
stones	stones	O	O	O	O
present	present	O	O	O	O
at	at	O	O	O	O
6	6	O	O	O	O
months	months	O	O	O	O
)	)	O	O	O	O
.	.	O	O	O	O

Our	our	O	O	O	O
results	results	O	O	O	O
suggest	suggest	O	O	O	O
that	that	O	O	O	O
the	the	O	O	O	O
suppression	suppression	O	O	O	O
of	of	O	O	O	O
gallbladder	gallbladder	O	O	O	O
contractility	contractility	O	O	O	O
is	is	O	O	O	O
the	the	O	O	O	O
cause	cause	O	O	O	O
of	of	O	O	O	O
the	the	O	O	O	O
successive	successive	O	O	O	O
formation	formation	O	O	O	O
of	of	O	O	O	O
bile	bile	O	O	O	O
sludge	sludge	O	O	O	O
,	,	O	O	O	O
gallstones	gallstones	O	O	OTHERS	I
,	,	O	O	O	O
and	and	O	O	O	O
cholecystitis	cholecystitis	O	O	OTHERS	I
during	during	O	O	O	O
octreotide	octreotide	CHEMICALS	O	OTHERS	I
therapy	therapy	O	O	O	O
in	in	O	O	O	O
Chinese	chinese	O	O	O	O
acromegalic	acromegalic	O	O	OTHERS	I
patients	patients	O	O	O	O
.	.	O	O	O	O

It	it	O	O	O	O
is	is	O	O	O	O
therefore	therefore	O	O	O	O
very	very	O	O	O	O
important	important	O	O	O	O
to	to	O	O	O	O
follow	follow	O	O	O	O
the	the	O	O	O	O
changes	changes	O	O	O	O
of	of	O	O	O	O
gallbladder	gallbladder	O	O	O	O
function	function	O	O	O	O
during	during	O	O	O	O
long-term	long-term	O	O	O	O
octreotide	octreotide	CHEMICALS	O	OTHERS	I
therapy	therapy	O	O	O	O
of	of	O	O	O	O
acromegalic	acromegalic	O	O	OTHERS	I
patients	patients	O	O	O	O
.	.	O	O	O	O

