Changes	changes	O	O	O	O
in	in	O	O	O	O
peroxisomes	peroxisomes	O	O	O	O
in	in	O	O	O	O
preneoplastic	preneoplastic	O	O	O	O
liver	liver	O	O	O	O
and	and	O	O	O	O
hepatoma	hepatoma	O	O	OTHERS	I
of	of	O	O	O	O
mice	mice	O	O	O	O
induced	induced	O	O	O	O
by	by	O	O	O	O
alpha-benzene	alpha-benzene	O	O	O	O
hexachloride	hexachloride	O	O	O	O
.	.	O	O	O	O

Peroxisomes	peroxisomes	O	O	O	O
in	in	O	O	O	O
hepatomas	hepatomas	O	O	OTHERS	I
and	and	O	O	O	O
hyperplastic	hyperplastic	O	O	O	O
preneoplastic	preneoplastic	O	O	O	O
liver	liver	O	O	OTHERS	I
lesions	lesions	O	O	OTHERS	I
induced	induced	O	O	O	O
in	in	O	O	O	O
mice	mice	O	O	O	O
by	by	O	O	O	O
500	500	O	O	O	O
ppm	ppm	O	O	O	O
alpha-benzene	alpha-benzene	O	O	O	O
hexachloride	hexachloride	O	O	O	O
were	were	O	O	O	O
examined	examined	O	O	O	O
histochemically	histochemically	O	O	O	O
and	and	O	O	O	O
electron	electron	O	O	O	O
microscopically	microscopically	O	O	O	O
.	.	O	O	O	O

Although	although	O	O	O	O
most	most	O	O	O	O
of	of	O	O	O	O
the	the	O	O	O	O
hepatomas	hepatomas	O	O	OTHERS	I
were	were	O	O	O	O
well-differentiated	well-differentiated	O	O	O	O
tumors	tumors	O	DISEASE	OTHERS	I
and	and	O	O	O	O
contained	contained	O	O	O	O
a	a	O	O	O	O
considerable	considerable	O	O	O	O
number	number	O	O	O	O
of	of	O	O	O	O
peroxisomes	peroxisomes	O	O	O	O
,	,	O	O	O	O
the	the	O	O	O	O
tumor	tumor	O	DISEASE	OTHERS	I
cells	cells	O	O	O	O
did	did	O	O	O	O
not	not	O	O	O	O
respond	respond	O	O	O	O
to	to	O	O	O	O
ethyl-alpha-p-chlorophenoxyisobutyrate	ethyl-alpha-p-chlorophenoxyisobutyrate	O	O	O	O
with	with	O	O	O	O
proliferation	proliferation	O	O	O	O
of	of	O	O	O	O
peroxisomes	peroxisomes	O	O	O	O
.	.	O	O	O	O

At	at	O	O	O	O
the	the	O	O	O	O
16th	16th	O	O	O	O
week	week	O	O	O	O
of	of	O	O	O	O
carcinogen	carcinogen	O	O	O	O
feeding	feeding	O	O	O	O
,	,	O	O	O	O
hyperplastic	hyperplastic	O	O	O	O
nodules	nodules	O	O	O	O
appeared	appeared	O	O	O	O
and	and	O	O	O	O
advanced	advanced	O	O	O	O
to	to	O	O	O	O
further	further	O	O	O	O
stages	stages	O	O	O	O
.	.	O	O	O	O

A	a	O	O	O	O
majority	majority	O	O	O	O
of	of	O	O	O	O
the	the	O	O	O	O
nodules	nodules	O	O	O	O
showed	showed	O	O	O	O
a	a	O	O	O	O
considerable	considerable	O	O	O	O
number	number	O	O	O	O
of	of	O	O	O	O
peroxisomes	peroxisomes	O	O	O	O
and	and	O	O	O	O
the	the	O	O	O	O
inductive	inductive	O	O	O	O
proliferation	proliferation	O	O	O	O
of	of	O	O	O	O
peroxisomes	peroxisomes	O	O	O	O
.	.	O	O	O	O

Within	within	O	O	O	O
the	the	O	O	O	O
nodules	nodules	O	O	O	O
,	,	O	O	O	O
foci	foci	O	O	O	O
of	of	O	O	O	O
proliferation	proliferation	O	O	O	O
of	of	O	O	O	O
the	the	O	O	O	O
cells	cells	O	O	O	O
that	that	O	O	O	O
showed	showed	O	O	O	O
no	no	O	O	O	O
inducibility	inducibility	O	O	O	O
of	of	O	O	O	O
proliferation	proliferation	O	O	O	O
of	of	O	O	O	O
peroxisomes	peroxisomes	O	O	O	O
appeared	appeared	O	O	O	O
.	.	O	O	O	O

These	these	O	O	O	O
cells	cells	O	O	O	O
proliferated	proliferated	O	O	O	O
further	further	O	O	O	O
,	,	O	O	O	O
replacing	replacing	O	O	O	O
the	the	O	O	O	O
most	most	O	O	O	O
part	part	O	O	O	O
of	of	O	O	O	O
the	the	O	O	O	O
nodules	nodules	O	O	O	O
,	,	O	O	O	O
and	and	O	O	O	O
with	with	O	O	O	O
this	this	O	O	O	O
process	process	O	O	O	O
hepatomas	hepatomas	O	O	OTHERS	I
appeared	appeared	O	O	O	O
to	to	O	O	O	O
have	have	O	O	O	O
been	been	O	O	O	O
formed	formed	O	O	O	O
.	.	O	O	O	O

No	no	O	O	O	O
abnormal	abnormal	O	O	O	O
matrical	matrical	O	O	O	O
inclusions	inclusions	O	O	O	O
of	of	O	O	O	O
peroxisomes	peroxisomes	O	O	O	O
were	were	O	O	O	O
formed	formed	O	O	O	O
in	in	O	O	O	O
the	the	O	O	O	O
cells	cells	O	O	O	O
of	of	O	O	O	O
hyperplastic	hyperplastic	O	O	O	O
nodules	nodules	O	O	O	O
by	by	O	O	O	O
ethyl-alpha-p-chlorophenoxyisobutyrate	ethyl-alpha-p-chlorophenoxyisobutyrate	O	O	O	O
unlike	unlike	O	O	O	O
in	in	O	O	O	O
the	the	O	O	O	O
case	case	O	O	O	O
of	of	O	O	O	O
rats	rats	O	O	O	O
.	.	O	O	O	O

