Contribution	contribution	O	O	O	O
of	of	O	O	O	O
the	the	O	O	O	O
sympathetic	sympathetic	O	O	O	O
nervous	nervous	O	O	O	O
system	system	O	O	O	O
to	to	O	O	O	O
salt-sensitivity	salt-sensitivity	O	O	O	O
in	in	O	O	O	O
lifetime	lifetime	O	O	O	O
captopril-treated	captopril-treated	O	O	O	O
spontaneously	spontaneously	O	O	O	O
hypertensive	hypertensive	O	DISEASE	OTHERS	I
rats	rats	O	O	O	O
.	.	O	O	O	O

OBJECTIVE	objective	O	O	O	O
:	:	O	O	O	O
To	to	O	O	O	O
test	test	O	O	O	O
the	the	O	O	O	O
hypothesis	hypothesis	O	O	O	O
that	that	O	O	O	O
,	,	O	O	O	O
in	in	O	O	O	O
lifetime	lifetime	O	O	O	O
captopril-treated	captopril-treated	O	O	O	O
spontaneously	spontaneously	O	O	O	O
hypertensive	hypertensive	O	DISEASE	OTHERS	I
rats	rats	O	O	O	O
(	(	O	O	O	O
SHR	shr	O	O	O	O
)	)	O	O	O	O
,	,	O	O	O	O
the	the	O	O	O	O
sympathetic	sympathetic	O	O	O	O
nervous	nervous	O	O	O	O
system	system	O	O	O	O
contributes	contributes	O	O	O	O
importantly	importantly	O	O	O	O
to	to	O	O	O	O
the	the	O	O	O	O
hypertensive	hypertensive	O	DISEASE	OTHERS	I
effect	effect	O	O	O	O
of	of	O	O	O	O
dietary	dietary	O	O	OTHERS	I
sodium	sodium	CHEMICALS	O	OTHERS	I
chloride	chloride	CHEMICALS	O	OTHERS	I
supplementation	supplementation	O	O	O	O
.	.	O	O	O	O

METHODS	methods	O	O	O	O
:	:	O	O	O	O
Male	male	O	O	O	O
SHR	shr	O	O	O	O
(	(	O	O	O	O
aged	aged	O	O	O	O
6	6	O	O	O	O
weeks	weeks	O	O	O	O
)	)	O	O	O	O
that	that	O	O	O	O
had	had	O	O	O	O
been	been	O	O	O	O
treated	treated	O	O	O	O
from	from	O	O	O	O
conception	conception	O	O	O	O
onward	onward	O	O	O	O
with	with	O	O	O	O
either	either	O	O	O	O
captopril	captopril	CHEMICALS	O	OTHERS	I
or	or	O	O	O	O
vehicle	vehicle	O	O	O	O
remained	remained	O	O	O	O
on	on	O	O	O	O
a	a	O	O	O	O
basal	basal	O	O	O	O
sodium	sodium	CHEMICALS	O	OTHERS	I
chloride	chloride	CHEMICALS	O	OTHERS	I
diet	diet	O	O	O	O
or	or	O	O	O	O
were	were	O	O	O	O
fed	fed	O	O	O	O
a	a	O	O	O	O
high	high	O	O	O	O
sodium	sodium	CHEMICALS	O	OTHERS	I
chloride	chloride	CHEMICALS	O	OTHERS	I
diet	diet	O	O	O	O
.	.	O	O	O	O

After	after	O	O	O	O
2	2	O	O	O	O
weeks	weeks	O	O	O	O
,	,	O	O	O	O
the	the	O	O	O	O
rats	rats	O	O	O	O
were	were	O	O	O	O
subjected	subjected	O	O	O	O
to	to	O	O	O	O
ganglionic	ganglionic	O	O	O	O
blockade	blockade	O	O	O	O
and	and	O	O	O	O
2	2	O	O	O	O
days	days	O	O	O	O
later	later	O	O	O	O
,	,	O	O	O	O
an	an	O	O	O	O
infusion	infusion	O	O	O	O
of	of	O	O	O	O
clonidine	clonidine	CHEMICALS	O	OTHERS	I
.	.	O	O	O	O

RESULTS	results	O	O	O	O
:	:	O	O	O	O
Lifetime	lifetime	O	O	O	O
captopril	captopril	CHEMICALS	O	OTHERS	I
treatment	treatment	O	O	O	O
significantly	significantly	O	O	O	O
lowered	lowered	O	O	O	O
mean	mean	O	O	O	O
arterial	arterial	O	O	O	O
pressure	pressure	O	O	O	O
in	in	O	O	O	O
both	both	O	O	O	O
groups	groups	O	O	O	O
.	.	O	O	O	O

Intravenous	intravenous	O	O	O	O
infusion	infusion	O	O	O	O
of	of	O	O	O	O
the	the	O	O	O	O
ganglionic	ganglionic	O	O	O	O
blocker	blocker	O	O	O	O
hexamethonium	hexamethonium	CHEMICALS	O	OTHERS	I
resulted	resulted	O	O	O	O
in	in	O	O	O	O
a	a	O	O	O	O
rapid	rapid	O	O	O	O
decline	decline	O	O	O	O
in	in	O	O	O	O
MAP	map	O	O	OTHERS	I
that	that	O	O	O	O
eliminated	eliminated	O	O	O	O
the	the	O	O	O	O
dietary	dietary	O	O	O	O
sodium	sodium	CHEMICALS	O	OTHERS	I
chloride-induced	chloride-induced	O	O	O	O
increase	increase	O	O	OTHERS	I
in	in	O	O	OTHERS	I
MAP	map	O	O	OTHERS	I
in	in	O	O	O	O
both	both	O	O	O	O
groups	groups	O	O	O	O
.	.	O	O	O	O

Infusion	infusion	O	O	O	O
of	of	O	O	O	O
the	the	O	O	O	O
central	central	O	O	O	O
nervous	nervous	O	O	O	O
system	system	O	O	O	O
alpha2-adrenergic	alpha2-adrenergic	O	O	OTHERS	I
receptor	receptor	O	O	OTHERS	I
agonist	agonist	O	O	OTHERS	I
clonidine	clonidine	CHEMICALS	O	OTHERS	I
also	also	O	O	O	O
