Absence	absence	O	O	O	O
of	of	O	O	O	O
effect	effect	O	O	O	O
of	of	O	O	O	O
sertraline	sertraline	CHEMICALS	O	OTHERS	I
on	on	O	O	O	O
time-based	time-based	O	O	O	O
sensitization	sensitization	O	O	O	O
of	of	O	O	O	O
cognitive	cognitive	O	DISEASE	OTHERS	I
impairment	impairment	O	DISEASE	OTHERS	I
with	with	O	O	O	O
haloperidol	haloperidol	CHEMICALS	O	OTHERS	I
.	.	O	O	O	O

This	this	O	O	O	O
double-blind	double-blind	O	O	O	O
,	,	O	O	O	O
randomized	randomized	O	O	O	O
,	,	O	O	O	O
placebo-controlled	placebo-controlled	O	O	O	O
study	study	O	O	O	O
evaluated	evaluated	O	O	O	O
the	the	O	O	O	O
effects	effects	O	O	O	O
of	of	O	O	O	O
haloperidol	haloperidol	CHEMICALS	O	OTHERS	I
alone	alone	O	O	O	O
and	and	O	O	O	O
haloperidol	haloperidol	CHEMICALS	O	OTHERS	I
plus	plus	O	O	O	O
sertraline	sertraline	CHEMICALS	O	OTHERS	I
on	on	O	O	O	O
cognitive	cognitive	O	O	O	O
and	and	O	O	O	O
psychomotor	psychomotor	O	O	O	O
function	function	O	O	O	O
in	in	O	O	O	O
24	24	O	O	O	O
healthy	healthy	O	O	O	O
male	male	O	O	O	O
subjects	subjects	O	O	O	O
.	.	O	O	O	O

METHOD	method	O	O	O	O
:	:	O	O	O	O
All	all	O	O	O	O
subjects	subjects	O	O	O	O
received	received	O	O	O	O
placebo	placebo	O	O	O	O
on	on	O	O	O	O
Day	day	O	O	O	O
1	1	O	O	O	O
and	and	O	O	O	O
haloperidol	haloperidol	CHEMICALS	O	OTHERS	I
2	2	O	O	O	O
mg	mg	O	O	OTHERS	I
on	on	O	O	O	O
Days	days	O	O	O	O
2	2	O	O	O	O
and	and	O	O	O	O
25	25	O	O	O	O
.	.	O	O	O	O

From	from	O	O	O	O
Days	days	O	O	O	O
9	9	O	O	O	O
to	to	O	O	O	O
25	25	O	O	O	O
,	,	O	O	O	O
subjects	subjects	O	O	O	O
were	were	O	O	O	O
randomly	randomly	O	O	O	O
assigned	assigned	O	O	O	O
to	to	O	O	O	O
either	either	O	O	O	O
sertraline	sertraline	CHEMICALS	O	OTHERS	I
(	(	O	O	O	O
12	12	O	O	O	O
subjects	subjects	O	O	O	O
)	)	O	O	O	O
or	or	O	O	O	O
placebo	placebo	O	O	O	O
(	(	O	O	O	O
12	12	O	O	O	O
subjects	subjects	O	O	O	O
)	)	O	O	O	O
;	;	O	O	O	O
the	the	O	O	O	O
sertraline	sertraline	CHEMICALS	O	OTHERS	I
dose	dose	O	O	O	O
was	was	O	O	O	O
titrated	titrated	O	O	O	O
from	from	O	O	O	O
50	50	O	O	O	O
to	to	O	O	O	O
200	200	O	O	O	O
mg/day	mg/day	O	O	O	O
from	from	O	O	O	O
Days	days	O	O	O	O
9	9	O	O	O	O
to	to	O	O	O	O
16	16	O	O	O	O
,	,	O	O	O	O
and	and	O	O	O	O
remained	remained	O	O	O	O
at	at	O	O	O	O
200	200	O	O	O	O
mg/day	mg/day	O	O	O	O
for	for	O	O	O	O
the	the	O	O	O	O
final	final	O	O	O	O
10	10	O	O	O	O
days	days	O	O	O	O
of	of	O	O	O	O
the	the	O	O	O	O
drug	drug	O	O	O	O
administration	administration	O	O	O	O
period	period	O	O	O	O
.	.	O	O	O	O

Cognitive	cognitive	O	O	O	O
function	function	O	O	O	O
