Mediation	mediation	O	O	O	O
of	of	O	O	O	O
enhanced	enhanced	O	O	O	O
reflex	reflex	O	O	O	O
vagal	vagal	O	O	O	O
bradycardia	bradycardia	O	DISEASE	OTHERS	I
by	by	O	O	O	O
L-dopa	l-dopa	O	O	O	O
via	via	O	O	O	O
central	central	O	O	O	O
dopamine	dopamine	CHEMICALS	O	OTHERS	I
formation	formation	O	O	O	O
in	in	O	O	O	O
dogs	dogs	O	O	O	O
.	.	O	O	O	O

L-Dopa	l-dopa	O	O	O	O
(	(	O	O	O	O
5	5	O	O	O	O
mg/kg	mg/kg	O	O	O	O
i.v	i.v	O	O	O	O
.	.	O	O	O	O
)	)	O	O	O	O
decreased	decreased	O	O	O	O
blood	blood	O	O	O	O
pressure	pressure	O	O	O	O
and	and	O	O	O	O
heart	heart	O	O	O	O
rate	rate	O	O	O	O
after	after	O	O	O	O
extracerebral	extracerebral	O	O	O	O
decarboxylase	decarboxylase	O	O	O	O
inhibition	inhibition	O	O	O	O
with	with	O	O	O	O
MK-486	mk-486	O	O	OTHERS	I
(	(	O	O	O	O
25	25	O	O	O	O
mg/kg	mg/kg	O	O	O	O
i.v	i.v	O	O	O	O
.	.	O	O	O	O
)	)	O	O	O	O
in	in	O	O	O	O
anesthetize	anesthetize	O	O	O	O
MAO-inhibited	mao-inhibited	O	O	O	O
dogs	dogs	O	O	O	O
.	.	O	O	O	O

In	in	O	O	O	O
addition	addition	O	O	O	O
,	,	O	O	O	O
reflex	reflex	O	O	O	O
bradycardia	bradycardia	O	DISEASE	OTHERS	I
caused	caused	O	O	O	O
by	by	O	O	O	O
injected	injected	O	O	O	O
norepinephrine	norepinephrine	CHEMICALS	O	OTHERS	I
was	was	O	O	O	O
significantly	significantly	O	O	O	O
enhanced	enhanced	O	O	O	O
by	by	O	O	O	O
L-dopa	l-dopa	O	O	O	O
,	,	O	O	O	O
DL-Threo-dihydroxyphenylserine	dl-threo-dihydroxyphenylserine	O	O	O	O
had	had	O	O	O	O
no	no	O	O	O	O
effect	effect	O	O	O	O
on	on	O	O	O	O
blood	blood	O	O	O	O
pressure	pressure	O	O	O	O
,	,	O	O	O	O
heart	heart	O	O	O	O
rate	rate	O	O	O	O
or	or	O	O	O	O
reflex	reflex	O	O	O	O
responses	responses	O	O	O	O
to	to	O	O	O	O
norepinephrine	norepinephrine	CHEMICALS	O	OTHERS	I
.	.	O	O	O	O

FLA-63	fla-63	O	O	OTHERS	I
,	,	O	O	O	O
a	a	O	O	O	O
dopamine-beta-oxidase	dopamine-beta-oxidase	O	O	O	O
inhibitor	inhibitor	O	O	O	O
,	,	O	O	O	O
did	did	O	O	O	O
not	not	O	O	O	O
have	have	O	O	O	O
any	any	O	O	O	O
effect	effect	O	O	O	O
on	on	O	O	O	O
the	the	O	O	O	O
hypotension	hypotension	O	DISEASE	OTHERS	I
,	,	O	O	O	O
bradycardia	bradycardia	O	DISEASE	OTHERS	I
or	or	O	O	O	O
reflex-enhancing	reflex-enhancing	O	O	O	O
effect	effect	O	O	O	O
of	of	O	O	O	O
L-dopa	l-dopa	O	O	O	O
.	.	O	O	O	O

Pimozide	pimozide	O	O	OTHERS	I
did	did	O	O	O	O
not	not	O	O	O	O
affect	affect	O	O	O	O
the	the	O	O	O	O
actions	actions	O	O	O	O
of	of	O	O	O	O
L-dopa	l-dopa	O	O	O	O
on	on	O	O	O	O
blood	blood	O	O	O	O
pressure	pressure	O	O	O	O
and	and	O	O	O	O
heart	heart	O	O	O	O
rate	rate	O	O	O	O
but	but	O	O	O	O
completely	completely	O	O	O	O
blocked	blocked	O	O	O	O
the	the	O	O	O	O
enhancement	enhancement	O	O	O	O
of	of	O	O	O	O
reflexes	reflexes	O	O	O	O
.	.	O	O	O	O

Removal	removal	O	O	O	O
of	of	O	O	O	O
the	the	O	O	O	O
carotid	carotid	O	O	O	O
sinuses	sinuses	O	O	O	O
caused	caused	O	O	O	O
an	an	O	O	O	O
elevation	elevation	O	O	O	O
blood	blood	O	O	O	O
pressure	pressure	O	O	O	O
and	and	O	O	O	O
heart	heart	O	O	O	O
rate	rate	O	O	O	O
and	and	O	O	O	O
abolished	abolished	O	O	O	O
the	the	O	O	O	O
negative	negative	O	O	O	O
chronotropic	chronotropic	O	O	O	O
effect	effect	O	O	O	O
of	of	O	O	O	O
norepinephrine	norepinephrine	CHEMICALS	O	OTHERS	I
.	.	O	O	O	O

However	however	O	O	O	O
,	,	O	O	O	O
L-dopa	l-dopa	O	O	O	O
restored	restored	O	O	O	O
the	the	O	O	O	O
bradycardia	bradycardia	O	DISEASE	OTHERS	I
caused	caused	O	O	O	O
by	by	O	O	O	O
norepinephrine	norepinephrine	CHEMICALS	O	OTHERS	I
in	in	O	O	O	O
addition	addition	O	O	O	O
to	to	O	O	O	O
decreasing	decreasing	O	O	O	O
blood	blood	O	O	O	O
pressure	pressure	O	O	O	O
and	and	O	O	O	O
heart	heart	O	O	O	O
rate	rate	O	O	O	O
.	.	O	O	O	O

5-HTP	5-htp	CHEMICALS	O	OTHERS	I
(	(	O	O	O	O
5	5	O	O	O	O
mg/kg	mg/kg	O	O	O	O
i.v	i.v	O	O	O	O
.	.	O	O	O	O
)	)	O	O	O	O
decreased	decreased	O	O	O	O
blood	blood	O	O	O	O
pressure	pressure	O	O	O	O
and	and	O	O	O	O
heart	heart	O	O	O	O
rate	rate	O	O	O	O
and	and	O	O	O	O
decreased	decreased	O	O	O	O
the	the	O	O	O	O
reflex	reflex	O	O	O	O
bradycardia	bradycardia	O	DISEASE	OTHERS	I
to	to	O	O	O	O
norepinephrine	norepinephrine	CHEMICALS	O	OTHERS	I
.	.	O	O	O	O

It	it	O	O	O	O
is	is	O	O	O	O
concluded	concluded	O	O	O	O
that	that	O	O	O	O
L-dopa	l-dopa	O	O	O	O
enhances	enhances	O	O	O	O
reflex	reflex	O	O	O	O
bradycardia	bradycardia	O	DISEASE	OTHERS	I
through	through	O	O	O	O
central	central	O	O	O	O
alpha-receptor	alpha-receptor	O	O	O	O
stimulation	stimulation	O	O	O	O
.	.	O	O	O	O

Furthermore	furthermore	O	O	O	O
,	,	O	O	O	O
the	the	O	O	O	O
effects	effects	O	O	O	O
are	are	O	O	O	O
mediated	mediated	O	O	O	O
through	through	O	O	O	O
dopamine	dopamine	CHEMICALS	O	OTHERS	I
rather	rather	O	O	O	O
than	than	O	O	O	O
norepinephrine	norepinephrine	CHEMICALS	O	OTHERS	I
and	and	O	O	O	O
do	do	O	O	O	O
not	not	O	O	O	O
require	require	O	O	O	O
the	the	O	O	O	O
carotid	carotid	O	O	O	O
sinus	sinus	O	O	O	O
baroreceptors	baroreceptors	O	O	O	O
.	.	O	O	O	O

