Value	value	O	O	O	O
of	of	O	O	O	O
methylprednisolone	methylprednisolone	CHEMICALS	O	OTHERS	I
in	in	O	O	O	O
prevention	prevention	O	O	O	O
of	of	O	O	O	O
the	the	O	O	O	O
arthralgia-myalgia	arthralgia-myalgia	O	O	O	O
syndrome	syndrome	O	O	O	O
associated	associated	O	O	O	O
with	with	O	O	O	O
the	the	O	O	O	O
total	total	O	O	O	O
dose	dose	O	O	O	O
infusion	infusion	O	O	O	O
of	of	O	O	O	O
iron	iron	CHEMICALS	O	OTHERS	I
dextran	dextran	CHEMICALS	O	OTHERS	I
:	:	O	O	O	O
a	a	O	O	O	O
double	double	O	O	O	O
blind	blind	O	O	OTHERS	I
randomized	randomized	O	O	O	O
trial	trial	O	O	O	O
.	.	O	O	O	O

The	the	O	O	O	O
safety	safety	O	O	O	O
and	and	O	O	O	O
efficacy	efficacy	O	O	O	O
of	of	O	O	O	O
total	total	O	O	O	O
dose	dose	O	O	O	O
infusion	infusion	O	O	O	O
(	(	O	O	O	O
TDI	tdi	O	O	O	O
)	)	O	O	O	O
of	of	O	O	O	O
iron	iron	CHEMICALS	O	OTHERS	I
dextran	dextran	CHEMICALS	O	OTHERS	I
has	has	O	O	O	O
been	been	O	O	O	O
well	well	O	O	O	O
documented	documented	O	O	O	O
.	.	O	O	O	O

In	in	O	O	O	O
40	40	O	O	O	O
%	%	O	O	O	O
of	of	O	O	O	O
treated	treated	O	O	O	O
patients	patients	O	O	O	O
,	,	O	O	O	O
an	an	O	O	O	O
arthralgia-myalgia	arthralgia-myalgia	O	O	O	O
syndrome	syndrome	O	O	O	O
develops	develops	O	O	O	O
.	.	O	O	O	O

The	the	O	O	O	O
purpose	purpose	O	O	O	O
of	of	O	O	O	O
this	this	O	O	O	O
randomized	randomized	O	O	O	O
,	,	O	O	O	O
double-blind	double-blind	O	O	O	O
,	,	O	O	O	O
prospective	prospective	O	O	O	O
study	study	O	O	O	O
was	was	O	O	O	O
to	to	O	O	O	O
investigate	investigate	O	O	O	O
whether	whether	O	O	O	O
intravenous	intravenous	O	O	O	O
(	(	O	O	O	O
i.v	i.v	O	O	O	O
.	.	O	O	O	O
)	)	O	O	O	O
administration	administration	O	O	O	O
of	of	O	O	O	O
methylprednisolone	methylprednisolone	CHEMICALS	O	OTHERS	I
(	(	O	O	O	O
MP	mp	O	O	OTHERS	I
)	)	O	O	O	O
prevents	prevents	O	O	O	O
this	this	O	O	O	O
complication	complication	O	O	O	O
.	.	O	O	O	O

Sixty-five	sixty-five	O	O	O	O
patients	patients	O	O	O	O
,	,	O	O	O	O
34	34	O	O	O	O
women	women	O	O	O	O
and	and	O	O	O	O
31	31	O	O	O	O
men	men	O	O	O	O
,	,	O	O	O	O
ages	ages	O	O	O	O
36	36	O	O	O	O
to	to	O	O	O	O
80	80	O	O	O	O
years	years	O	O	O	O
,	,	O	O	O	O
received	received	O	O	O	O
either	either	O	O	O	O
normal	normal	O	O	O	O
saline	saline	O	O	O	O
before	before	O	O	O	O
and	and	O	O	O	O
after	after	O	O	O	O
TDI	tdi	O	O	O	O
(	(	O	O	O	O
group	group	O	O	O	O
1	1	O	O	O	O
)	)	O	O	O	O
,	,	O	O	O	O
125	125	O	O	O	O
mg	mg	O	O	OTHERS	I
i.v	i.v	O	O	O	O
.	.	O	O	O	O

MP	mp	O	O	OTHERS	I
before	before	O	O	O	O
and	and	O	O	O	O
saline	saline	O	O	O	O
after	after	O	O	O	O
TDI	tdi	O	O	O	O
(	(	O	O	O	O
group	group	O	O	O	O
2	2	O	O	O	O
)	)	O	O	O	O
,	,	O	O	O	O
or	or	O	O	O	O
125	125	O	O	O	O
mg	mg	O	O	OTHERS	I
i.v	i.v	O	O	O	O
.	.	O	O	O	O

MP	mp	O	O	OTHERS	I
before	before	O	O	O	O
and	and	O	O	O	O
after	after	O	O	O	O
TDI	tdi	O	O	O	O
(	(	O	O	O	O
group	group	O	O	O	O
3	3	O	O	O	O
)	)	O	O	O	O
.	.	O	O	O	O

Patients	patients	O	O	O	O
were	were	O	O	O	O
observed	observed	O	O	O	O
for	for	O	O	O	O
72	72	O	O	O	O
hours	hours	O	O	O	O
and	and	O	O	O	O
reactions	reactions	O	O	O	O
were	were	O	O	O	O
recorded	recorded	O	O	O	O
and	and	O	O	O	O
graded	graded	O	O	O	O
according	according	O	O	O	O
to	to	O	O	O	O
severity	severity	O	O	O	O
.	.	O	O	O	O

Fifty-eight	fifty-eight	O	O	O	O
percent	percent	O	O	O	O
of	of	O	O	O	O
group	group	O	O	O	O
1	1	O	O	O	O
patients	patients	O	O	O	O
,	,	O	O	O	O
33	33	O	O	O	O
%	%	O	O	O	O
of	of	O	O	O	O
group	group	O	O	O	O
2	2	O	O	O	O
,	,	O	O	O	O
and	and	O	O	O	O
26	26	O	O	O	O
%	%	O	O	O	O
of	of	O	O	O	O
group	group	O	O	O	O
3	3	O	O	O	O
had	had	O	O	O	O
reactions	reactions	O	O	O	O
to	to	O	O	O	O
TDI	tdi	O	O	O	O
.	.	O	O	O	O

The	the	O	O	O	O
severity	severity	O	O	O	O
of	of	O	O	O	O
reactions	reactions	O	O	O	O
(	(	O	O	O	O
minimal	minimal	O	O	O	O
,	,	O	O	O	O
mild	mild	O	O	O	O
,	,	O	O	O	O
and	and	O	O	O	O
moderate	moderate	O	O	O	O
,	,	O	O	O	O
respectively	respectively	O	O	O	O
)	)	O	O	O	O
was	was	O	O	O	O
as	as	O	O	O	O
follows	follows	O	O	O	O
:	:	O	O	O	O
group	group	O	O	O	O
1	1	O	O	O	O
-	-	O	O	O	O
-6	-6	O	O	O	O
,	,	O	O	O	O
6	6	O	O	O	O
,	,	O	O	O	O
and	and	O	O	O	O
2	2	O	O	O	O
;	;	O	O	O	O
group	group	O	O	O	O
2	2	O	O	O	O
-	-	O	O	O	O
-1	-1	O	O	O	O
,	,	O	O	O	O
5	5	O	O	O	O
,	,	O	O	O	O
