Kidney	kidney	O	O
function	function	O	O
and	and	O	O
morphology	morphology	O	O
after	after	O	O
short-term	short-term	O	O
combination	combination	O	O
therapy	therapy	O	O
with	with	O	O
cyclosporine	cyclosporine	B_chemicals	O
A	a	I_chemicals	O
,	,	O	O
tacrolimus	tacrolimus	S_chemicals	O
and	and	O	O
sirolimus	sirolimus	S_chemicals	O
in	in	O	O
the	the	O	O
rat	rat	O	O
.	.	O	O

BACKGROUND	background	O	O
:	:	O	O
Sirolimus	sirolimus	S_chemicals	O
(	(	O	O
SRL	srl	O	O
)	)	O	O
may	may	O	O
supplement	supplement	O	O
calcineurin	calcineurin	B_chemicals	O
inhibitors	inhibitors	I_chemicals	O
in	in	O	O
clinical	clinical	O	O
organ	organ	O	O
transplantation	transplantation	O	O
.	.	O	O

These	these	O	O
are	are	O	O
nephrotoxic	nephrotoxic	O	O
,	,	O	O
but	but	O	O
SRL	srl	O	O
seems	seems	O	O
to	to	O	O
act	act	O	O
differently	differently	O	O
displaying	displaying	O	O
only	only	O	O
minor	minor	O	O
nephrotoxic	nephrotoxic	O	O
effects	effects	O	O
,	,	O	O
although	although	O	O
this	this	O	O
question	question	O	O
is	is	O	O
still	still	O	O
open	open	O	O
.	.	O	O

In	in	O	O
a	a	O	O
number	number	O	O
of	of	O	O
treatment	treatment	O	O
protocols	protocols	O	O
where	where	O	O
SRL	srl	O	O
was	was	O	O
combined	combined	O	O
with	with	O	O
a	a	O	O
calcineurin	calcineurin	B_chemicals	O
inhibitor	inhibitor	I_chemicals	O
indications	indications	O	O
of	of	O	O
a	a	O	O
synergistic	synergistic	O	O
nephrotoxic	nephrotoxic	O	O
effect	effect	O	O
were	were	O	O
described	described	O	O
.	.	O	O

The	the	O	O
aim	aim	O	O
of	of	O	O
this	this	O	O
study	study	O	O
was	was	O	O
to	to	O	O
examine	examine	O	O
further	further	O	O
the	the	O	O
renal	renal	O	O
function	function	O	O
,	,	O	O
including	including	O	O
morphological	morphological	O	O
analysis	analysis	O	O
of	of	O	O
the	the	O	O
kidneys	kidneys	O	O
of	of	O	O
male	male	O	O
Sprague-Dawley	sprague-dawley	O	O
rats	rats	O	O
treated	treated	O	O
with	with	O	O
either	either	O	O
cyclosporine	cyclosporine	B_chemicals	O
A	a	I_chemicals	O
(	(	O	O
CsA	csa	O	O
)	)	O	O
,	,	O	O
tacrolimus	tacrolimus	S_chemicals	O
(	(	O	O
FK506	fk506	S_chemicals	O
)	)	O	O
or	or	O	O
SRL	srl	O	O
as	as	O	O
monotherapies	monotherapies	O	O
or	or	O	O
in	in	O	O
different	different	O	O
combinations	combinations	O	O
.	.	O	O

METHODS	methods	O	O
:	:	O	O
For	for	O	O
a	a	O	O
period	period	O	O
of	of	O	O
2	2	O	O
weeks	weeks	O	O
,	,	O	O
CsA	csa	O	O
15	15	O	O
mg/kg/day	mg/kg/day	O	O
(	(	O	O
given	given	O	O
orally	orally	O	O
)	)	O	O
,	,	O	O
FK506	fk506	S_chemicals	O
3.0	3.0	O	O
mg/kg/day	mg/kg/day	O	O
(	(	O	O
given	given	O	O
orally	orally	O	O
)	)	O	O
or	or	O	O
SRL	srl	O	O
0.4	0.4	O	O
mg/kg/day	mg/kg/day	O	O
(	(	O	O
given	given	O	O
intraperitoneally	intraperitoneally	O	O
)	)	O	O
was	was	O	O
administered	administered	O	O
once	once	O	O
a	a	O	O
day	day	O	O
as	as	O	O
these	these	O	O
doses	doses	O	O
have	have	O	O
earlier	earlier	O	O
been	been	O	O
found	found	O	O
to	to	O	O
achieve	achieve	O	O
a	a	O	O
significant	significant	O	O
immunosuppressive	immunosuppressive	O	O
effect	effect	O	O
in	in	O	O
Sprague-Dawley	sprague-dawley	O	O
rats	rats	O	O
.	.	O	O

In	in	O	O
the	the	O	O
'	'	O	O
conscious	conscious	O	O
catheterized	catheterized	O	O
rat	rat	O	O
'	'	O	O
model	model	O	O
,	,	O	O
the	the	O	O
glomerular	glomerular	O	O
filtration	filtration	O	O
rate	rate	O	O
(	(	O	O
GFR	gfr	O	O
)	)	O	O
was	was	O	O
measured	measured	O	O
as	as	O	O
the	the	O	O
clearance	clearance	O	O
of	of	O	O
Cr(EDTA	cr(edta	O	O
)	)	O	O
.	.	O	O

The	the	O	O
morphological	morphological	O	O
analysis	analysis	O	O
of	of	O	O
the	the	O	O
kidneys	kidneys	O	O
included	included	O	O
a	a	O	O
semi-quantitative	semi-quantitative	O	O
scoring	scoring	O	O
system	system	O	O
analysing	analysing	O	O
the	the	O	O
degree	degree	O	O
of	of	O	O
striped	striped	O	O
fibrosis	fibrosis	O	S_disease
,	,	O	O
subcapsular	subcapsular	O	O
fibrosis	fibrosis	O	S_disease
and	and	O	O
the	the	O	O
number	number	O	O
of	of	O	O
basophilic	basophilic	O	O
tubules	tubules	O	O
,	,	O	O
plus	plus	O	O
an	an	O	O
additional	additional	O	O
stereological	stereological	O	O
analysis	analysis	O	O
of	of	O	O
the	the	O	O
total	total	O	O
grade	grade	O	O
of	of	O	O
fibrosis	fibrosis	O	S_disease
in	in	O	O
the	the	O	O
cortex	cortex	O	O
stained	stained	O	O
with	with	O	O
Sirius	sirius	O	O
Red	red	O	O
.	.	O	O

RESULTS	results	O	O
:	:	O	O
CsA	csa	O	O
,	,	O	O
FK506	fk506	S_chemicals	O
and	and	O	O
SRL	srl	O	O
all	all	O	O
significantly	significantly	O	O
decreased	decreased	O	O
the	the	O	O
GFR	gfr	O	O
.	.	O	O

A	a	O	O
further	further	O	O
deterioration	deterioration	O	O
was	was	O	O
seen	seen	O	O
when	when	O	O
CsA	csa	O	O
was	was	O	O
combined	combined	O	O
with	with	O	O
either	either	O	O
FK506	fk506	S_chemicals	O
or	or	O	O
SRL	srl	O	O
,	,	O	O
whereas	whereas	O	O
the	the	O	O
GFR	gfr	O	O
remained	remained	O	O
unchanged	unchanged	O	O
in	in	O	O
the	the	O	O
group	group	O	O
treated	treated	O	O
with	with	O	O
FK506	fk506	S_chemicals	O
plus	plus	O	O
SRL	srl	O	O
when	when	O	O
compared	compared	O	O
with	with	O	O
treatment	treatment	O	O
with	with	O	O
any	any	O	O
of	of	O	O
the	the	O	O
single	single	O	O
substances	substances	O	O
.	.	O	O

The	the	O	O
morphological	morphological	O	O
changes	changes	O	O
presented	presented	O	O
a	a	O	O
similar	similar	O	O
pattern	pattern	O	O
.	.	O	O

The	the	O	O
semi-quantitative	semi-quantitative	O	O
scoring	scoring	O	O
was	was	O	O
significantly	significantly	O	O
worst	worst	O	O
in	in	O	O
the	the	O	O
group	group	O	O
treated	treated	O	O
with	with	O	O
CsA	csa	O	O
plus	plus	O	O
SRL	srl	O	O
(	(	O	O
P<0.001	p<0.001	O	O
compared	compared	O	O
with	with	O	O
controls	controls	O	O
)	)	O	O
and	and	O	O
the	the	O	O
analysis	analysis	O	O
of	of	O	O
the	the	O	O
total	total	O	O
grade	grade	O	O
of	of	O	O
fibrosis	fibrosis	O	S_disease
also	also	O	O
showed	showed	O	O
the	the	O	O
highest	highest	O	O
proportion	proportion	O	O
in	in	O	O
the	the	O	O
same	same	O	O
group	group	O	O
and	and	O	O
was	was	O	O
significantly	significantly	O	O
different	different	O	O
from	from	O	O
controls	controls	O	O
(	(	O	O
P<0.02	p<0.02	O	O
)	)	O	O
.	.	O	O

The	the	O	O
FK506	fk506	S_chemicals	O
plus	plus	O	O
SRL	srl	O	O
combination	combination	O	O
showed	showed	O	O
only	only	O	O
a	a	O	O
marginally	marginally	O	O
higher	higher	O	O
degree	degree	O	O
of	of	O	O
fibrosis	fibrosis	O	S_disease
as	as	O	O
compared	compared	O	O
with	with	O	O
controls	controls	O	O
(	(	O	O
P=0.05	p=0.05	O	O
)	)	O	O
.	.	O	O

CONCLUSION	conclusion	O	O
:	:	O	O
This	this	O	O
rat	rat	O	O
study	study	O	O
demonstrated	demonstrated	O	O
a	a	O	O
synergistic	synergistic	O	O
nephrotoxic	nephrotoxic	O	O
effect	effect	O	O
of	of	O	O
CsA	csa	O	O
plus	plus	O	O
SRL	srl	O	O
,	,	O	O
whereas	whereas	O	O
FK506	fk506	S_chemicals	O
plus	plus	O	O
SRL	srl	O	O
was	was	O	O
better	better	O	O
tolerated	tolerated	O	O
.	.	O	O

