Assessment	assessment	O	O
of	of	O	O
the	the	O	O
onset	onset	O	O
and	and	O	O
persistence	persistence	O	O
of	of	O	O
amnesia	amnesia	O	S_disease
during	during	O	O
procedural	procedural	O	O
sedation	sedation	O	O
with	with	O	O
propofol	propofol	S_chemicals	O
.	.	O	O

OBJECTIVES	objectives	O	O
:	:	O	O
To	to	O	O
assess	assess	O	O
patients	patients	O	O
'	'	O	O
ability	ability	O	O
to	to	O	O
repeat	repeat	O	O
and	and	O	O
recall	recall	O	O
words	words	O	O
presented	presented	O	O
to	to	O	O
them	them	O	O
while	while	O	O
undergoing	undergoing	O	O
procedural	procedural	O	O
sedation	sedation	O	O
with	with	O	O
propofol	propofol	S_chemicals	O
,	,	O	O
and	and	O	O
correlate	correlate	O	O
their	their	O	O
recall	recall	O	O
with	with	O	O
their	their	O	O
level	level	O	O
of	of	O	O
awareness	awareness	O	O
as	as	O	O
measured	measured	O	O
by	by	O	O
bispectral	bispectral	O	O
index	index	O	O
(	(	O	O
BIS	bis	O	O
)	)	O	O
monitoring	monitoring	O	O
.	.	O	O

METHODS	methods	O	O
:	:	O	O
This	this	O	O
was	was	O	O
a	a	O	O
prospective	prospective	O	O
,	,	O	O
single-intervention	single-intervention	O	O
study	study	O	O
of	of	O	O
consenting	consenting	O	O
adult	adult	O	O
patients	patients	O	O
undergoing	undergoing	O	O
procedural	procedural	O	O
sedation	sedation	O	O
with	with	O	O
propofol	propofol	S_chemicals	O
between	between	O	O
December	december	O	O
28	28	O	O
,	,	O	O
2002	2002	O	O
,	,	O	O
and	and	O	O
October	october	O	O
31	31	O	O
,	,	O	O
2003	2003	O	O
.	.	O	O

BIS	bis	O	O
monitoring	monitoring	O	O
was	was	O	O
initiated	initiated	O	O
starting	starting	O	O
3	3	O	O
minutes	minutes	O	O
before	before	O	O
the	the	O	O
procedure	procedure	O	O
and	and	O	O
continuing	continuing	O	O
until	until	O	O
the	the	O	O
patient	patient	O	O
had	had	O	O
regained	regained	O	O
baseline	baseline	O	O
mental	mental	O	O
status	status	O	O
.	.	O	O

At	at	O	O
1-minute	1-minute	O	O
intervals	intervals	O	O
during	during	O	O
the	the	O	O
procedural	procedural	O	O
sedation	sedation	O	O
,	,	O	O
until	until	O	O
the	the	O	O
patient	patient	O	O
regained	regained	O	O
baseline	baseline	O	O
mental	mental	O	O
status	status	O	O
at	at	O	O
the	the	O	O
end	end	O	O
of	of	O	O
the	the	O	O
procedure	procedure	O	O
,	,	O	O
a	a	O	O
word	word	O	O
from	from	O	O
a	a	O	O
standardized	standardized	O	O
list	list	O	O
was	was	O	O
read	read	O	O
aloud	aloud	O	O
,	,	O	O
and	and	O	O
the	the	O	O
patient	patient	O	O
was	was	O	O
asked	asked	O	O
to	to	O	O
immediately	immediately	O	O
repeat	repeat	O	O
the	the	O	O
word	word	O	O
to	to	O	O
the	the	O	O
investigator	investigator	O	O
.	.	O	O

The	the	O	O
BIS	bis	O	O
score	score	O	O
at	at	O	O
the	the	O	O
time	time	O	O
the	the	O	O
word	word	O	O
was	was	O	O
read	read	O	O
and	and	O	O
the	the	O	O
patient	patient	O	O
's	's	O	O
ability	ability	O	O
to	to	O	O
repeat	repeat	O	O
the	the	O	O
word	word	O	O
were	were	O	O
