Anti-oxidant	anti-oxidant	B_chemicals	O
effects	effects	I_chemicals	O
of	of	O	O
atorvastatin	atorvastatin	S_chemicals	O
in	in	O	O
dexamethasone-induced	dexamethasone-induced	O	O
hypertension	hypertension	O	S_disease
in	in	O	O
the	the	O	O
rat.1	rat.1	O	O
.	.	O	O

Dexamethasone	dexamethasone	S_chemicals	O
(Dex)-induced	(dex)-induced	O	O
hypertension	hypertension	O	S_disease
is	is	O	O
characterized	characterized	O	O
by	by	O	O
endothelial	endothelial	O	O
dysfunction	dysfunction	O	O
associated	associated	O	O
with	with	O	O
nitric	nitric	B_chemicals	O
oxide	oxide	S_chemicals	O
(	(	O	O
NO	no	O	O
)	)	O	O
deficiency	deficiency	O	O
and	and	O	O
increased	increased	O	O
superoxide	superoxide	S_chemicals	O
(	(	O	O
O2-	o2-	O	O
)	)	O	O
production	production	O	O
.	.	O	O

Atorvastatin	atorvastatin	S_chemicals	O
(	(	O	O
Ato	ato	O	O
)	)	O	O
possesses	possesses	O	O
pleiotropic	pleiotropic	O	O
properties	properties	O	O
that	that	O	O
have	have	O	O
been	been	O	O
reported	reported	O	O
to	to	O	O
improve	improve	O	O
endothelial	endothelial	O	O
function	function	O	O
through	through	O	O
increased	increased	O	O
availability	availability	O	O
of	of	O	O
NO	no	O	O
and	and	O	O
reduced	reduced	O	O
O2-	o2-	O	O
production	production	O	O
in	in	O	O
various	various	O	O
forms	forms	O	O
of	of	O	O
hypertension	hypertension	O	S_disease
.	.	O	O

In	in	O	O
the	the	O	O
present	present	O	O
study	study	O	O
,	,	O	O
we	we	O	O
investigated	investigated	O	O
whether	whether	O	O
50	50	O	O
mg/kg	mg/kg	O	O
per	per	O	O
day	day	O	O
,	,	O	O
p.o	p.o	O	O
.	.	O	O
,	,	O	O
Ato	ato	O	O
could	could	O	O
prevent	prevent	O	O
endothelial	endothelial	O	O
NO	no	B_chemicals	O
synthase	synthase	S_chemicals	O
(	(	O	O
eNOS	enos	O	O
)	)	O	O
downregulation	downregulation	O	O
and	and	O	O
the	the	O	O
increase	increase	O	O
in	in	O	O
O2-	o2-	O	O
in	in	O	O
Sprague-Dawley	sprague-dawley	O	O
(	(	O	O
SD	sd	O	O
)	)	O	O
rats	rats	O	O
,	,	O	O
thereby	thereby	O	O
reducing	reducing	O	O
blood	blood	O	B_disease
pressure	pressure	O	I_disease
.	.	O	O

2	2	O	O
.	.	O	O
Male	male	O	O
SD	sd	O	O
rats	rats	O	O
(	(	O	O
n	n	O	O
=	=	O	O
30	30	O	O
)	)	O	O
were	were	O	O
treated	treated	O	O
with	with	O	O
Ato	ato	O	O
(	(	O	O
50	50	O	O
mg/kg	mg/kg	O	O
per	per	O	O
day	day	O	O
in	in	O	O
drinking	drinking	B_chemicals	O
water	water	S_chemicals	O
)	)	O	O
or	or	O	O
tap	tap	O	O
water	water	S_chemicals	O
for	for	O	O
15	15	O	O
days	days	O	O
.	.	O	O

Dexamethasone	dexamethasone	S_chemicals	O
(	(	O	O
10	10	O	O
microg/kg	microg/kg	O	O
per	per	O	O
day	day	O	O
,	,	O	O
s.c	s.c	O	O
.	.	O	O
)	)	O	O
or	or	O	O
saline	saline	O	O
was	was	O	O
started	started	O	O
after	after	O	O
4	4	O	O
days	days	O	O
in	in	O	O
Ato-treated	ato-treated	O	O
and	and	O	O
non-treated	non-treated	O	O
rats	rats	O	O
and	and	O	O
continued	continued	O	O
for	for	O	O
11	11	O	O
-	-	O	O
13	13	O	O
days	days	O	O
.	.	O	O

Systolic	systolic	O	O
blood	blood	O	B_disease
pressure	pressure	O	I_disease
(	(	O	O
SBP	sbp	O	O
)	)	O	O
was	was	O	O
measured	measured	O	O
on	on	O	O
alternate	alternate	O	O
days	days	O	O
using	using	O	O
the	the	O	O
tail-cuff	tail-cuff	O	O
method	method	O	O
.	.	O	O

Endothelial	endothelial	O	O
function	function	O	O
was	was	O	O
assessed	assessed	O	O
by	by	O	O
acetylcholine-induced	acetylcholine-induced	O	O
vasorelaxation	vasorelaxation	O	O
and	and	O	O
phenylephrine-induced	phenylephrine-induced	O	O
vasoconstriction	vasoconstriction	O	O
in	in	O	O
aortic	aortic	O	O
segments	segments	O	O
.	.	O	O

Vascular	vascular	O	O
eNOS	enos	O	O
mRNA	mrna	S_chemicals	O
was	was	O	O
assessed	assessed	O	O
by	by	O	O
semi-quantitative	semi-quantitative	O	O
reverse	reverse	O	O
transcription-polymerase	transcription-polymerase	O	O
chain	chain	O	O
reaction	reaction	O	O
.	.	O	O

3	3	O	O
.	.	O	O

In	in	O	O
rats	rats	O	O
treated	treated	O	O
with	with	O	O
Dex	dex	O	O
alone	alone	O	O
,	,	O	O
SBP	sbp	O	O
was	was	O	O
increased	increased	O	O
from	from	O	O
109	109	O	O
+	+	O	O
/-	/-	O	O
2	2	O	O
to	to	O	O
133	133	O	O
+	+	O	O
/-	/-	O	O
2	2	O	O
mmHg	mmhg	O	O
on	on	O	O
Days	days	O	O
4	4	O	O
and	and	O	O
Day	day	O	O
14	14	O	O
,	,	O	O
respectively	respectively	O	O
(	(	O	O
P	p	O	O
<	<	O	O
0.001	0.001	O	O
)	)	O	O
.	.	O	O

In	in	O	O
the	the	O	O
Ato	ato	O	O
+	+	O	O
Dex	dex	O	O
group	group	O	O
,	,	O	O
SBP	sbp	O	O
was	was	O	O
increased	increased	O	O
from	from	O	O
113	113	O	O
+	+	O	O
/-	/-	O	O
2	2	O	O
to	to	O	O
119	119	O	O
+	+	O	O
/-	/-	O	O
2	2	O	O
mmHg	mmhg	O	O
on	on	O	O
Days	days	O	O
4	4	O	O
to	to	O	O
14	14	O	O
,	,	O	O
respectively	respectively	O	O
(	(	O	O
P	p	O	O
<	<	O	O
0.001	0.001	O	O
)	)	O	O
,	,	O	O
but	but	O	O
was	was	O	O
significantly	significantly	O	O
lower	lower	O	O
than	than	O	O
SBP	sbp	O	O
in	in	O	O
the	the	O	O
group	group	O	O
treated	treated	O	O
with	with	O	O
Dex	dex	O	O
alone	alone	O	O
(	(	O	O
P	p	O	O
<	<	O	O
0.05	0.05	O	O
)	)	O	O
.	.	O	O

Endothelial-dependent	endothelial-dependent	O	O
relaxation	relaxation	O	O
and	and	O	O
eNOS	enos	O	O
mRNA	mrna	S_chemicals	O
expression	expression	O	O
were	were	O	O
greater	greater	O	O
in	in	O	O
the	the	O	O
Dex	dex	O	O
+	+	O	O
Ato	ato	O	O
group	group	O	O
than	than	O	O
in	in	O	O
the	the	O	O
Dex	dex	O	O
only	only	O	O
group	group	O	O
(	(	O	O
P	p	O	O
<	<	O	O
0.05	0.05	O	O
and	and	O	O
P	p	O	O
<	<	O	O
0.0001	0.0001	O	O
,	,	O	O
respectively	respectively	O	O
)	)	O	O
.	.	O	O

Aortic	aortic	O	O
superoxide	superoxide	S_chemicals	O
production	production	O	O
was	was	O	O
lower	lower	O	O
in	in	O	O
the	the	O	O
Dex	dex	O	O
+	+	O	O
Ato	ato	O	O
group	group	O	O
compared	compared	O	O
with	with	O	O
the	the	O	O
group	group	O	O
treated	treated	O	O
with	with	O	O
