Exaggerated	exaggerated	O	O
expression	expression	O	O
of	of	O	O
inflammatory	inflammatory	O	O
mediators	mediators	O	O
in	in	O	O
vasoactive	vasoactive	B_chemicals	O
intestinal	intestinal	B_chemicals	O
polypeptide	polypeptide	S_chemicals	O
knockout	knockout	O	O
(	(	O	O
VIP-/-	vip-/-	O	O
)	)	O	O
mice	mice	O	O
with	with	O	O
cyclophosphamide	cyclophosphamide	O	O
(CYP)-induced	(cyp)-induced	O	O
cystitis	cystitis	O	S_disease
.	.	O	O

Vasoactive	vasoactive	B_chemicals	O
intestinal	intestinal	B_chemicals	O
polypeptide	polypeptide	S_chemicals	O
(	(	O	O
VIP	vip	O	O
)	)	O	O
is	is	O	O
an	an	O	O
immunomodulatory	immunomodulatory	S_chemicals	O
neuropeptide	neuropeptide	S_chemicals	O
distributed	distributed	O	O
in	in	O	O
micturition	micturition	O	O
pathways	pathways	O	O
.	.	O	O

VIP(-/-	vip(-/-	O	O
)	)	O	O
mice	mice	O	O
exhibit	exhibit	O	O
altered	altered	O	O
bladder	bladder	O	O
function	function	O	O
and	and	O	O
neurochemical	neurochemical	O	O
properties	properties	O	O
in	in	O	O
micturition	micturition	O	O
pathways	pathways	O	O
after	after	O	O
cyclophosphamide	cyclophosphamide	O	O
(CYP)-induced	(cyp)-induced	O	O
cystitis	cystitis	O	S_disease
.	.	O	O

Given	given	O	O
VIP	vip	O	O
's	's	O	O
role	role	O	O
as	as	O	O
an	an	O	O
anti-inflammatory	anti-inflammatory	O	O
mediator	mediator	O	O
,	,	O	O
we	we	O	O
hypothesized	hypothesized	O	O
that	that	O	O
VIP(-/-	vip(-/-	O	O
)	)	O	O
mice	mice	O	O
would	would	O	O
exhibit	exhibit	O	O
enhanced	enhanced	O	O
inflammatory	inflammatory	O	O
mediator	mediator	O	O
expression	expression	O	O
after	after	O	O
cystitis	cystitis	O	S_disease
.	.	O	O

A	a	O	O
mouse	mouse	O	O
inflammatory	inflammatory	O	O
cytokine	cytokine	S_chemicals	O
and	and	O	O
receptor	receptor	O	O
RT2	rt2	O	O
